Year,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,Value
2018,,,,,,,7.7
2018,,,U,,,,7.9
2018,,,R,,,,7.6
2018,KG05,,,,,,0.4
2018,KG03,,,,,,7.3
2018,KG02,,,,,,1.7
2018,KG04,,,,,,2.8
2018,KG06,,,,,,6.5
2018,KG07,,,,,,5.0
2018,KG08,,,,,,16.6
2018,KG11,,,,,,8.7
2018,KG21,,,,,,7.0
2018,,Y15T19,,,,,6.5
2018,,Y15T17,,,,,5.7
2018,,Y18T19,,,,,8.3
2018,,Y20T24,,,,,9.1
2018,,Y25T29,,,,,7.1
2018,,Y30T34,,,,,8.8
2018,,Y35T39,,,,,8.7
2018,,Y40T44,,,,,6.4
2018,,Y45T49,,,,,7.0
2018,,,,,ISCED11_0,,
2018,,,,,ISCED11_2,,14.0
2018,,,,,ISCED11_3,,5.9
2018,,,,,ISCED11_4,,6.9
2018,,,,,ISCED11_6_7,,8.2
2018,,,,,,PD,20.7
2018,,,,,,PWD,7.6
2018,,,,Q1,,,6.0
2018,,,,Q2,,,6.7
2018,,,,Q3,,,9.7
2018,,,,Q4,,,7.1
2018,,,,Q5,,,8.8
