Year,SERIES,Value
2007,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",5.968864
2008,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",6.611241
2009,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",5.109427
2010,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",5.204752
2011,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",2.488161
2012,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",1.394354
2013,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",3.120433
2014,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",2.594375
2015,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",2.198462
2016,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",2.327986
2017,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",2.172493
2018,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",2.163941
2019,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",2.259523
2020,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",2.4
2021,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",3.5
2022,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",3.8
2023,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов",3.7
2007,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",59.241298
2008,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",61.233202
2009,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",48.534186
2010,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",49.060743
2011,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",22.957535
2012,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",12.62552
2013,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",28.824314
2014,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",24.113102
2015,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",20.458403
2016,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",21.618658
2017,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",20.190277
2018,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",19.898854
2019,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",20.5
2020,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",21.8
2021,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",30.8
2022,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",33.6
2023,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов",32.3
