Year,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,GeoCode,Value
2014,,,,,,,,32.8
2018,,,,,,,,29.9
2023,,,,,,,,18.9
2014,,,U,,,,,27.1
2018,,,U,,,,,22.1
2023,,,U,,,,,15.1
2014,,,R,,,,,35.9
2018,,,R,,,,,34.8
2023,,,R,,,,,20.8
2014,KG05,,,,,,KG05,50.7
2018,KG05,,,,,,KG05,20.1
2023,KG05,,,,,,KG05,24.4
2014,KG03,,,,,,KG03,15.5
2018,KG03,,,,,,KG03,30.4
2023,KG03,,,,,,KG03,17.1
2014,KG02,,,,,,KG02,37.5
2018,KG02,,,,,,KG02,18.7
2023,KG02,,,,,,KG02,11.8
2014,KG04,,,,,,KG04,34.8
2018,KG04,,,,,,KG04,31.4
2023,KG04,,,,,,KG04,17.6
2014,KG06,,,,,,KG06,48.1
2018,KG06,,,,,,KG06,43.1
2023,KG06,,,,,,KG06,31.5
2014,KG07,,,,,,KG07,36.5
2018,KG07,,,,,,KG07,22.3
2023,KG07,,,,,,KG07,12.4
2014,KG08,,,,,,KG08,33.3
2018,KG08,,,,,,KG08,41.2
2023,KG08,,,,,,KG08,12.5
2014,KG11,,,,,,KG11,18.2
2018,KG11,,,,,,KG11,16.5
2023,KG11,,,,,,KG11,12.6
2014,KG21,,,,,,KG21,47.1
2018,KG21,,,,,,KG21,31.8
2023,KG21,,,,,,KG21,12.7
2023,,Y15T17,,,,,,9.4
2014,,Y15T19,,,,,,21.5
2018,,Y15T19,,,,,,24.1
2023,,Y15T19,,,,,,10.3
2023,,Y18T19,,,,,,12.7
2014,,Y20T24,,,,,,34.0
2018,,Y20T24,,,,,,33.1
2023,,Y20T24,,,,,,17.6
2014,,Y25T29,,,,,,36.7
2018,,Y25T29,,,,,,31.3
2023,,Y25T29,,,,,,21.3
2014,,Y30T34,,,,,,37.9
2018,,Y30T34,,,,,,32.4
2023,,Y30T34,,,,,,19.3
2014,,Y35T39,,,,,,34.6
2018,,Y35T39,,,,,,31.9
2023,,Y35T39,,,,,,21.4
2014,,Y40T44,,,,,,34.2
2018,,Y40T44,,,,,,27.2
2023,,Y40T44,,,,,,23.1
2014,,Y45T49,,,,,,32.2
2018,,Y45T49,,,,,,28.2
2023,,Y45T49,,,,,,19.1
2014,,,,,ISCED11_2,,,34.9
2018,,,,,ISCED11_2,,,48.1
2023,,,,,ISCED11_2,,,29.6
2014,,,,,ISCED11_3,,,38.0
2018,,,,,ISCED11_3,,,33.8
2023,,,,,ISCED11_3,,,24.0
2014,,,,,ISCED11_4,,,29.5
2018,,,,,ISCED11_4,,,27.2
2023,,,,,ISCED11_4,,,14.5
2014,,,,,ISCED11_6_7,,,24.8
2018,,,,,ISCED11_6_7,,,19.6
2023,,,,,ISCED11_6_7,,,10.5
2018,,Y18T49,,,,PD,,48.6
2023,,Y18T49,,,,PD,,37.2
2018,,Y18T49,,,,PWD,,30.2
2023,,Y18T49,,,,PWD,,19.7
2014,,,,Q1,,,,40.5
2018,,,,Q1,,,,37.9
2023,,,,Q1,,,,27.6
2014,,,,Q2,,,,39.2
2018,,,,Q2,,,,34.4
2023,,,,Q2,,,,25.2
2014,,,,Q3,,,,36.5
2018,,,,Q3,,,,37.6
2023,,,,Q3,,,,18.9
2014,,,,Q4,,,,30.3
2018,,,,Q4,,,,26.6
2023,,,,Q4,,,,15.2
2014,,,,Q5,,,,20.5
2018,,,,Q5,,,,15.0
2023,,,,Q5,,,,9.1
