Year,REF_AREA,Value
2010,,89.9
2011,,94.5
2012,,94.4
2013,,91.0
2014,,94.4
2015,,94.5
2016,,93.5
2017,,93.9
2018,,95.1
2019,,95.0
2020,,95.9
2013,KG05,39.3
2014,KG05,91.1
2015,KG05,91.1
2016,KG05,96.2
2017,KG05,96.2
2018,KG05,96.2
2019,KG05,96.2
2020,KG05,96.2
2010,KG03,61.2
2011,KG03,63.6
2012,KG03,60.7
2013,KG03,62.7
2014,KG03,53.7
2015,KG03,35.5
2016,KG03,38.0
2017,KG03,62.3
2018,KG03,62.3
2019,KG03,62.3
2020,KG03,62.3
2010,KG02,100.0
2011,KG02,98.1
2012,KG02,98.1
2013,KG02,100.0
2014,KG02,100.0
2015,KG02,101.1
2016,KG02,97.5
2017,KG02,97.3
2018,KG02,99.9
2019,KG02,99.96
2020,KG02,100.0
2011,KG04,100.0
2012,KG04,100.0
2013,KG04,100.0
2014,KG04,100.0
2015,KG04,100.0
2016,KG04,100.0
2017,KG04,100.0
2018,KG04,100.0
2019,KG04,100.0
2020,KG04,100.0
2010,KG07,0.0
2011,KG07,0.0
2012,KG07,0.0
2013,KG07,0.0
2014,KG07,21.3
2015,KG07,22.2
2016,KG07,98.5
2017,KG07,95.6
2018,KG07,98.2
2019,KG07,98.2
2020,KG07,100.0
2010,KG08,44.2
2011,KG08,0.0
2012,KG08,0.0
2013,KG08,29.8
2014,KG08,74.8
2015,KG08,97.1
2016,KG08,95.4
2017,KG08,59.4
2018,KG08,65.4
2019,KG08,63.0
2020,KG08,62.7
2010,KG11,99.1
2011,KG11,100.0
2012,KG11,100.0
2013,KG11,100.0
2014,KG11,100.0
2015,KG11,100.0
2016,KG11,100.0
2017,KG11,100.0
2018,KG11,100.0
2019,KG11,100.0
2020,KG11,100.0
2010,KG21,100.0
