Year,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,GeoCode,Value
2014,,,,,,,,420
2018,,,,,,,,674
2023,,,,,,,,590
2014,Batken,,,,,,KG05,450
2018,Batken,,,,,,KG05,486
2023,Batken,,,,,,KG05,433
2014,Jalal-Abad,,,,,,KG03,314
2018,Jalal-Abad,,,,,,KG03,562
2023,Jalal-Abad,,,,,,KG03,515
2014,Issyk-Kul,,,,,,KG02,460
2018,Issyk-Kul,,,,,,KG02,651
2023,Issyk-Kul,,,,,,KG02,619
2014,Naryn,,,,,,KG04,589
2018,Naryn,,,,,,KG04,798
2023,Naryn,,,,,,KG04,740
2014,Osh,,,,,,KG06,384
2018,Osh,,,,,,KG06,711
2023,Osh,,,,,,KG06,560
2014,Talas,,,,,,KG07,434
2018,Talas,,,,,,KG07,791
2023,Talas,,,,,,KG07,809
2014,Chui,,,,,,KG08,478
2018,Chui,,,,,,KG08,707
2023,Chui,,,,,,KG08,613
2014,Bishkek (city),,,,,,KG11,470
2018,Bishkek (city),,,,,,KG11,696
2023,Bishkek (city),,,,,,KG11,718
2014,Osh (city),,,,,,KG21,383
2018,Osh (city),,,,,,KG21,713
2023,Osh (city),,,,,,KG21,586
2014,,,Urban,,,,,431
2018,,,Urban,,,,,686
2023,,,Urban,,,,,606
2014,,,Rural,,,,,414
2018,,,Rural,,,,,667
2023,,,Rural,,,,,583
2014,,15 to 19 years old,,,,,,174
2018,,15 to 19 years old,,,,,,317
2014,,20 to 24 years old,,,,,,289
2018,,20 to 24 years old,,,,,,538
2023,,20 to 24 years old,,,,,,357
2014,,25 to 29 years old,,,,,,392
2018,,25 to 29 years old,,,,,,599
2023,,25 to 29 years old,,,,,,501
2014,,30 to 34 years old,,,,,,504
2018,,30 to 34 years old,,,,,,762
2023,,30 to 34 years old,,,,,,570
2014,,35 to 39 years old,,,,,,572
2018,,35 to 39 years old,,,,,,745
2023,,35 to 39 years old,,,,,,663
2014,,40 to 44 years old,,,,,,522
2018,,40 to 44 years old,,,,,,687
2023,,40 to 44 years old,,,,,,689
2014,,45 to 49 years old,,,,,,293
2018,,45 to 49 years old,,,,,,660
2023,,45 to 49 years old,,,,,,638
2014,,,,,Primary education,,,204
2014,,,,,Lower secondary education,,,365
2018,,,,,Lower secondary education,,,678
2023,,,,,Lower secondary education,,,629
2014,,,,,Upper secondary education,,,421
2018,,,,,Upper secondary education,,,629
2023,,,,,Upper secondary education,,,558
2014,,,,,Post-secondary non-tertiary education,,,433
2018,,,,,Post-secondary non-tertiary education,,,662
2023,,,,,Post-secondary non-tertiary education,,,552
2014,,,,,Short-cycle tertiary education,,,437
2018,,,,,Short-cycle tertiary education,,,743
2023,,,,,Short-cycle tertiary education,,,655
2018,,,,,,Persons with disability,,816
2018,,,,,,Persons without disability,,671
2023,,,,,,Persons without disability,,593
2014,,,,Quintile 1 (poorest),,,,425
2018,,,,Quintile 1 (poorest),,,,665
2023,,,,Quintile 1 (poorest),,,,489
2014,,,,Quintile 2,,,,378
2018,,,,Quintile 2,,,,607
2023,,,,Quintile 2,,,,582
2014,,,,Quintile 3,,,,391
2018,,,,Quintile 3,,,,692
2023,,,,Quintile 3,,,,584
2014,,,,Quintile 4,,,,451
2018,,,,Quintile 4,,,,693
2023,,,,Quintile 4,,,,622
2014,,,,Quintile 5 (richest),,,,453
2018,,,,Quintile 5 (richest),,,,714
2023,,,,Quintile 5 (richest),,,,675
