Year,Reference area,Degree of urbanisation,Observation-level footnotes,GeoCode,Value
2010,,,,,5.343817
2011,,,,,4.545729
2012,,,,,4.39021
2013,,,,,2.752053
2014,,,,,1.204544
2015,,,,,1.2463
2016,,,,,0.799505
2017,,,,,0.751264
2018,,,,,0.556849
2019,,,,,0.549336
2020,,,,,0.891488
2021,,,,,6.03378
2010,,Urban,,,4.216863
2011,,Urban,,,2.571393
2012,,Urban,,,4.245304
2013,,Urban,,,1.622593
2014,,Urban,,,1.335253
2015,,Urban,,,1.0364
2016,,Urban,,,0.329939
2017,,Urban,,,0.317022
2018,,Urban,,,0.240359
2019,,Urban,,,0.1
2020,,Urban,,,0.314072
2021,,Urban,,,7.307506
2010,,Rural,,,5.993092
2011,,Rural,,,5.719532
2012,,Rural,,,4.47404
2013,,Rural,,,3.33877
2014,,Rural,,,1.130705
2015,,Rural,,,1.3613
2016,,Rural,,,1.057232
2017,,Rural,,,0.990494
2018,,Rural,,,0.732878
2019,,Rural,,,0.8
2020,,Rural,,,1.220561
2021,,Rural,,,5.276761
2010,Batken,,,KG05,5.18088
2011,Batken,,,KG05,3.571253
2012,Batken,,,KG05,2.429822
2013,Batken,,,KG05,7.992058
2014,Batken,,,KG05,2.647398
2015,Batken,,,KG05,4.007
2016,Batken,,,KG05,0.321124
2017,Batken,,,KG05,3.394136
2018,Batken,,,KG05,0.873006
2019,Batken,,,KG05,0.339267
2020,Batken,,,KG05,1.629031
2021,Batken,,,KG05,10.0642
2010,Jalal-Abad,,,KG03,6.438032
2011,Jalal-Abad,,,KG03,6.655419
2012,Jalal-Abad,,,KG03,14.126083
2013,Jalal-Abad,,,KG03,1.418157
2014,Jalal-Abad,,,KG03,1.062056
2015,Jalal-Abad,,,KG03,0.4774
2016,Jalal-Abad,,,KG03,0.111076
2017,Jalal-Abad,,,KG03,0.0
2018,Jalal-Abad,,,KG03,1.011691
2019,Jalal-Abad,,,KG03,0.56205
2020,Jalal-Abad,,,KG03,1.484113
2021,Jalal-Abad,,,KG03,7.544501
2010,Issyk-Kul,,,KG02,2.478727
2011,Issyk-Kul,,,KG02,1.507294
2012,Issyk-Kul,,,KG02,0.131147
2013,Issyk-Kul,,,KG02,1.90587
2014,Issyk-Kul,,,KG02,0.0
2015,Issyk-Kul,,,KG02,0.4111
2016,Issyk-Kul,,,KG02,0.0
2017,Issyk-Kul,,,KG02,1.036888
2018,Issyk-Kul,,,KG02,0.892297
2019,Issyk-Kul,,,KG02,1.260497
2020,Issyk-Kul,,,KG02,0.434948
2021,Issyk-Kul,,,KG02,7.956209
2010,Naryn,,,KG04,12.036462
2011,Naryn,,,KG04,14.690827
2012,Naryn,,,KG04,2.457117
2013,Naryn,,,KG04,4.860417
2014,Naryn,,,KG04,1.817409
2015,Naryn,,,KG04,2.0588
2016,Naryn,,,KG04,2.566585
2017,Naryn,,,KG04,1.953766
2018,Naryn,,,KG04,2.178191
2019,Naryn,,,KG04,2.481629
2020,Naryn,,,KG04,4.503722
2021,Naryn,,,KG04,8.169695
2010,Osh,,including Osh city,KG06,8.333149
2011,Osh,,including Osh city,KG06,3.687421
2012,Osh,,including Osh city,KG06,2.296706
2013,Osh,,,KG06,4.01137
2014,Osh,,,KG06,0.423402
2015,Osh,,,KG06,1.1879
2016,Osh,,,KG06,0.828248
2017,Osh,,,KG06,0.0
2018,Osh,,,KG06,0.0
2019,Osh,,,KG06,0.880799
2020,Osh,,,KG06,0.0
2021,Osh,,,KG06,2.070173
2010,Talas,,,KG07,5.012294
2011,Talas,,,KG07,8.439018
2012,Talas,,,KG07,0.904811
2013,Talas,,,KG07,0.0
2014,Talas,,,KG07,0.0
2015,Talas,,,KG07,0.0
2016,Talas,,,KG07,0.0
2017,Talas,,,KG07,0.0
2018,Talas,,,KG07,0.0
2019,Talas,,,KG07,0.0
2020,Talas,,,KG07,0.0
2021,Talas,,,KG07,2.648252
2010,Chui,,,KG08,3.535313
2011,Chui,,,KG08,4.859951
2012,Chui,,,KG08,3.894563
2013,Chui,,,KG08,2.081097
2014,Chui,,,KG08,3.192789
2015,Chui,,,KG08,1.6887
2016,Chui,,,KG08,3.126337
2017,Chui,,,KG08,1.687071
2018,Chui,,,KG08,0.324149
2019,Chui,,,KG08,0.162602
2020,Chui,,,KG08,1.348117
2021,Chui,,,KG08,3.956165
2010,Bishkek (city),,,KG11,0.530925
2011,Bishkek (city),,,KG11,1.019328
2012,Bishkek (city),,,KG11,1.168471
2013,Bishkek (city),,,KG11,0.960053
2014,Bishkek (city),,,KG11,0.0
2015,Bishkek (city),,,KG11,0.7844
2016,Bishkek (city),,,KG11,0.0
2017,Bishkek (city),,,KG11,0.0
2018,Bishkek (city),,,KG11,0.328121
2019,Bishkek (city),,,KG11,0.0
2020,Bishkek (city),,,KG11,0.282291
2021,Bishkek (city),,,KG11,9.464517
2013,Osh (city),,,KG21,3.507063
2014,Osh (city),,,KG21,3.102029
2015,Osh (city),,,KG21,1.7009
2016,Osh (city),,,KG21,0.0
2017,Osh (city),,,KG21,1.181299
2018,Osh (city),,,KG21,0.556108
2019,Osh (city),,,KG21,0.0
2020,Osh (city),,,KG21,0.0
2021,Osh (city),,,KG21,3.101958
