Year,Sex,Degree of urbanisation,COMPOSITE_BREAKDOWN,Value
2015,,,Unpaid domestic work,13.2
2020,,,Unpaid domestic work,11.5
2015,,Urban,Unpaid domestic work,12.5
2020,,Urban,Unpaid domestic work,10.7
2015,,Rural,Unpaid domestic work,13.9
2020,,Rural,Unpaid domestic work,11.9
2015,Male,,Unpaid domestic work,6.5
2020,Male,,Unpaid domestic work,3.9
2015,Female,,Unpaid domestic work,18.8
2020,Female,,Unpaid domestic work,18.1
2015,,,Unpaid subsistence work,1.7
2020,,,Unpaid subsistence work,2.6
2015,,Urban,Unpaid subsistence work,0.4
2020,,Urban,Unpaid subsistence work,1.0
2015,,Rural,Unpaid subsistence work,3.1
2020,,Rural,Unpaid subsistence work,3.5
2015,Male,,Unpaid subsistence work,2.4
2020,Male,,Unpaid subsistence work,3.6
2015,Female,,Unpaid subsistence work,1.0
2020,Female,,Unpaid subsistence work,1.7
2015,,,Unpaid care for children,0.9
2020,,,Unpaid care for children,2.0
2015,,Urban,Unpaid care for children,0.9
2020,,Urban,Unpaid care for children,1.7
2015,,Rural,Unpaid care for children,0.9
2020,,Rural,Unpaid care for children,2.2
2015,Male,,Unpaid care for children,0.6
2020,Male,,Unpaid care for children,1.2
2015,Female,,Unpaid care for children,1.2
2020,Female,,Unpaid care for children,2.8
