Year,Пол,Возраст,Уровень образования,Value
2010,,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),9.0
2013,,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),9.4
2014,,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),9.3
2015,,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),9.5
2016,,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),10.4
2017,,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),10.9
2018,,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),10.1
2019,,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),9.5
2020,,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),10.0
2021,,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),10.8
2010,Женщины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),5.4
2013,Женщины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),6.0
2014,Женщины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),5.6
2015,Женщины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),5.8
2016,Женщины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),6.3
2017,Женщины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),6.9
2018,Женщины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),6.2
2019,Женщины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),5.9
2020,Женщины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),6.4
2021,Женщины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),5.2
2010,Мужчины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),12.5
2013,Мужчины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),12.6
2014,Мужчины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),12.9
2015,Мужчины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),13.1
2016,Мужчины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),14.3
2017,Мужчины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),14.7
2018,Мужчины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),13.9
2019,Мужчины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),13.1
2020,Мужчины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),13.5
2021,Мужчины,от 15 до 17 лет,Среднее и послесреднее нетретичное образование (среднее),16.2
2010,,от 17 до 20 лет,Короткий цикл третичного образования,13.6
2013,,от 17 до 20 лет,Короткий цикл третичного образования,20.3
