Year,Территория,Местность,Возраст (лет),Уровень образования,Функциональные трудности (возраст: 18-49лет),Квинтиль индекса благосостояния,Value
2018,,,,,,,7.7
2018,,Городская,,,,,7.9
2018,,Сельская,,,,,7.6
2018,Баткенская область,,,,,,0.4
2018,Джалал-Абадская область,,,,,,7.3
2018,Иссык-Кульская область,,,,,,1.7
2018,Нарынская область,,,,,,2.8
2018,Ошская область,,,,,,6.5
2018,Таласская область,,,,,,5.0
2018,Чуйская область,,,,,,16.6
2018,г.Бишкек,,,,,,8.7
2018,г.Ош,,,,,,7.0
2018,,,15-19,,,,6.5
2018,,,15-17,,,,5.7
2018,,,18-19,,,,8.3
2018,,,20-24,,,,9.1
2018,,,25-29,,,,7.1
2018,,,30-34,,,,8.8
2018,,,35-39,,,,8.7
2018,,,40-44,,,,6.4
2018,,,45-49,,,,7.0
2018,,,,Основное общее,,,14.0
2018,,,,Среднее общее,,,5.9
2018,,,,Профессиональное начальное/среднее,,,6.9
2018,,,,Высшее,,,8.2
2018,,,,,Есть,,20.7
2018,,,,,Нет,,7.6
2018,,,,,,Беднейший,6.0
2018,,,,,,Второй,6.7
2018,,,,,,Средний,9.7
2018,,,,,,Четвертый,7.1
2018,,,,,,Богатейший,8.8
