Year,COMMENT_OBS,Value
2000,"Commitments, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",1.934364
2001,"Commitments, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",1.890978
2002,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.614636
2003,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.694953
2004,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.626734
2005,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",1.045997
2006,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.560348
2007,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.776058
2008,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.690974
2009,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.511858
2010,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.535131
2011,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.940102
2012,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.599343
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.441421
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.649072
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.564016
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.768513
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.640139
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.518192
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.533691
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.591846
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.723513
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.505988
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",0.297352
