Year,NATURE,COMMENT_OBS,SERIES,Value
2019,CA,Observation value represents the number of countries with national statistical plans with funding from donors,SG_STT_NSDSFDDNR,1
2020,CA,Observation value represents the number of countries with national statistical plans with funding from donors,SG_STT_NSDSFDDNR,1
2021,CA,Observation value represents the number of countries with national statistical plans with funding from donors,SG_STT_NSDSFDDNR,1
2022,_X,Data not available,SG_STT_NSDSFDDNR,NaN
2023,_X,Data not available,SG_STT_NSDSFDDNR,NaN
2024,_X,Data not available,SG_STT_NSDSFDDNR,NaN
2019,CA,Observation value represents the number of countries with national statistical plans with funding from donors,SG_STT_NSDSFDGVT,1
2020,CA,Observation value represents the number of countries with national statistical plans with funding from donors,SG_STT_NSDSFDGVT,1
2021,CA,Observation value represents the number of countries with national statistical plans with funding from donors,SG_STT_NSDSFDGVT,1
2022,_X,Data not available,SG_STT_NSDSFDGVT,NaN
2023,_X,Data not available,SG_STT_NSDSFDGVT,NaN
2024,_X,Data not available,SG_STT_NSDSFDGVT,NaN
2019,_X,Data not available,SG_STT_NSDSFDOTHR,NaN
2020,_X,Data not available,SG_STT_NSDSFDOTHR,NaN
2021,_X,Data not available,SG_STT_NSDSFDOTHR,NaN
2022,_X,Data not available,SG_STT_NSDSFDOTHR,NaN
2023,_X,Data not available,SG_STT_NSDSFDOTHR,NaN
2024,_X,Data not available,SG_STT_NSDSFDOTHR,NaN
2019,CA,Observation value represents the number of countries with national statistical plans that are fully funded,SG_STT_NSDSFND,1
2020,CA,Observation value represents the number of countries with national statistical plans that are fully funded,SG_STT_NSDSFND,1
2021,CA,Observation value represents the number of countries with national statistical plans that are fully funded,SG_STT_NSDSFND,1
2022,CA,Observation value represents the number of countries with national statistical plans that are fully funded,SG_STT_NSDSFND,1
2023,CA,Observation value represents the number of countries with national statistical plans that are fully funded,SG_STT_NSDSFND,1
2024,CA,Observation value represents the number of countries with national statistical plans that are fully funded,SG_STT_NSDSFND,1
2019,CA,Observation value represents the number of countries with national statistical plans that are under implementation,SG_STT_NSDSIMPL,1
2020,CA,Observation value represents the number of countries with national statistical plans that are under implementation,SG_STT_NSDSIMPL,1
2021,CA,Observation value represents the number of countries with national statistical plans that are under implementation,SG_STT_NSDSIMPL,1
2022,CA,Observation value represents the number of countries with national statistical plans that are under implementation,SG_STT_NSDSIMPL,1
2023,CA,Observation value represents the number of countries with national statistical plans that are under implementation,SG_STT_NSDSIMPL,1
2024,CA,Observation value represents the number of countries with national statistical plans that are under implementation,SG_STT_NSDSIMPL,1
