Year,Территория,Пол,Value
2007,,,93
2008,,,281
2009,,,71
2010,,,158
2011,,,140
2012,,,99
2013,,,95
2014,,,62
2015,,,53
2016,,,47
2017,,,141
2018,,,18
2019,,,19
2020,,,51
2021,,,109
2022,,,135
2007,,Мужчины,74
2008,,Мужчины,184
2009,,Мужчины,48
2010,,Мужчины,106
2011,,Мужчины,93
2012,,Мужчины,65
2013,,Мужчины,62
2014,,Мужчины,39
2015,,Мужчины,33
2016,,Мужчины,37
2017,,Мужчины,85
2018,,Мужчины,14
2019,,Мужчины,10
2020,,Мужчины,29
2021,,Мужчины,74
2022,,Мужчины,99
2007,,Женщины,19
2008,,Женщины,97
2009,,Женщины,23
2010,,Женщины,52
2011,,Женщины,47
2012,,Женщины,34
2013,,Женщины,33
2014,,Женщины,23
2015,,Женщины,20
2016,,Женщины,10
2017,,Женщины,56
2018,,Женщины,4
2019,,Женщины,9
2020,,Женщины,22
2021,,Женщины,35
2022,,Женщины,36
2007,Баткенская область,,8
2008,Баткенская область,,9
2009,Баткенская область,,0
2010,Баткенская область,,15
2011,Баткенская область,,7
2012,Баткенская область,,9
2013,Баткенская область,,3
2014,Баткенская область,,3
2015,Баткенская область,,1
2016,Баткенская область,,9
2017,Баткенская область,,0
2018,Баткенская область,,0
2019,Баткенская область,,6
2020,Баткенская область,,5
2021,Баткенская область,,36
2022,Баткенская область,,97
2007,Баткенская область,Мужчины,6
2008,Баткенская область,Мужчины,9
2009,Баткенская область,Мужчины,0
2010,Баткенская область,Мужчины,11
2011,Баткенская область,Мужчины,4
2012,Баткенская область,Мужчины,7
2013,Баткенская область,Мужчины,3
2014,Баткенская область,Мужчины,3
2015,Баткенская область,Мужчины,1
2016,Баткенская область,Мужчины,7
2017,Баткенская область,Мужчины,0
2018,Баткенская область,Мужчины,0
2019,Баткенская область,Мужчины,4
2020,Баткенская область,Мужчины,3
2021,Баткенская область,Мужчины,35
2022,Баткенская область,Мужчины,80
2007,Баткенская область,Женщины,2
2008,Баткенская область,Женщины,0
2009,Баткенская область,Женщины,0
2010,Баткенская область,Женщины,4
2011,Баткенская область,Женщины,3
2012,Баткенская область,Женщины,2
2013,Баткенская область,Женщины,0
2014,Баткенская область,Женщины,0
2015,Баткенская область,Женщины,0
2016,Баткенская область,Женщины,2
2017,Баткенская область,Женщины,0
2018,Баткенская область,Женщины,0
2019,Баткенская область,Женщины,2
2020,Баткенская область,Женщины,2
2021,Баткенская область,Женщины,1
2022,Баткенская область,Женщины,17
2007,Джалал-Абадская область,,5
2008,Джалал-Абадская область,,25
2009,Джалал-Абадская область,,39
2010,Джалал-Абадская область,,32
2011,Джалал-Абадская область,,35
2012,Джалал-Абадская область,,33
2013,Джалал-Абадская область,,31
2014,Джалал-Абадская область,,17
2015,Джалал-Абадская область,,11
2016,Джалал-Абадская область,,13
2017,Джалал-Абадская область,,43
2018,Джалал-Абадская область,,4
2019,Джалал-Абадская область,,0
2020,Джалал-Абадская область,,15
2021,Джалал-Абадская область,,15
2022,Джалал-Абадская область,,17
2007,Джалал-Абадская область,Мужчины,5
2008,Джалал-Абадская область,Мужчины,18
2009,Джалал-Абадская область,Мужчины,27
2010,Джалал-Абадская область,Мужчины,21
2011,Джалал-Абадская область,Мужчины,27
2012,Джалал-Абадская область,Мужчины,17
2013,Джалал-Абадская область,Мужчины,22
2014,Джалал-Абадская область,Мужчины,11
2015,Джалал-Абадская область,Мужчины,5
2016,Джалал-Абадская область,Мужчины,9
2017,Джалал-Абадская область,Мужчины,29
2018,Джалал-Абадская область,Мужчины,4
2019,Джалал-Абадская область,Мужчины,0
2020,Джалал-Абадская область,Мужчины,9
2021,Джалал-Абадская область,Мужчины,8
2022,Джалал-Абадская область,Мужчины,11
2007,Джалал-Абадская область,Женщины,0
2008,Джалал-Абадская область,Женщины,7
2009,Джалал-Абадская область,Женщины,12
2010,Джалал-Абадская область,Женщины,11
2011,Джалал-Абадская область,Женщины,8
2012,Джалал-Абадская область,Женщины,16
2013,Джалал-Абадская область,Женщины,9
2014,Джалал-Абадская область,Женщины,6
2015,Джалал-Абадская область,Женщины,6
2016,Джалал-Абадская область,Женщины,4
2017,Джалал-Абадская область,Женщины,14
2018,Джалал-Абадская область,Женщины,0
2019,Джалал-Абадская область,Женщины,0
2020,Джалал-Абадская область,Женщины,6
2021,Джалал-Абадская область,Женщины,7
2022,Джалал-Абадская область,Женщины,6
2007,Иссык-Кульская область,,14
2008,Иссык-Кульская область,,42
2009,Иссык-Кульская область,,11
2010,Иссык-Кульская область,,15
2011,Иссык-Кульская область,,17
2012,Иссык-Кульская область,,4
2013,Иссык-Кульская область,,21
2014,Иссык-Кульская область,,25
2015,Иссык-Кульская область,,6
2016,Иссык-Кульская область,,2
2017,Иссык-Кульская область,,6
2018,Иссык-Кульская область,,2
2019,Иссык-Кульская область,,7
2020,Иссык-Кульская область,,0
2021,Иссык-Кульская область,,12
2022,Иссык-Кульская область,,5
2007,Иссык-Кульская область,Мужчины,10
2008,Иссык-Кульская область,Мужчины,26
2009,Иссык-Кульская область,Мужчины,7
2010,Иссык-Кульская область,Мужчины,10
2011,Иссык-Кульская область,Мужчины,9
2012,Иссык-Кульская область,Мужчины,4
2013,Иссык-Кульская область,Мужчины,13
2014,Иссык-Кульская область,Мужчины,16
2015,Иссык-Кульская область,Мужчины,5
2016,Иссык-Кульская область,Мужчины,1
2017,Иссык-Кульская область,Мужчины,6
2018,Иссык-Кульская область,Мужчины,1
2019,Иссык-Кульская область,Мужчины,4
2020,Иссык-Кульская область,Мужчины,0
2021,Иссык-Кульская область,Мужчины,7
2022,Иссык-Кульская область,Мужчины,3
2007,Иссык-Кульская область,Женщины,4
2008,Иссык-Кульская область,Женщины,16
2009,Иссык-Кульская область,Женщины,4
2010,Иссык-Кульская область,Женщины,5
2011,Иссык-Кульская область,Женщины,8
2012,Иссык-Кульская область,Женщины,0
2013,Иссык-Кульская область,Женщины,8
2014,Иссык-Кульская область,Женщины,9
2015,Иссык-Кульская область,Женщины,1
2016,Иссык-Кульская область,Женщины,1
2017,Иссык-Кульская область,Женщины,0
2018,Иссык-Кульская область,Женщины,1
2019,Иссык-Кульская область,Женщины,3
2020,Иссык-Кульская область,Женщины,0
2021,Иссык-Кульская область,Женщины,5
2022,Иссык-Кульская область,Женщины,2
2007,Нарынская область,,5
2008,Нарынская область,,6
2009,Нарынская область,,0
2010,Нарынская область,,7
2011,Нарынская область,,0
2012,Нарынская область,,5
2013,Нарынская область,,8
2014,Нарынская область,,2
2015,Нарынская область,,9
2016,Нарынская область,,1
