Year,Unit multiplier,SERIES,UNIT_MEASURE,Value
2010,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,99.5
2011,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,106.0
2012,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,99.9
2013,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,110.9
2014,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,104.0
2015,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,103.9
2016,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,104.3
2017,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,104.7
2018,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,103.8
2019,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,104.6
2020,Units,"GDP growth rate (decline), as a percentage of the previous year",Percent,91.6
2010,Units,"The consumer price index, as a percentage of the previous year",Index,108.0
2011,Units,"The consumer price index, as a percentage of the previous year",Index,116.6
2012,Units,"The consumer price index, as a percentage of the previous year",Index,102.8
2013,Units,"The consumer price index, as a percentage of the previous year",Index,106.6
2014,Units,"The consumer price index, as a percentage of the previous year",Index,107.5
2015,Units,"The consumer price index, as a percentage of the previous year",Index,106.5
2016,Units,"The consumer price index, as a percentage of the previous year",Index,100.4
2017,Units,"The consumer price index, as a percentage of the previous year",Index,103.2
2018,Units,"The consumer price index, as a percentage of the previous year",Index,101.5
2019,Units,"The consumer price index, as a percentage of the previous year",Index,101.1
2020,Units,"The consumer price index, as a percentage of the previous year",Index,106.3
2010,Units,"Producer Price Indices, as a percentage of the previous year",Index,122.79
2011,Units,"Producer Price Indices, as a percentage of the previous year",Index,122.02
2012,Units,"Producer Price Indices, as a percentage of the previous year",Index,105.3
2013,Units,"Producer Price Indices, as a percentage of the previous year",Index,97.92
2014,Units,"Producer Price Indices, as a percentage of the previous year",Index,101.45
2015,Units,"Producer Price Indices, as a percentage of the previous year",Index,108.75
2016,Units,"Producer Price Indices, as a percentage of the previous year",Index,106.41
2017,Units,"Producer Price Indices, as a percentage of the previous year",Index,101.66
2018,Units,"Producer Price Indices, as a percentage of the previous year",Index,101.49
2019,Units,"Producer Price Indices, as a percentage of the previous year",Index,104.26
2020,Units,"Producer Price Indices, as a percentage of the previous year",Index,121.27
2010,Millions,"Budget deficit and sources of financing, milllion soms",Local currency,-10767.9787
