Year,SERIES,Value
2018,Proportion of agricultural crop area fertilized with mineral fertilizers,364.0
2019,Proportion of agricultural crop area fertilized with mineral fertilizers,354.0
2020,Proportion of agricultural crop area fertilized with mineral fertilizers,359.0
2021,Proportion of agricultural crop area fertilized with mineral fertilizers,356.0
2022,Proportion of agricultural crop area fertilized with mineral fertilizers,368.0
2023,Proportion of agricultural crop area fertilized with mineral fertilizers,355.0
2024,Proportion of agricultural crop area fertilized with mineral fertilizers,40.2
2018,Proportion of agricultural crop area fertilized with organic fertilizers,25.0
2019,Proportion of agricultural crop area fertilized with organic fertilizers,25.0
2020,Proportion of agricultural crop area fertilized with organic fertilizers,22.0
2021,Proportion of agricultural crop area fertilized with organic fertilizers,25.0
2022,Proportion of agricultural crop area fertilized with organic fertilizers,27.0
2023,Proportion of agricultural crop area fertilized with organic fertilizers,25.0
2024,Proportion of agricultural crop area fertilized with organic fertilizers,27.0
