Year,Series,COMPOSITE_BREAKDOWN,Value
2013,_L_KG_010B01_11,Сектор: всего,86.5
2014,_L_KG_010B01_11,Сектор: всего,80.2
2015,_L_KG_010B01_11,Сектор: всего,81.8
2016,_L_KG_010B01_11,Сектор: всего,80.0
2017,_L_KG_010B01_11,Сектор: всего,78.4
2018,_L_KG_010B01_11,Сектор: всего,88.7
2013,_L_KG_010B01_12,Сектор: всего,13.5
2014,_L_KG_010B01_12,Сектор: всего,19.8
2015,_L_KG_010B01_12,Сектор: всего,18.2
2016,_L_KG_010B01_12,Сектор: всего,20.0
2017,_L_KG_010B01_12,Сектор: всего,21.6
2018,_L_KG_010B01_12,Сектор: всего,11.3
2013,_L_KG_010B01_11,Сектор: Экономические вопросы,29.3
2014,_L_KG_010B01_11,Сектор: Экономические вопросы,24.5
2015,_L_KG_010B01_11,Сектор: Экономические вопросы,29.2
2016,_L_KG_010B01_11,Сектор: Экономические вопросы,32.1
2017,_L_KG_010B01_11,Сектор: Экономические вопросы,24.0
2018,_L_KG_010B01_11,Сектор: Экономические вопросы,41.5
2013,_L_KG_010B01_12,Сектор: Экономические вопросы,70.7
2014,_L_KG_010B01_12,Сектор: Экономические вопросы,75.5
2015,_L_KG_010B01_12,Сектор: Экономические вопросы,70.8
2016,_L_KG_010B01_12,Сектор: Экономические вопросы,67.9
2017,_L_KG_010B01_12,Сектор: Экономические вопросы,76.0
2018,_L_KG_010B01_12,Сектор: Экономические вопросы,58.5
2013,_L_KG_010B01_11,Сектор: Здравоохранение,96.5
2014,_L_KG_010B01_11,Сектор: Здравоохранение,97.6
2015,_L_KG_010B01_11,Сектор: Здравоохранение,97.6
2016,_L_KG_010B01_11,Сектор: Здравоохранение,98.6
2017,_L_KG_010B01_11,Сектор: Здравоохранение,94.2
2018,_L_KG_010B01_11,Сектор: Здравоохранение,95.5
2013,_L_KG_010B01_12,Сектор: Здравоохранение,3.5
2014,_L_KG_010B01_12,Сектор: Здравоохранение,2.4
2015,_L_KG_010B01_12,Сектор: Здравоохранение,2.4
2016,_L_KG_010B01_12,Сектор: Здравоохранение,1.4
2017,_L_KG_010B01_12,Сектор: Здравоохранение,5.8
2018,_L_KG_010B01_12,Сектор: Здравоохранение,4.5
2013,_L_KG_010B01_11,Сектор: Образование,92.2
2014,_L_KG_010B01_11,Сектор: Образование,89.6
2015,_L_KG_010B01_11,Сектор: Образование,90.6
2016,_L_KG_010B01_11,Сектор: Образование,84.8
2017,_L_KG_010B01_11,Сектор: Образование,90.4
2018,_L_KG_010B01_11,Сектор: Образование,91.6
2013,_L_KG_010B01_12,Сектор: Образование,7.8
2014,_L_KG_010B01_12,Сектор: Образование,10.4
2015,_L_KG_010B01_12,Сектор: Образование,9.4
2016,_L_KG_010B01_12,Сектор: Образование,15.2
2017,_L_KG_010B01_12,Сектор: Образование,9.6
2018,_L_KG_010B01_12,Сектор: Образование,8.4
2013,_L_KG_010B01_11,Сектор: Жилищно-коммунальные услуги,94.3
2014,_L_KG_010B01_11,Сектор: Жилищно-коммунальные услуги,89.4
2015,_L_KG_010B01_11,Сектор: Жилищно-коммунальные услуги,91.7
2016,_L_KG_010B01_11,Сектор: Жилищно-коммунальные услуги,99.4
2017,_L_KG_010B01_11,Сектор: Жилищно-коммунальные услуги,90.1
2018,_L_KG_010B01_11,Сектор: Жилищно-коммунальные услуги,95.1
2013,_L_KG_010B01_12,Сектор: Жилищно-коммунальные услуги,5.7
2014,_L_KG_010B01_12,Сектор: Жилищно-коммунальные услуги,10.6
2015,_L_KG_010B01_12,Сектор: Жилищно-коммунальные услуги,8.3
2016,_L_KG_010B01_12,Сектор: Жилищно-коммунальные услуги,0.6
2017,_L_KG_010B01_12,Сектор: Жилищно-коммунальные услуги,9.9
2018,_L_KG_010B01_12,Сектор: Жилищно-коммунальные услуги,4.9
