Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,GeoCode,Value
2018,,,15 лет и старше,,,,,91.8
2019,,,15 лет и старше,,,,,91.178938
2020,,,15 лет и старше,,,,,92.6
2018,,,15 лет и старше,Городская,,,,94.9
2019,,,15 лет и старше,Городская,,,,95.590033
2020,,,15 лет и старше,Городская,,,,96.0
2018,,,15 лет и старше,Сельская,,,,89.9
2019,,,15 лет и старше,Сельская,,,,88.555506
2020,,,15 лет и старше,Сельская,,,,90.5
2018,,Мужчины,15 лет и старше,,,,,92.8
2019,,Мужчины,15 лет и старше,,,,,92.137465
2020,,Мужчины,15 лет и старше,,,,,93.2
2018,,Женщины,15 лет и старше,,,,,91.0
2019,,Женщины,15 лет и старше,,,,,90.379166
2020,,Женщины,15 лет и старше,,,,,92.0
2018,Баткенская область,,15 лет и старше,,,,KG05,91.1
2019,Баткенская область,,15 лет и старше,,,,KG05,92.501775
2020,Баткенская область,,15 лет и старше,,,,KG05,93.5
2018,Джалал-Абадская область,,15 лет и старше,,,,KG03,90.6
2019,Джалал-Абадская область,,15 лет и старше,,,,KG03,82.95577
2020,Джалал-Абадская область,,15 лет и старше,,,,KG03,83.5
2018,Иссык-Кульская область,,15 лет и старше,,,,KG02,92.1
2019,Иссык-Кульская область,,15 лет и старше,,,,KG02,93.390895
2020,Иссык-Кульская область,,15 лет и старше,,,,KG02,95.2
2018,Нарынская область,,15 лет и старше,,,,KG04,89.4
2019,Нарынская область,,15 лет и старше,,,,KG04,89.199874
2020,Нарынская область,,15 лет и старше,,,,KG04,92.2
2018,Ошская область,,15 лет и старше,,,,KG06,87.6
2019,Ошская область,,15 лет и старше,,,,KG06,89.256132
2020,Ошская область,,15 лет и старше,,,,KG06,93.2
2018,Таласская область,,15 лет и старше,,,,KG07,91.5
2019,Таласская область,,15 лет и старше,,,,KG07,90.937706
2020,Таласская область,,15 лет и старше,,,,KG07,92.6
2018,Чуйская область,,15 лет и старше,,,,KG08,94.6
2019,Чуйская область,,15 лет и старше,,,,KG08,95.858208
2020,Чуйская область,,15 лет и старше,,,,KG08,96.0
2018,г. Бишкек,,15 лет и старше,,,,KG11,97.0
2019,г. Бишкек,,15 лет и старше,,,,KG11,97.2808
2020,г. Бишкек,,15 лет и старше,,,,KG11,97.9
2018,г. Ош,,15 лет и старше,,,,KG21,88.3
2019,г. Ош,,15 лет и старше,,,,KG21,91.838606
2020,г. Ош,,15 лет и старше,,,,KG21,91.9
2018,,,от 15 до 28 лет,,,,,90.9
2019,,,от 15 до 28 лет,,,,,89.361139
2020,,,от 15 до 28 лет,,,,,90.1
2018,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,95.9
2019,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,95.334863
2020,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,96.1
2018,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,78.8
2019,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,80.597836
2020,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,85.6
2018,,,15 лет и старше,,,Начальное образование,,58.1
2019,,,15 лет и старше,,,Начальное образование,,60.727949
2020,,,15 лет и старше,,,Начальное образование,,68.7
2018,,,15 лет и старше,,,Первый этап среднего образования,,84.0
2019,,,15 лет и старше,,,Первый этап среднего образования,,82.680604
2020,,,15 лет и старше,,,Первый этап среднего образования,,85.6
2018,,,15 лет и старше,,,Второй этап среднего образования,,92.8
2019,,,15 лет и старше,,,Второй этап среднего образования,,92.037394
2020,,,15 лет и старше,,,Второй этап среднего образования,,92.9
2018,,,15 лет и старше,,,Послесреднее нетретичное образование,,96.4
2019,,,15 лет и старше,,,Послесреднее нетретичное образование,,96.037143
2020,,,15 лет и старше,,,Послесреднее нетретичное образование,,96.8
2018,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,98.1
2019,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,97.488857
2020,,,15 лет и старше,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,98.4
2018,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,88.941427
2019,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,86.235104
2020,,,15 лет и старше,,Квинтиль 1 (беднейшие),,,87.533804
2018,,,15 лет и старше,,Квинтиль 2,,,90.234584
2019,,,15 лет и старше,,Квинтиль 2,,,90.9333
2020,,,15 лет и старше,,Квинтиль 2,,,92.176936
2018,,,15 лет и старше,,Квинтиль 3,,,91.864446
2019,,,15 лет и старше,,Квинтиль 3,,,90.460037
2020,,,15 лет и старше,,Квинтиль 3,,,95.223429
2018,,,15 лет и старше,,Квинтиль 4,,,91.919084
2019,,,15 лет и старше,,Квинтиль 4,,,93.289778
2020,,,15 лет и старше,,Квинтиль 4,,,93.748841
2018,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,94.603144
2019,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,93.356497
2020,,,15 лет и старше,,Квинтиль 5 (богатейшие),,,95.771799
