Year,Value,SERIES
2007,43.1,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2008,41.5,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2009,39.0,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2010,42.8,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2011,45.3,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2012,47.1,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2013,51.6,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2014,47.6,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2015,46.8,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2016,45.3,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2017,45.3,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2018,48.9,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2019,49.2,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2020,53.2,"Доля расходов на основные услуги (образование, здравоохранение и социальную защиту) в общей сумме государственных расходов"
2007,22.4,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2008,21.4,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2009,19.6,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2010,17.4,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2011,19.9,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2012,20.2,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2013,20.8,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2014,18.5,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2015,18.9,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2016,20.0,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2017,19.4,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2018,21.1,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2019,21.4,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2020,23.2,"Доля расходов на основные услуги, образование, в общей сумме государственных расходов"
2007,10.2,Доля расходов на здравоохранение в общей сумме государственных расходов
2008,9.8,Доля расходов на здравоохранение в общей сумме государственных расходов
2009,9.9,Доля расходов на здравоохранение в общей сумме государственных расходов
2010,9.3,Доля расходов на здравоохранение в общей сумме государственных расходов
2011,9.9,Доля расходов на здравоохранение в общей сумме государственных расходов
2012,10.6,Доля расходов на здравоохранение в общей сумме государственных расходов
2013,11.3,Доля расходов на здравоохранение в общей сумме государственных расходов
2014,9.9,Доля расходов на здравоохранение в общей сумме государственных расходов
2015,9.5,Доля расходов на здравоохранение в общей сумме государственных расходов
2016,8.8,Доля расходов на здравоохранение в общей сумме государственных расходов
2017,9.7,Доля расходов на здравоохранение в общей сумме государственных расходов
2018,8.6,Доля расходов на здравоохранение в общей сумме государственных расходов
2019,8.3,Доля расходов на здравоохранение в общей сумме государственных расходов
2020,10.0,Доля расходов на здравоохранение в общей сумме государственных расходов
2007,10.5,Доля расходов на социальную защиту в общей сумме государственных расходов
2008,10.3,Доля расходов на социальную защиту в общей сумме государственных расходов
2009,9.5,Доля расходов на социальную защиту в общей сумме государственных расходов
2010,16.1,Доля расходов на социальную защиту в общей сумме государственных расходов
2011,15.5,Доля расходов на социальную защиту в общей сумме государственных расходов
2012,16.3,Доля расходов на социальную защиту в общей сумме государственных расходов
2013,19.5,Доля расходов на социальную защиту в общей сумме государственных расходов
2014,19.2,Доля расходов на социальную защиту в общей сумме государственных расходов
2015,18.4,Доля расходов на социальную защиту в общей сумме государственных расходов
2016,16.5,Доля расходов на социальную защиту в общей сумме государственных расходов
2017,16.2,Доля расходов на социальную защиту в общей сумме государственных расходов
2018,19.1,Доля расходов на социальную защиту в общей сумме государственных расходов
2019,19.5,Доля расходов на социальную защиту в общей сумме государственных расходов
2020,20.0,Доля расходов на социальную защиту в общей сумме государственных расходов
