Year,Value,SERIES
2007,313220.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2008,349682.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2009,274008.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2010,282009.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2011,136292.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2012,77413.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2013,180254.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2014,152940.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2015,132336.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2016,142943.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2017,135927.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2018,138265.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2019,147363.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2020,160561.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2021,233306.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2022,265803.0,"Численность пенсионеров, получающих пенсии по возрасту ниже ПМП, человек"
2007,5.968864,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2008,6.611241,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2009,5.109427,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2010,5.204752,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2011,2.488161,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2012,1.394354,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2013,3.120433,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2014,2.594375,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2015,2.198462,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2016,2.327986,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2017,2.172493,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2018,2.163941,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2019,2.259523,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2020,2.4,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2021,3.5,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2022,3.8,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП  к общей численности населения, процентов"
2007,59.241298,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2008,61.233202,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2009,48.534186,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2010,49.060743,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2011,22.957535,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2012,12.62552,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2013,28.824314,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2014,24.113102,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2015,20.458403,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2016,21.618658,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2017,20.190277,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2018,19.898854,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2019,20.5,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2020,21.8,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2021,30.8,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
2022,33.6,"Доля пенсионеров по возрасту, получающих пенсии ниже ПМП к  общей численности пенсионеров, процентов"
