Year,Value,SERIES
2010,1308,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2011,1453,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2012,1900,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2013,1589,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2014,1988,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2015,936,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2016,1172,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2017,1382,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2018,1305,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2019,1764,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2020,1701,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2021,1604,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2022,1373,"Число женщин, обратившихся по факту насилия в семье в отделы судебно-медицинской экспертизы"
2010,68,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2011,155,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2012,16,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2013,48,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2014,35,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2015,12,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2016,2,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2017,1,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2019,2,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2020,1,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2021,1,"Число женщин, обратившихся по факту насилия в семье в фельдшерско-акушерские пункты"
2010,401,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2011,581,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2012,509,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2013,508,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2014,495,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2015,666,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2016,657,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2017,629,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2018,555,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2019,539,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2020,379,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2021,510,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2022,117,"Число женщин, обратившихся по факту насилия в семье в организации здравоохранения, оказывающие медицинскую и профилактическую помощь ЦСМ"
2010,414,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2011,320,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2012,498,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2013,822,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2014,570,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2015,485,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2016,372,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2017,176,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2018,47,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2019,211,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2020,180,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2021,178,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2022,154,"Число женщин, обратившихся по факту насилия в семьев станции (отделения, больницы) скорой медицинской помощи"
2010,445,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2011,491,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2012,504,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2013,600,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2014,731,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2015,1896,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2016,1404,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2017,1084,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2018,970,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2019,939,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2020,798,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2021,822,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
2022,885,"Число женщин, получивших лечение по поводу заболеваний (травм), возникших в результате насилия в семье"
