Year,Value,UNIT_MEASURE,SERIES
2015,0.689,Индекс,Индекс человеческого развития
2016,0.692,Индекс,Индекс человеческого развития
2017,0.695,Индекс,Индекс человеческого развития
2018,0.698,Индекс,Индекс человеческого развития
2019,0.699,Индекс,Индекс человеческого развития
2020,0.691,Индекс,Индекс человеческого развития
2021,0.696,Индекс,Индекс человеческого развития
2022,0.701,Индекс,Индекс человеческого развития
2015,70.0,Лет,Ожидаемая продолжительность жизни при рождении
2016,70.3,Лет,Ожидаемая продолжительность жизни при рождении
2017,70.6,Лет,Ожидаемая продолжительность жизни при рождении
2018,70.7,Лет,Ожидаемая продолжительность жизни при рождении
2019,71.2,Лет,Ожидаемая продолжительность жизни при рождении
2020,69.6,Лет,Ожидаемая продолжительность жизни при рождении
2021,70.0,Лет,Ожидаемая продолжительность жизни при рождении
2022,70.5,Лет,Ожидаемая продолжительность жизни при рождении
2015,12.6,Лет,Ожидаемая продолжительность обучения
2016,12.7,Лет,Ожидаемая продолжительность обучения
2017,12.5,Лет,Ожидаемая продолжительность обучения
2018,12.4,Лет,Ожидаемая продолжительность обучения
2019,12.5,Лет,Ожидаемая продолжительность обучения
2020,12.6,Лет,Ожидаемая продолжительность обучения
2021,13.0,Лет,Ожидаемая продолжительность обучения
2022,13.0,Лет,Ожидаемая продолжительность обучения
2015,11.5,Лет,Средняя продолжительность обучения
2016,11.6,Лет,Средняя продолжительность обучения
2017,11.7,Лет,Средняя продолжительность обучения
2018,11.8,Лет,Средняя продолжительность обучения
2019,11.9,Лет,Средняя продолжительность обучения
2020,12.0,Лет,Средняя продолжительность обучения
2021,12.0,Лет,Средняя продолжительность обучения
2022,12.0,Лет,Средняя продолжительность обучения
