Year,Value,Series
2007,3014,Количество письменных обращений к Омбудсмену
2008,2136,Количество письменных обращений к Омбудсмену
2009,1742,Количество письменных обращений к Омбудсмену
2010,1862,Количество письменных обращений к Омбудсмену
2011,2098,Количество письменных обращений к Омбудсмену
2012,2843,Количество письменных обращений к Омбудсмену
2013,2466,Количество письменных обращений к Омбудсмену
2014,2411,Количество письменных обращений к Омбудсмену
2015,2483,Количество письменных обращений к Омбудсмену
2016,3800,Количество письменных обращений к Омбудсмену
2017,3242,Количество письменных обращений к Омбудсмену
2018,3237,Количество письменных обращений к Омбудсмену
2007,619,Количество положительно-решенных обращений к Омбудсмену
2010,309,Количество положительно-решенных обращений к Омбудсмену
2011,196,Количество положительно-решенных обращений к Омбудсмену
2012,501,Количество положительно-решенных обращений к Омбудсмену
2013,384,Количество положительно-решенных обращений к Омбудсмену
2015,374,Количество положительно-решенных обращений к Омбудсмену
2016,615,Количество положительно-решенных обращений к Омбудсмену
2017,531,Количество положительно-решенных обращений к Омбудсмену
2018,376,Количество положительно-решенных обращений к Омбудсмену
