Year,Value,SERIES
2007,2.1,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2008,2.4,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2009,2.0,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2010,2.9,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2011,2.0,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2012,2.5,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2013,2.5,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2014,1.3,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2015,1.6,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2016,2.1,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2017,2.0,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2018,1.7,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2019,1.4,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2020,1.1,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2021,0.9,"Доля проб воды, не отвечающих гигиеническим нормативам по санитарно-химическим показателям"
2007,10.6,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2008,10.7,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2009,9.5,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2010,11.3,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2011,12.7,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2012,10.7,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2013,8.4,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2014,6.5,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2015,7.7,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2016,8.4,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2017,8.1,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2018,8.2,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2019,8.6,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2020,7.0,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
2021,6.5,"Доля проб воды, не отвечающих гигиеническим нормативам по микробиологическим показателям"
