Year,Value,GeoCode,SERIES
2010,21,,Выявленные жертвы торговли людьми (число)
2011,5,,Выявленные жертвы торговли людьми (число)
2012,6,,Выявленные жертвы торговли людьми (число)
2013,9,,Выявленные жертвы торговли людьми (число)
2014,19,,Выявленные жертвы торговли людьми (число)
2015,8,,Выявленные жертвы торговли людьми (число)
2016,10,,Выявленные жертвы торговли людьми (число)
2017,5,,Выявленные жертвы торговли людьми (число)
2018,7,,Выявленные жертвы торговли людьми (число)
2019,11,,Выявленные жертвы торговли людьми (число)
2020,9,,Выявленные жертвы торговли людьми (число)
2021,6,,Выявленные жертвы торговли людьми (число)
2022,3,,Выявленные жертвы торговли людьми (число)
2023,17,,Выявленные жертвы торговли людьми (число)
2019,1,,"Выявленные жертвы торговли людьми для принудительного труда, подневольного состояния и рабства (число)"
2020,3,,"Выявленные жертвы торговли людьми для принудительного труда, подневольного состояния и рабства (число)"
2021,1,,"Выявленные жертвы торговли людьми для принудительного труда, подневольного состояния и рабства (число)"
2023,13,,"Выявленные жертвы торговли людьми для принудительного труда, подневольного состояния и рабства (число)"
2021,2,,Выявленные жертвы торговли людьми для сексуальной эксплуатации (число)
2022,1,,Выявленные жертвы торговли людьми для сексуальной эксплуатации (число)
2021,2,,Выявленные жертвы торговли людьми для других целей (число)
