Year,Value,Units,Series
2010,99.5,Процент,"Темп роста (снижения) ВВП, в процентах к  предыдущему году"
2011,106.0,Процент,"Темп роста (снижения) ВВП, в процентах к  предыдущему году"
2012,99.9,Процент,"Темп роста (снижения) ВВП, в процентах к  предыдущему году"
2013,110.9,Процент,"Темп роста (снижения) ВВП, в процентах к  предыдущему году"
2014,104.0,Процент,"Темп роста (снижения) ВВП, в процентах к  предыдущему году"
2015,103.9,Процент,"Темп роста (снижения) ВВП, в процентах к  предыдущему году"
2016,104.3,Процент,"Темп роста (снижения) ВВП, в процентах к  предыдущему году"
2017,104.7,Процент,"Темп роста (снижения) ВВП, в процентах к  предыдущему году"
2018,103.8,Процент,"Темп роста (снижения) ВВП, в процентах к  предыдущему году"
2010,108.0,Процент,"Индекс потребительских цен, в поцентах к предыдущему году"
2011,116.6,Процент,"Индекс потребительских цен, в поцентах к предыдущему году"
2012,102.8,Процент,"Индекс потребительских цен, в поцентах к предыдущему году"
2013,106.6,Процент,"Индекс потребительских цен, в поцентах к предыдущему году"
2014,107.5,Процент,"Индекс потребительских цен, в поцентах к предыдущему году"
2015,106.5,Процент,"Индекс потребительских цен, в поцентах к предыдущему году"
2016,100.4,Процент,"Индекс потребительских цен, в поцентах к предыдущему году"
2017,103.2,Процент,"Индекс потребительских цен, в поцентах к предыдущему году"
2018,101.5,Процент,"Индекс потребительских цен, в поцентах к предыдущему году"
2019,101.1,Процент,"Индекс потребительских цен, в поцентах к предыдущему году"
2010,122.79,Процент,"Индекс цен производителей, в поцентах к предыдущему году"
2011,122.02,Процент,"Индекс цен производителей, в поцентах к предыдущему году"
2012,105.3,Процент,"Индекс цен производителей, в поцентах к предыдущему году"
2013,97.92,Процент,"Индекс цен производителей, в поцентах к предыдущему году"
2014,101.45,Процент,"Индекс цен производителей, в поцентах к предыдущему году"
2015,108.75,Процент,"Индекс цен производителей, в поцентах к предыдущему году"
2016,106.41,Процент,"Индекс цен производителей, в поцентах к предыдущему году"
2017,101.66,Процент,"Индекс цен производителей, в поцентах к предыдущему году"
2018,101.49,Процент,"Индекс цен производителей, в поцентах к предыдущему году"
2019,104.1,Процент,"Индекс цен производителей, в поцентах к предыдущему году"
2010,-10767.9787,Местная валюта,"Дефицит государственного бюджета и источники его финансирования, млн сомов"
2011,-13663.7111,Местная валюта,"Дефицит государственного бюджета и источники его финансирования, млн сомов"
2012,-20232.3134,Местная валюта,"Дефицит государственного бюджета и источники его финансирования, млн сомов"
2013,-2330.4823,Местная валюта,"Дефицит государственного бюджета и источники его финансирования, млн сомов"
2014,-1875.5431,Местная валюта,"Дефицит государственного бюджета и источники его финансирования, млн сомов"
2015,-6149.3213,Местная валюта,"Дефицит государственного бюджета и источники его финансирования, млн сомов"
2016,-20888.9124,Местная валюта,"Дефицит государственного бюджета и источники его финансирования, млн сомов"
2017,-16476.1602,Местная валюта,"Дефицит государственного бюджета и источники его финансирования, млн сомов"
2018,-6188.9008,Местная валюта,"Дефицит государственного бюджета и источники его финансирования, млн сомов"
2019,-431.7092,Местная валюта,"Дефицит государственного бюджета и источники его финансирования, млн сомов"
2010,7667.4055,Местная валюта,"Объем государственного долга, млн сомов"
2011,9394.668149,Местная валюта,"Объем государственного долга, млн сомов"
2012,11440.61056,Местная валюта,"Объем государственного долга, млн сомов"
2013,13939.58569,Местная валюта,"Объем государственного долга, млн сомов"
2014,13713.456934,Местная валюта,"Объем государственного долга, млн сомов"
2015,14364.3936,Местная валюта,"Объем государственного долга, млн сомов"
2016,20698.734025,Местная валюта,"Объем государственного долга, млн сомов"
2017,20620.480819999997,Местная валюта,"Объем государственного долга, млн сомов"
2018,23747.690011000002,Местная валюта,"Объем государственного долга, млн сомов"
2010,105.6,Процент,"Внешеторговый оборот, в процентах к предыдущему году"
2011,130.62446,Процент,"Внешеторговый оборот, в процентах к предыдущему году"
2012,115.38426100000001,Процент,"Внешеторговый оборот, в процентах к предыдущему году"
2013,106.528605,Процент,"Внешеторговый оборот, в процентах к предыдущему году"
2014,95.30386,Процент,"Внешеторговый оборот, в процентах к предыдущему году"
2015,73.989322,Процент,"Внешеторговый оборот, в процентах к предыдущему году"
2016,98.878752,Процент,"Внешеторговый оборот, в процентах к предыдущему году"
2017,112.29725900000001,Процент,"Внешеторговый оборот, в процентах к предыдущему году"
2018,113.89678899999998,Процент,"Внешеторговый оборот, в процентах к предыдущему году"
2010,1755.9245,Доллар США,"Экспорт, млн. долларов США"
2011,2242.1664,Доллар США,"Экспорт, млн. долларов США"
2012,1927.6232,Доллар США,"Экспорт, млн. долларов США"
2013,2006.8497,Доллар США,"Экспорт, млн. долларов США"
2014,1883.733456,Доллар США,"Экспорт, млн. долларов США"
2015,1482.942034,Доллар США,"Экспорт, млн. долларов США"
2016,1573.21493,Доллар США,"Экспорт, млн. долларов США"
2017,1764.254644,Доллар США,"Экспорт, млн. долларов США"
2018,1836.838696,Доллар США,"Экспорт, млн. долларов США"
2010,3222.772182,Доллар США,"Импорт, млн. долларов США"
2011,4261.226418,Доллар США,"Импорт, млн. долларов США"
2012,5576.264131,Доллар США,"Импорт, млн. долларов США"
2013,5986.983003,Доллар США,"Импорт, млн. долларов США"
2014,5734.703808,Доллар США,"Импорт, млн. долларов США"
2015,4153.86051,Доллар США,"Импорт, млн. долларов США"
2016,4000.442107,Доллар США,"Импорт, млн. долларов США"
2017,4494.728178,Доллар США,"Импорт, млн. долларов США"
2018,5291.945776,Доллар США,"Импорт, млн. долларов США"
