Year,Value,GeoCode,SERIES
2007,94.1,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2008,95.3,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2009,95.4,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2010,96.5,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2011,95.1,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2012,96.2,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2013,96.9,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2014,95.8,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2015,96.6,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2016,96.1,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2017,93.4,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2018,94.5,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2019,94.351083,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2020,88.157251,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2021,88.796593,,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3)
2007,98.8,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2008,99.1,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2009,98.9,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2010,98.3,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2011,97.2,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2012,97.7,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2013,98.666102,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2014,95.6,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2015,99.1,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2016,97.0,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2017,94.7,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2018,96.244215,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2019,97.245414,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2020,93.789319,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2021,93.378399,,"Доля целевой группы населения, имеющей доступ ко второй дозе вакцины против кори (MCV2)"
2015,96.8,,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3)
2016,97.2,,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3)
2017,94.2,,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3)
2018,92.0,,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3)
2019,95.083643,,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3)
2020,88.782542,,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3)
2021,89.631204,,Доля целевой популяции с доступом к 3-й дозе пневмококкового конъюгата (PCV3)
