Year,Value,SERIES
2015,3.4,Распространенность анемии среди женщин в возрасте 15–49 лет
2016,2.8,Распространенность анемии среди женщин в возрасте 15–49 лет
2017,2.8,Распространенность анемии среди женщин в возрасте 15–49 лет
2018,2.5,Распространенность анемии среди женщин в возрасте 15–49 лет
2019,2.0,Распространенность анемии среди женщин в возрасте 15–49 лет
2020,1.156022,Распространенность анемии среди женщин в возрасте 15–49 лет
2021,1.3,Распространенность анемии среди женщин в возрасте 15–49 лет
2015,52.846005,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)"
2016,47.502069,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)"
2017,52.792095,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)"
2018,58.958873,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)"
2019,55.240237,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)"
2020,40.422043,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)"
2021,35.440295,"Распространенность анемии среди женщин в возрасте 15–49 лет, беременные (в процентах)"
