Year,Value,SERIES
2012,975,"Доля населения, охваченного, как минимум, 2G мобильной сетью "
2013,976,"Доля населения, охваченного, как минимум, 2G мобильной сетью "
2014,977,"Доля населения, охваченного, как минимум, 2G мобильной сетью "
2015,978,"Доля населения, охваченного, как минимум, 2G мобильной сетью "
2016,990,"Доля населения, охваченного, как минимум, 2G мобильной сетью "
2017,991,"Доля населения, охваченного, как минимум, 2G мобильной сетью "
2018,992,"Доля населения, охваченного, как минимум, 2G мобильной сетью "
2019,993,"Доля населения, охваченного, как минимум, 2G мобильной сетью "
2020,990,"Доля населения, охваченного, как минимум, 2G мобильной сетью "
2012,463,"Доля населения, охваченного, как минимум, 3G мобильной сетью"
2013,510,"Доля населения, охваченного, как минимум, 3G мобильной сетью"
2014,570,"Доля населения, охваченного, как минимум, 3G мобильной сетью"
2015,590,"Доля населения, охваченного, как минимум, 3G мобильной сетью"
2016,600,"Доля населения, охваченного, как минимум, 3G мобильной сетью"
2017,750,"Доля населения, охваченного, как минимум, 3G мобильной сетью"
2018,880,"Доля населения, охваченного, как минимум, 3G мобильной сетью"
2019,910,"Доля населения, охваченного, как минимум, 3G мобильной сетью"
2020,893,"Доля населения, охваченного, как минимум, 3G мобильной сетью"
2014,5,"Доля населения, охваченного, как минимум, 4G мобильной сетью"
2015,16,"Доля населения, охваченного, как минимум, 4G мобильной сетью"
2016,400,"Доля населения, охваченного, как минимум, 4G мобильной сетью"
2017,500,"Доля населения, охваченного, как минимум, 4G мобильной сетью"
2018,700,"Доля населения, охваченного, как минимум, 4G мобильной сетью"
2019,850,"Доля населения, охваченного, как минимум, 4G мобильной сетью"
2020,819,"Доля населения, охваченного, как минимум, 4G мобильной сетью"
