Year,Value,SERIES
2007,3014,Количество письменных обращений к Омбудсмену
2008,2136,Количество письменных обращений к Омбудсмену
2009,1742,Количество письменных обращений к Омбудсмену
2010,1862,Количество письменных обращений к Омбудсмену
2011,2098,Количество письменных обращений к Омбудсмену
2012,2843,Количество письменных обращений к Омбудсмену
2013,2466,Количество письменных обращений к Омбудсмену
2014,2411,Количество письменных обращений к Омбудсмену
2015,2483,Количество письменных обращений к Омбудсмену
2016,3800,Количество письменных обращений к Омбудсмену
2017,3242,Количество письменных обращений к Омбудсмену
2018,3237,Количество письменных обращений к Омбудсмену
2019,3923,Количество письменных обращений к Омбудсмену
2020,3255,Количество письменных обращений к Омбудсмену
2021,4301,Количество письменных обращений к Омбудсмену
2022,3690,Количество письменных обращений к Омбудсмену
2023,2620,Количество письменных обращений к Омбудсмену
2007,619,Количество удовлетворенно решенных обращений к Омбудсмену
2010,309,Количество удовлетворенно решенных обращений к Омбудсмену
2011,196,Количество удовлетворенно решенных обращений к Омбудсмену
2012,501,Количество удовлетворенно решенных обращений к Омбудсмену
2013,384,Количество удовлетворенно решенных обращений к Омбудсмену
2015,374,Количество удовлетворенно решенных обращений к Омбудсмену
2016,615,Количество удовлетворенно решенных обращений к Омбудсмену
2017,531,Количество удовлетворенно решенных обращений к Омбудсмену
2018,376,Количество удовлетворенно решенных обращений к Омбудсмену
2019,445,Количество удовлетворенно решенных обращений к Омбудсмену
2020,343,Количество удовлетворенно решенных обращений к Омбудсмену
2021,427,Количество удовлетворенно решенных обращений к Омбудсмену
2022,280,Количество удовлетворенно решенных обращений к Омбудсмену
2023,264,Количество удовлетворенно решенных обращений к Омбудсмену
