Year,SERIES,Территория,GeoCode,Value
2007,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,94.1
2008,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,95.3
2009,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,95.4
2010,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,96.5
2011,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,95.1
2012,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,96.2
2013,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,96.9
2014,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,95.8
2015,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,96.6
2016,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,96.1
2017,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,93.4
2018,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,94.5
2019,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,94.351083
2020,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,88.157251
2021,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),,,88.796593
2007,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,93.4
2008,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,96.8
2009,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,95.4
2010,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,96.8
2011,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,96.7
2012,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,98.3
2013,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,97.7
2014,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,98.9
2015,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,98.6
2016,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,98.1
2017,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,96.7
2018,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,96.6
2019,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,98.322619
2020,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,91.684706
2021,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Баткенская область,KG05,86.908583
2007,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,93.6
2008,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,95.6
2009,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,95.9
2010,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,95.9
2011,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,94.2
2012,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,95.9
2013,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,97.8
2014,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,94.8
2015,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,96.1
2016,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,95.8
2017,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,93.8
2018,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,96.1
2019,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,90.174029
2020,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,87.415504
2021,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Джалал-Абадская область,KG03,89.680107
2007,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,93.9
2008,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,95.2
2009,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,95.3
2010,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,97.2
2011,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,93.6
2012,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,96.9
2013,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,97.3
2014,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,91.3
2015,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,98.0
2016,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,95.9
2017,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,96.1
2018,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,95.0
2019,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,94.575714
2020,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,87.604354
2021,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Иссык-Кульская область,KG02,95.77591
2007,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,94.4
2008,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,95.2
2009,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,95.3
2010,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,96.8
2011,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,95.5
2012,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,97.4
2013,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,98.0
2014,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,97.6
2015,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,97.2
2016,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,96.8
2017,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,97.0
2018,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,94.8
2019,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,97.59292
2020,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,90.958705
2021,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Нарынская область,KG04,96.517042
2007,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,94.4
2008,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,94.5
2009,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,95.1
2010,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,95.5
2011,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,93.6
2012,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,93.0
2013,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,96.2
2014,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,98.3
2015,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,97.1
2016,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,98.5
2017,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,96.6
2018,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,95.8
2019,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,99.33564
2020,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,95.543628
2021,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Ошская область,KG06,90.31153
2007,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,94.0
2008,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,94.8
2009,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,94.6
2010,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,96.8
2011,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,95.3
2012,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,96.0
2013,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,96.2
2014,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,93.4
2015,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,96.8
2016,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,95.2
2017,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,93.1
2018,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,95.3
2019,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,92.698706
2020,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,94.171956
2021,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Таласская область,KG07,90.746325
2007,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,94.0
2008,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,95.5
2009,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,95.5
2010,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,96.3
2011,Доля целевой группы населения с доступом к 3 дозам дифтерии-столбняка-коклюша (АКДС3),Чуйская область,KG08,96.8
