Year,SERIES,COMPOSITE_BREAKDOWN,Value
2013,Share of current government expenditure by sectors,Sector: Total,86.5
2014,Share of current government expenditure by sectors,Sector: Total,80.2
2015,Share of current government expenditure by sectors,Sector: Total,81.8
2016,Share of current government expenditure by sectors,Sector: Total,80.0
2017,Share of current government expenditure by sectors,Sector: Total,78.4
2018,Share of current government expenditure by sectors,Sector: Total,88.7
2019,Share of current government expenditure by sectors,Sector: Total,81.1
2020,Share of current government expenditure by sectors,Sector: Total,85.8
2021,Share of current government expenditure by sectors,Sector: Total,78.1
2022,Share of current government expenditure by sectors,Sector: Total,72.2
2023,Share of current government expenditure by sectors,Sector: Total,75.7
2013,Share of capital government expenditures by sectors,Sector: Total,13.5
2014,Share of capital government expenditures by sectors,Sector: Total,19.8
2015,Share of capital government expenditures by sectors,Sector: Total,18.2
2016,Share of capital government expenditures by sectors,Sector: Total,20.0
2017,Share of capital government expenditures by sectors,Sector: Total,21.6
2018,Share of capital government expenditures by sectors,Sector: Total,11.3
2019,Share of capital government expenditures by sectors,Sector: Total,18.9
2020,Share of capital government expenditures by sectors,Sector: Total,14.2
2021,Share of capital government expenditures by sectors,Sector: Total,21.9
2022,Share of capital government expenditures by sectors,Sector: Total,27.8
2023,Share of capital government expenditures by sectors,Sector: Total,24.3
2013,Share of current government expenditure by sectors,Sector: Economic affairs,29.3
2014,Share of current government expenditure by sectors,Sector: Economic affairs,24.5
2015,Share of current government expenditure by sectors,Sector: Economic affairs,29.2
2016,Share of current government expenditure by sectors,Sector: Economic affairs,32.1
2017,Share of current government expenditure by sectors,Sector: Economic affairs,24.0
2018,Share of current government expenditure by sectors,Sector: Economic affairs,41.5
2019,Share of current government expenditure by sectors,Sector: Economic affairs,22.8
2020,Share of current government expenditure by sectors,Sector: Economic affairs,25.6
2021,Share of current government expenditure by sectors,Sector: Economic affairs,24.2
2022,Share of current government expenditure by sectors,Sector: Economic affairs,21.4
2023,Share of current government expenditure by sectors,Sector: Economic affairs,31.1
2013,Share of capital government expenditures by sectors,Sector: Economic affairs,70.7
2014,Share of capital government expenditures by sectors,Sector: Economic affairs,75.5
2015,Share of capital government expenditures by sectors,Sector: Economic affairs,70.8
2016,Share of capital government expenditures by sectors,Sector: Economic affairs,67.9
2017,Share of capital government expenditures by sectors,Sector: Economic affairs,76.0
2018,Share of capital government expenditures by sectors,Sector: Economic affairs,58.5
2019,Share of capital government expenditures by sectors,Sector: Economic affairs,77.2
2020,Share of capital government expenditures by sectors,Sector: Economic affairs,74.4
2021,Share of capital government expenditures by sectors,Sector: Economic affairs,75.8
2022,Share of capital government expenditures by sectors,Sector: Economic affairs,78.6
2023,Share of capital government expenditures by sectors,Sector: Economic affairs,68.9
2013,Share of current government expenditure by sectors,Sector: Health,96.5
2014,Share of current government expenditure by sectors,Sector: Health,97.6
2015,Share of current government expenditure by sectors,Sector: Health,97.6
2016,Share of current government expenditure by sectors,Sector: Health,98.6
2017,Share of current government expenditure by sectors,Sector: Health,94.2
2018,Share of current government expenditure by sectors,Sector: Health,95.5
2019,Share of current government expenditure by sectors,Sector: Health,84.4
2020,Share of current government expenditure by sectors,Sector: Health,72.7
2021,Share of current government expenditure by sectors,Sector: Health,73.3
2022,Share of current government expenditure by sectors,Sector: Health,72.8
2023,Share of current government expenditure by sectors,Sector: Health,76.7
2013,Share of capital government expenditures by sectors,Sector: Health,3.5
2014,Share of capital government expenditures by sectors,Sector: Health,2.4
2015,Share of capital government expenditures by sectors,Sector: Health,2.4
2016,Share of capital government expenditures by sectors,Sector: Health,1.4
2017,Share of capital government expenditures by sectors,Sector: Health,5.8
2018,Share of capital government expenditures by sectors,Sector: Health,4.5
2019,Share of capital government expenditures by sectors,Sector: Health,15.6
2020,Share of capital government expenditures by sectors,Sector: Health,27.3
2021,Share of capital government expenditures by sectors,Sector: Health,26.7
2022,Share of capital government expenditures by sectors,Sector: Health,27.2
2023,Share of capital government expenditures by sectors,Sector: Health,23.3
2013,Share of current government expenditure by sectors,Sector: Education,92.2
2014,Share of current government expenditure by sectors,Sector: Education,89.6
2015,Share of current government expenditure by sectors,Sector: Education,90.6
2016,Share of current government expenditure by sectors,Sector: Education,84.8
2017,Share of current government expenditure by sectors,Sector: Education,90.4
2018,Share of current government expenditure by sectors,Sector: Education,91.6
2019,Share of current government expenditure by sectors,Sector: Education,90.3
2020,Share of current government expenditure by sectors,Sector: Education,93.4
2021,Share of current government expenditure by sectors,Sector: Education,90.5
2022,Share of current government expenditure by sectors,Sector: Education,87.8
2023,Share of current government expenditure by sectors,Sector: Education,89.0
2013,Share of capital government expenditures by sectors,Sector: Education,7.8
2014,Share of capital government expenditures by sectors,Sector: Education,10.4
2015,Share of capital government expenditures by sectors,Sector: Education,9.4
2016,Share of capital government expenditures by sectors,Sector: Education,15.2
2017,Share of capital government expenditures by sectors,Sector: Education,9.6
2018,Share of capital government expenditures by sectors,Sector: Education,8.4
2019,Share of capital government expenditures by sectors,Sector: Education,9.7
2020,Share of capital government expenditures by sectors,Sector: Education,6.6
2021,Share of capital government expenditures by sectors,Sector: Education,9.5
2022,Share of capital government expenditures by sectors,Sector: Education,12.2
2023,Share of capital government expenditures by sectors,Sector: Education,11.0
2013,Share of current government expenditure by sectors,Sector: Housing and community amenities,94.3
2014,Share of current government expenditure by sectors,Sector: Housing and community amenities,89.4
2015,Share of current government expenditure by sectors,Sector: Housing and community amenities,91.7
2016,Share of current government expenditure by sectors,Sector: Housing and community amenities,99.4
2017,Share of current government expenditure by sectors,Sector: Housing and community amenities,90.1
2018,Share of current government expenditure by sectors,Sector: Housing and community amenities,95.1
2019,Share of current government expenditure by sectors,Sector: Housing and community amenities,60.2
2020,Share of current government expenditure by sectors,Sector: Housing and community amenities,66.0
2021,Share of current government expenditure by sectors,Sector: Housing and community amenities,59.3
2022,Share of current government expenditure by sectors,Sector: Housing and community amenities,44.9
2023,Share of current government expenditure by sectors,Sector: Housing and community amenities,48.3
2013,Share of capital government expenditures by sectors,Sector: Housing and community amenities,5.7
2014,Share of capital government expenditures by sectors,Sector: Housing and community amenities,10.6
2015,Share of capital government expenditures by sectors,Sector: Housing and community amenities,8.3
2016,Share of capital government expenditures by sectors,Sector: Housing and community amenities,0.6
2017,Share of capital government expenditures by sectors,Sector: Housing and community amenities,9.9
2018,Share of capital government expenditures by sectors,Sector: Housing and community amenities,4.9
2019,Share of capital government expenditures by sectors,Sector: Housing and community amenities,39.8
2020,Share of capital government expenditures by sectors,Sector: Housing and community amenities,34.0
2021,Share of capital government expenditures by sectors,Sector: Housing and community amenities,40.7
2022,Share of capital government expenditures by sectors,Sector: Housing and community amenities,55.1
2023,Share of capital government expenditures by sectors,Sector: Housing and community amenities,51.7
