Year,Value
2007,0.077639
2008,0.103795
2009,0.124661
2010,0.1017
2011,0.107723
2012,0.125562
2013,0.083925
2014,0.104881
2015,0.101567
2016,0.117451
2017,0.128435
2018,0.1297
2019,0.1
2007,0.041956
2008,0.067162
2009,0.064553
2010,0.060539
2011,0.064473
2012,0.105748
2013,0.070194
2014,0.090885
2015,0.091088
2016,0.097137
2017,0.106527
2018,0.097582
2019,0.1
2007,0.114296
2008,0.14143
2009,0.186359
2010,0.143928
2011,0.152077
2012,0.145855
2013,0.09797
2014,0.119179
2015,0.112257
2016,0.138147
2017,0.150731
2018,0.162349
2019,0.2
