Year,Пол,Тип местности,COMPOSITE_BREAKDOWN,Value
2015,,,Ведение домашнего хозяйства,13.2
2020,,,Ведение домашнего хозяйства,11.5
2015,,Городская,Ведение домашнего хозяйства,12.5
2020,,Городская,Ведение домашнего хозяйства,10.7
2015,,Сельская,Ведение домашнего хозяйства,13.9
2020,,Сельская,Ведение домашнего хозяйства,11.9
2015,Мужчины,,Ведение домашнего хозяйства,6.5
2020,Мужчины,,Ведение домашнего хозяйства,3.9
2015,Женщины,,Ведение домашнего хозяйства,18.8
2020,Женщины,,Ведение домашнего хозяйства,18.1
2015,,,"Работа на приусадебном, дачном, садовом участке",1.7
2020,,,"Работа на приусадебном, дачном, садовом участке",2.6
2015,,Городская,"Работа на приусадебном, дачном, садовом участке",0.4
2020,,Городская,"Работа на приусадебном, дачном, садовом участке",1.0
2015,,Сельская,"Работа на приусадебном, дачном, садовом участке",3.1
2020,,Сельская,"Работа на приусадебном, дачном, садовом участке",3.5
2015,Мужчины,,"Работа на приусадебном, дачном, садовом участке",2.4
2020,Мужчины,,"Работа на приусадебном, дачном, садовом участке",3.6
2015,Женщины,,"Работа на приусадебном, дачном, садовом участке",1.0
2020,Женщины,,"Работа на приусадебном, дачном, садовом участке",1.7
2015,,,Воспитание детей,0.9
2020,,,Воспитание детей,2.0
2015,,Городская,Воспитание детей,0.9
2020,,Городская,Воспитание детей,1.7
2015,,Сельская,Воспитание детей,0.9
2020,,Сельская,Воспитание детей,2.2
2015,Мужчины,,Воспитание детей,0.6
2020,Мужчины,,Воспитание детей,1.2
2015,Женщины,,Воспитание детей,1.2
2020,Женщины,,Воспитание детей,2.8
