Year,Reference area,Degree of urbanisation,GeoCode,Value
2015,,,,38.5
2016,,,,30.3
2017,,,,31.2
2018,,,,29.8
2019,,,,24.8
2020,,,,42.4
2021,,,,37.1
2022,,,,28.1
2023,,,,26.0
2024,,,,25.7
2015,Batken,,KG05,32.6
2016,Batken,,KG05,41.9
2017,Batken,,KG05,59.4
2018,Batken,,KG05,26.9
2019,Batken,,KG05,32.3
2020,Batken,,KG05,42.4
2021,Batken,,KG05,45.7
2022,Batken,,KG05,34.9
2023,Batken,,KG05,14.5
2024,Batken,,KG05,30.4
2015,Jalal-Abad,,KG03,56.4
2016,Jalal-Abad,,KG03,33.5
2017,Jalal-Abad,,KG03,50.3
2018,Jalal-Abad,,KG03,38.2
2019,Jalal-Abad,,KG03,34.1
2020,Jalal-Abad,,KG03,53.2
2021,Jalal-Abad,,KG03,30.5
2022,Jalal-Abad,,KG03,28.7
2023,Jalal-Abad,,KG03,46.9
2024,Jalal-Abad,,KG03,30.6
2015,Issyk-Kul,,KG02,17.8
2016,Issyk-Kul,,KG02,43.4
2017,Issyk-Kul,,KG02,37.0
2018,Issyk-Kul,,KG02,62.3
2019,Issyk-Kul,,KG02,18.9
2020,Issyk-Kul,,KG02,100.6
2021,Issyk-Kul,,KG02,103.5
2022,Issyk-Kul,,KG02,38.5
2023,Issyk-Kul,,KG02,26.5
2024,Issyk-Kul,,KG02,56.5
2015,Naryn,,KG04,30.6
2016,Naryn,,KG04,29.2
2018,Naryn,,KG04,135.9
2019,Naryn,,KG04,33.1
2020,Naryn,,KG04,52.6
2021,Naryn,,KG04,167.5
2022,Naryn,,KG04,48.0
2015,Osh,,KG06,30.6
2016,Osh,,KG06,27.7
2017,Osh,,KG06,25.6
2018,Osh,,KG06,22.2
2019,Osh,,KG06,25.5
2020,Osh,,KG06,24.5
2021,Osh,,KG06,33.3
2022,Osh,,KG06,25.6
2023,Osh,,KG06,30.2
2024,Osh,,KG06,7.3
2015,Talas,,KG07,15.1
2019,Talas,,KG07,33.3
2020,Talas,,KG07,51.9
2021,Talas,,KG07,37.1
2022,Talas,,KG07,104.5
2023,Talas,,KG07,63.9
2024,Talas,,KG07,70.1
2015,Chui,,KG08,49.2
2016,Chui,,KG08,43.5
2017,Chui,,KG08,22.9
2018,Chui,,KG08,20.1
2019,Chui,,KG08,36.6
2020,Chui,,KG08,46.1
2021,Chui,,KG08,32.5
2022,Chui,,KG08,23.5
2023,Chui,,KG08,28.1
2024,Chui,,KG08,50.2
2015,Bishkek (city),,KG11,30.5
2016,Bishkek (city),,KG11,17.6
2017,Bishkek (city),,KG11,13.4
2018,Bishkek (city),,KG11,14.4
2019,Bishkek (city),,KG11,10.1
2020,Bishkek (city),,KG11,26.8
2021,Bishkek (city),,KG11,19.3
2022,Bishkek (city),,KG11,34.3
2023,Bishkek (city),,KG11,13.5
2024,Bishkek (city),,KG11,27.0
2015,Osh (city),,KG21,68.1
2016,Osh (city),,KG21,13.5
2017,Osh (city),,KG21,51.9
2018,Osh (city),,KG21,16.7
2020,Osh (city),,KG21,33.6
2021,Osh (city),,KG21,16.5
2023,Osh (city),,KG21,14.0
2024,Osh (city),,KG21,8.6
2015,,Urban,,26.678354
2016,,Urban,,15.500872
2017,,Urban,,18.928997
2018,,Urban,,25.787319
2019,,Urban,,19.722071
2020,,Urban,,28.096387
2021,,Urban,,15.620851
2022,,Urban,,19.598556
2023,,Urban,,19.821114
2024,,Urban,,20.34588
2015,,Rural,,44.154089
2016,,Rural,,36.602534
2017,,Rural,,37.701779
2018,,Rural,,32.079778
2019,,Rural,,27.889335
2020,,Rural,,51.226359
2021,,Rural,,54.557907
2022,,Rural,,32.585734
2023,,Rural,,28.404787
2024,,Rural,,28.487219
