Year,Пол,Вид экономической деятельности,Value
2011,Женщины,,8365.6
2011,Мужчины,,10675.2
2012,Женщины,,8700.3
2012,Мужчины,,11716.3
2013,Женщины,,9113.1
2013,Мужчины,,12439.5
2014,Женщины,,9732.4
2014,Мужчины,,13694.6
2015,Женщины,,11125.3
2015,Мужчины,,14742.8
2016,Женщины,,11742.9
2016,Мужчины,,15591.5
2017,Женщины,,12182.8
2017,Мужчины,,16802.1
2018,Женщины,,12573.5
2018,Мужчины,,17556.4
2011,Женщины,"Сельское хозяйство, лесоводство и рыболовство",4548.5
2011,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",4561.6
2012,Женщины,"Сельское хозяйство, лесоводство и рыболовство",4726.7
2012,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",4879.9
2013,Женщины,"Сельское хозяйство, лесоводство и рыболовство",5230.8
2013,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",5699.4
2014,Женщины,"Сельское хозяйство, лесоводство и рыболовство",6192.7
2014,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",6074.3
2015,Женщины,"Сельское хозяйство, лесоводство и рыболовство",7378.6
2015,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",9018.1
2016,Женщины,"Сельское хозяйство, лесоводство и рыболовство",7390.0
2016,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",8359.8
2017,Женщины,"Сельское хозяйство, лесоводство и рыболовство",8497.0
2017,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",8922.4
2018,Женщины,"Сельское хозяйство, лесоводство и рыболовство",8905.7
2018,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",9116.6
2011,Женщины,Горнодобывающая промышленность и разработка карьеров,10291.1
2011,Мужчины,Горнодобывающая промышленность и разработка карьеров,10478.8
2012,Женщины,Горнодобывающая промышленность и разработка карьеров,13648.2
2012,Мужчины,Горнодобывающая промышленность и разработка карьеров,17111.1
2013,Женщины,Горнодобывающая промышленность и разработка карьеров,13694.6
2013,Мужчины,Горнодобывающая промышленность и разработка карьеров,14402.8
2014,Женщины,Горнодобывающая промышленность и разработка карьеров,14243.4
2014,Мужчины,Горнодобывающая промышленность и разработка карьеров,15562.2
2015,Женщины,Горнодобывающая промышленность и разработка карьеров,20206.2
2015,Мужчины,Горнодобывающая промышленность и разработка карьеров,20843.9
2016,Женщины,Горнодобывающая промышленность и разработка карьеров,23165.5
2016,Мужчины,Горнодобывающая промышленность и разработка карьеров,25767.3
2017,Женщины,Горнодобывающая промышленность и разработка карьеров,22098.5
2017,Мужчины,Горнодобывающая промышленность и разработка карьеров,23738.0
2018,Женщины,Горнодобывающая промышленность и разработка карьеров,19858.6
2018,Мужчины,Горнодобывающая промышленность и разработка карьеров,26349.6
2011,Женщины,Обрабатывающая промышленность,7779.9
2011,Мужчины,Обрабатывающая промышленность,10879.1
2012,Женщины,Обрабатывающая промышленность,9583.2
2012,Мужчины,Обрабатывающая промышленность,11594.8
2013,Женщины,Обрабатывающая промышленность,9506.6
2013,Мужчины,Обрабатывающая промышленность,12216.2
2014,Женщины,Обрабатывающая промышленность,10322.0
2014,Мужчины,Обрабатывающая промышленность,13090.4
2015,Женщины,Обрабатывающая промышленность,11022.6
2015,Мужчины,Обрабатывающая промышленность,13740.0
2016,Женщины,Обрабатывающая промышленность,11949.9
2016,Мужчины,Обрабатывающая промышленность,15076.2
2017,Женщины,Обрабатывающая промышленность,12736.5
2017,Мужчины,Обрабатывающая промышленность,15802.1
2018,Женщины,Обрабатывающая промышленность,13704.7
2018,Мужчины,Обрабатывающая промышленность,16711.7
2011,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",14160.1
2011,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",15121.5
2012,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",18564.4
2012,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",18018.1
2013,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",17006.4
2013,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",17317.9
2014,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",19774.7
2014,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",19512.8
2015,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",22865.4
