Year,SERIES,UNIT_MEASURE,Value
2019,Число местных органов власти,Число,484.0
2020,Число местных органов власти,Число,484.0
2021,Число местных органов власти,Число,484.0
2022,Число местных органов власти,Число,484.0
2023,Число местных органов власти,Число,484.0
2024,Число местных органов власти,Число,484.0
2019,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",Процент,10.1
2020,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",Процент,13.8
2021,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",Процент,21.5
2022,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",Процент,34.5
2023,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",Процент,34.9
2024,"Доля местных органов власти, принявших и осуществляющих местные стратегии снижения риска бедствий",Процент,35.5
2019,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",Число,49.0
2020,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",Число,67.0
2021,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",Число,104.0
2022,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",Число,167.0
2023,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",Число,169.0
2024,"Число местных органов власти, принявших и осуществляющих местные DRR стратегии по снижению риска бедствий в соответствии с национальными стратегиями",Число,172.0
