Year,Территория,Пол,GeoCode,Value
2007,,,,105
2008,,,,108
2009,,,,91
2010,,,,90
2011,,,,80
2012,,,,79
2013,,,,64
2014,,,,68
2015,,,,70
2016,,,,60
2017,,,,59
2018,,,,63
2019,,,,55
2020,,,,50
2021,,,,61
2022,,,,37
2023,,,,33
2007,,Мужчины,,170
2008,,Мужчины,,168
2009,,Мужчины,,142
2010,,Мужчины,,149
2011,,Мужчины,,133
2012,,Мужчины,,126
2013,,Мужчины,,108
2014,,Мужчины,,108
2015,,Мужчины,,114
2016,,Мужчины,,100
2017,,Мужчины,,94
2018,,Мужчины,,106
2019,,Мужчины,,93
2020,,Мужчины,,81
2021,,Мужчины,,103
2022,,Мужчины,,61
2023,,Мужчины,,52
2007,,Женщины,,42
2008,,Женщины,,50
2009,,Женщины,,41
2010,,Женщины,,32
2011,,Женщины,,27
2012,,Женщины,,32
2013,,Женщины,,21
2014,,Женщины,,29
2015,,Женщины,,27
2016,,Женщины,,21
2017,,Женщины,,25
2018,,Женщины,,20
2019,,Женщины,,17
2020,,Женщины,,20
2021,,Женщины,,19
2022,,Женщины,,14
2023,,Женщины,,14
2007,Баткенская область,,KG05,14
2008,Баткенская область,,KG05,28
2009,Баткенская область,,KG05,35
2010,Баткенская область,,KG05,30
2011,Баткенская область,,KG05,13
2012,Баткенская область,,KG05,35
2013,Баткенская область,,KG05,39
2014,Баткенская область,,KG05,21
2015,Баткенская область,,KG05,14
2016,Баткенская область,,KG05,12
2017,Баткенская область,,KG05,33
2018,Баткенская область,,KG05,12
2019,Баткенская область,,KG05,34
2020,Баткенская область,,KG05,35
2021,Баткенская область,,KG05,16
2022,Баткенская область,,KG05,16
2023,Баткенская область,,KG05,10
2007,Баткенская область,Мужчины,KG05,28
2008,Баткенская область,Мужчины,KG05,51
2009,Баткенская область,Мужчины,KG05,59
2010,Баткенская область,Мужчины,KG05,45
2011,Баткенская область,Мужчины,KG05,27
2012,Баткенская область,Мужчины,KG05,48
2013,Баткенская область,Мужчины,KG05,59
2014,Баткенская область,Мужчины,KG05,37
2015,Баткенская область,Мужчины,KG05,24
2016,Баткенская область,Мужчины,KG05,12
2017,Баткенская область,Мужчины,KG05,62
2018,Баткенская область,Мужчины,KG05,15
2019,Баткенская область,Мужчины,KG05,48
2020,Баткенская область,Мужчины,KG05,54
2021,Баткенская область,Мужчины,KG05,32
2022,Баткенская область,Мужчины,KG05,25
2023,Баткенская область,Мужчины,KG05,17
2008,Баткенская область,Женщины,KG05,5
2009,Баткенская область,Женщины,KG05,9
2010,Баткенская область,Женщины,KG05,14
2012,Баткенская область,Женщины,KG05,22
2013,Баткенская область,Женщины,KG05,18
2014,Баткенская область,Женщины,KG05,4
2015,Баткенская область,Женщины,KG05,4
2016,Баткенская область,Женщины,KG05,12
2017,Баткенская область,Женщины,KG05,4
2018,Баткенская область,Женщины,KG05,8
2019,Баткенская область,Женщины,KG05,19
2020,Баткенская область,Женщины,KG05,15
2022,Баткенская область,Женщины,KG05,7
2023,Баткенская область,Женщины,KG05,4
2007,Джалал-Абадская область,,KG03,23
2008,Джалал-Абадская область,,KG03,14
2009,Джалал-Абадская область,,KG03,15
2010,Джалал-Абадская область,,KG03,24
2011,Джалал-Абадская область,,KG03,22
2012,Джалал-Абадская область,,KG03,24
2013,Джалал-Абадская область,,KG03,22
2014,Джалал-Абадская область,,KG03,21
2015,Джалал-Абадская область,,KG03,29
2016,Джалал-Абадская область,,KG03,19
2017,Джалал-Абадская область,,KG03,25
2018,Джалал-Абадская область,,KG03,24
2019,Джалал-Абадская область,,KG03,27
2020,Джалал-Абадская область,,KG03,18
2021,Джалал-Абадская область,,KG03,36
2022,Джалал-Абадская область,,KG03,17
2023,Джалал-Абадская область,,KG03,16
2007,Джалал-Абадская область,Мужчины,KG03,40
2008,Джалал-Абадская область,Мужчины,KG03,24
2009,Джалал-Абадская область,Мужчины,KG03,22
2010,Джалал-Абадская область,Мужчины,KG03,35
2011,Джалал-Абадская область,Мужчины,KG03,42
2012,Джалал-Абадская область,Мужчины,KG03,39
2013,Джалал-Абадская область,Мужчины,KG03,39
2014,Джалал-Абадская область,Мужчины,KG03,34
2015,Джалал-Абадская область,Мужчины,KG03,49
2016,Джалал-Абадская область,Мужчины,KG03,36
2017,Джалал-Абадская область,Мужчины,KG03,44
2018,Джалал-Абадская область,Мужчины,KG03,41
2019,Джалал-Абадская область,Мужчины,KG03,47
2020,Джалал-Абадская область,Мужчины,KG03,25
2021,Джалал-Абадская область,Мужчины,KG03,47
2022,Джалал-Абадская область,Мужчины,KG03,31
2023,Джалал-Абадская область,Мужчины,KG03,21
2007,Джалал-Абадская область,Женщины,KG03,6
2008,Джалал-Абадская область,Женщины,KG03,4
2009,Джалал-Абадская область,Женщины,KG03,8
2010,Джалал-Абадская область,Женщины,KG03,14
2011,Джалал-Абадская область,Женщины,KG03,2
2012,Джалал-Абадская область,Женщины,KG03,9
2013,Джалал-Абадская область,Женщины,KG03,6
2014,Джалал-Абадская область,Женщины,KG03,7
2015,Джалал-Абадская область,Женщины,KG03,9
2016,Джалал-Абадская область,Женщины,KG03,2
2017,Джалал-Абадская область,Женщины,KG03,7
2018,Джалал-Абадская область,Женщины,KG03,7
2019,Джалал-Абадская область,Женщины,KG03,7
2020,Джалал-Абадская область,Женщины,KG03,11
2021,Джалал-Абадская область,Женщины,KG03,25
2022,Джалал-Абадская область,Женщины,KG03,3
2023,Джалал-Абадская область,Женщины,KG03,11
2007,Иссык-Кульская область,,KG02,341
2008,Иссык-Кульская область,,KG02,351
2009,Иссык-Кульская область,,KG02,262
2010,Иссык-Кульская область,,KG02,330
2011,Иссык-Кульская область,,KG02,314
2012,Иссык-Кульская область,,KG02,266
2013,Иссык-Кульская область,,KG02,248
2014,Иссык-Кульская область,,KG02,306
2015,Иссык-Кульская область,,KG02,313
2016,Иссык-Кульская область,,KG02,194
2017,Иссык-Кульская область,,KG02,235
2018,Иссык-Кульская область,,KG02,267
2019,Иссык-Кульская область,,KG02,294
2020,Иссык-Кульская область,,KG02,244
2021,Иссык-Кульская область,,KG02,272
2022,Иссык-Кульская область,,KG02,179
2023,Иссык-Кульская область,,KG02,92
2007,Иссык-Кульская область,Мужчины,KG02,547
2008,Иссык-Кульская область,Мужчины,KG02,571
2009,Иссык-Кульская область,Мужчины,KG02,387
2010,Иссык-Кульская область,Мужчины,KG02,579
2011,Иссык-Кульская область,Мужчины,KG02,511
2012,Иссык-Кульская область,Мужчины,KG02,430
2013,Иссык-Кульская область,Мужчины,KG02,402
2014,Иссык-Кульская область,Мужчины,KG02,485
2015,Иссык-Кульская область,Мужчины,KG02,552
2016,Иссык-Кульская область,Мужчины,KG02,314
2017,Иссык-Кульская область,Мужчины,KG02,385
2018,Иссык-Кульская область,Мужчины,KG02,487
2019,Иссык-Кульская область,Мужчины,KG02,485
2020,Иссык-Кульская область,Мужчины,KG02,423
2021,Иссык-Кульская область,Мужчины,KG02,506
2022,Иссык-Кульская область,Мужчины,KG02,288
2023,Иссык-Кульская область,Мужчины,KG02,163
2007,Иссык-Кульская область,Женщины,KG02,141
2008,Иссык-Кульская область,Женщины,KG02,136
2009,Иссык-Кульская область,Женщины,KG02,140
2010,Иссык-Кульская область,Женщины,KG02,85
2011,Иссык-Кульская область,Женщины,KG02,120
2012,Иссык-Кульская область,Женщины,KG02,106
2013,Иссык-Кульская область,Женщины,KG02,96
2014,Иссык-Кульская область,Женщины,KG02,129
2015,Иссык-Кульская область,Женщины,KG02,77
2016,Иссык-Кульская область,Женщины,KG02,76
2017,Иссык-Кульская область,Женщины,KG02,87
2018,Иссык-Кульская область,Женщины,KG02,49
2019,Иссык-Кульская область,Женщины,KG02,105
2020,Иссык-Кульская область,Женщины,KG02,68
2021,Иссык-Кульская область,Женщины,KG02,40
2022,Иссык-Кульская область,Женщины,KG02,71
2023,Иссык-Кульская область,Женщины,KG02,22
2007,Нарынская область,,KG04,124
2008,Нарынская область,,KG04,93
2009,Нарынская область,,KG04,97
2010,Нарынская область,,KG04,115
2011,Нарынская область,,KG04,99
2012,Нарынская область,,KG04,83
2013,Нарынская область,,KG04,63
2014,Нарынская область,,KG04,55
2015,Нарынская область,,KG04,72
2016,Нарынская область,,KG04,72
2017,Нарынская область,,KG04,81
2018,Нарынская область,,KG04,109
2019,Нарынская область,,KG04,73
2020,Нарынская область,,KG04,72
2021,Нарынская область,,KG04,72
2022,Нарынская область,,KG04,75
2023,Нарынская область,,KG04,61
2007,Нарынская область,Мужчины,KG04,216
2008,Нарынская область,Мужчины,KG04,146
2009,Нарынская область,Мужчины,KG04,145
2010,Нарынская область,Мужчины,KG04,189
2011,Нарынская область,Мужчины,KG04,172
2012,Нарынская область,Мужчины,KG04,141
2013,Нарынская область,Мужчины,KG04,117
2014,Нарынская область,Мужчины,KG04,87
2015,Нарынская область,Мужчины,KG04,121
2016,Нарынская область,Мужчины,KG04,141
2017,Нарынская область,Мужчины,KG04,139
2018,Нарынская область,Мужчины,KG04,165
2019,Нарынская область,Мужчины,KG04,130
2020,Нарынская область,Мужчины,KG04,122
2021,Нарынская область,Мужчины,KG04,94
2022,Нарынская область,Мужчины,KG04,122
2023,Нарынская область,Мужчины,KG04,108
2007,Нарынская область,Женщины,KG04,31
2008,Нарынская область,Женщины,KG04,39
2009,Нарынская область,Женщины,KG04,47
2010,Нарынская область,Женщины,KG04,39
2011,Нарынская область,Женщины,KG04,23
2012,Нарынская область,Женщины,KG04,23
2013,Нарынская область,Женщины,KG04,8
2014,Нарынская область,Женщины,KG04,22
2015,Нарынская область,Женщины,KG04,22
2017,Нарынская область,Женщины,KG04,22
2018,Нарынская область,Женщины,KG04,50
2019,Нарынская область,Женщины,KG04,14
2020,Нарынская область,Женщины,KG04,21
2021,Нарынская область,Женщины,KG04,49
2022,Нарынская область,Женщины,KG04,26
2023,Нарынская область,Женщины,KG04,13
2007,Ошская область,,KG06,10
2008,Ошская область,,KG06,24
2009,Ошская область,,KG06,27
2010,Ошская область,,KG06,25
2011,Ошская область,,KG06,24
2012,Ошская область,,KG06,37
2013,Ошская область,,KG06,16
2014,Ошская область,,KG06,27
2015,Ошская область,,KG06,40
2016,Ошская область,,KG06,34
2017,Ошская область,,KG06,23
2018,Ошская область,,KG06,34
2019,Ошская область,,KG06,21
2020,Ошская область,,KG06,29
2021,Ошская область,,KG06,26
2022,Ошская область,,KG06,11
2023,Ошская область,,KG06,15
2007,Ошская область,Мужчины,KG06,17
2008,Ошская область,Мужчины,KG06,36
2009,Ошская область,Мужчины,KG06,46
2010,Ошская область,Мужчины,KG06,37
2011,Ошская область,Мужчины,KG06,42
2012,Ошская область,Мужчины,KG06,67
2013,Ошская область,Мужчины,KG06,27
2014,Ошская область,Мужчины,KG06,42
2015,Ошская область,Мужчины,KG06,57
2016,Ошская область,Мужчины,KG06,62
2017,Ошская область,Мужчины,KG06,37
2018,Ошская область,Мужчины,KG06,60
2019,Ошская область,Мужчины,KG06,38
2020,Ошская область,Мужчины,KG06,47
2021,Ошская область,Мужчины,KG06,41
2022,Ошская область,Мужчины,KG06,15
2023,Ошская область,Мужчины,KG06,20
2007,Ошская область,Женщины,KG06,4
2008,Ошская область,Женщины,KG06,11
2009,Ошская область,Женщины,KG06,7
2010,Ошская область,Женщины,KG06,13
2011,Ошская область,Женщины,KG06,5
2012,Ошская область,Женщины,KG06,7
2013,Ошская область,Женщины,KG06,5
2014,Ошская область,Женщины,KG06,12
2015,Ошская область,Женщины,KG06,23
2016,Ошская область,Женщины,KG06,5
2017,Ошская область,Женщины,KG06,9
2018,Ошская область,Женщины,KG06,8
