Year,Территория,Пол,Value
2007,,,12.090992
2008,,,10.585236
2009,,,10.866987
2010,,,9.159392
2011,,,9.955113
2012,,,10.075772
2013,,,8.0
2014,,,7.5
2015,,,5.9
2016,,,6.0
2017,,,5.3
2018,,,5.139872
2019,,,3.918523
2020,,,1.914845
2007,,Женщины,10.26386
2008,,Женщины,8.088592
2009,,Женщины,7.22507
2010,,Женщины,6.597241
2011,,Женщины,7.700463
2012,,Женщины,7.084345
2013,,Женщины,6.4
2014,,Женщины,5.5
2015,,Женщины,4.2
2016,,Женщины,4.5
2017,,Женщины,4.3
2018,,Женщины,3.54522
2019,,Женщины,2.520831
2020,,Женщины,1.745324
2007,,Мужчины,13.967856
2008,,Мужчины,13.149996
2009,,Мужчины,14.604805
2010,,Мужчины,11.787756
2011,,Мужчины,12.267172
2012,,Мужчины,13.139518
2013,,Мужчины,9.5
2014,,Мужчины,9.5
2015,,Мужчины,7.5
2016,,Мужчины,7.5
2017,,Мужчины,6.2
2018,,Мужчины,6.760797
2019,,Мужчины,5.337712
2020,,Мужчины,2.08189
2007,Баткенская область,,20.180533
2008,Баткенская область,,20.012808
2009,Баткенская область,,11.615832
2010,Баткенская область,,4.57193
2011,Баткенская область,,11.68605
2012,Баткенская область,,8.592769
2013,Баткенская область,,7.1
2014,Баткенская область,,5.7
2015,Баткенская область,,4.9
2016,Баткенская область,,8.6
2017,Баткенская область,,2.6
2018,Баткенская область,,3.080721
2019,Баткенская область,,4.894164
2020,Баткенская область,,1.658051
2007,Баткенская область,Женщины,18.345435
2008,Баткенская область,Женщины,17.247244
2009,Баткенская область,Женщины,9.457249
2010,Баткенская область,Женщины,3.253393
2011,Баткенская область,Женщины,8.215202
2012,Баткенская область,Женщины,6.264963
2013,Баткенская область,Женщины,7.0
2014,Баткенская область,Женщины,5.1
2015,Баткенская область,Женщины,4.2
2016,Баткенская область,Женщины,9.0
2017,Баткенская область,Женщины,2.8
2018,Баткенская область,Женщины,2.746401
2019,Баткенская область,Женщины,2.302335
2020,Баткенская область,Женщины,1.446749
2007,Баткенская область,Мужчины,21.956256
2008,Баткенская область,Мужчины,22.68529
2009,Баткенская область,Мужчины,13.700569
2010,Баткенская область,Мужчины,5.848164
2011,Баткенская область,Мужчины,15.052973
2012,Баткенская область,Мужчины,10.850459
2013,Баткенская область,Мужчины,7.2
2014,Баткенская область,Мужчины,6.2
2015,Баткенская область,Мужчины,5.7
2016,Баткенская область,Мужчины,8.3
2017,Баткенская область,Мужчины,2.3
2018,Баткенская область,Мужчины,3.402904
2019,Баткенская область,Мужчины,7.389891
2020,Баткенская область,Мужчины,1.877412
2007,Джалал-Абадская область,,5.870303
2008,Джалал-Абадская область,,6.4034
2009,Джалал-Абадская область,,6.305723
2010,Джалал-Абадская область,,5.922974
2011,Джалал-Абадская область,,4.782698
2012,Джалал-Абадская область,,8.916337
2013,Джалал-Абадская область,,7.2
2014,Джалал-Абадская область,,5.8
2015,Джалал-Абадская область,,4.4
2016,Джалал-Абадская область,,2.6
2017,Джалал-Абадская область,,3.3
2018,Джалал-Абадская область,,2.661109
2019,Джалал-Абадская область,,3.179541
2020,Джалал-Абадская область,,0.960244
2007,Джалал-Абадская область,Женщины,4.656511
2008,Джалал-Абадская область,Женщины,4.604632
2009,Джалал-Абадская область,Женщины,5.719538
2010,Джалал-Абадская область,Женщины,4.08245
2011,Джалал-Абадская область,Женщины,4.788933
2012,Джалал-Абадская область,Женщины,7.898627
2013,Джалал-Абадская область,Женщины,6.6
2014,Джалал-Абадская область,Женщины,3.3
2015,Джалал-Абадская область,Женщины,3.5
2016,Джалал-Абадская область,Женщины,2.4
2017,Джалал-Абадская область,Женщины,2.7
2018,Джалал-Абадская область,Женщины,1.673357
2019,Джалал-Абадская область,Женщины,2.297402
2020,Джалал-Абадская область,Женщины,0.635959
2007,Джалал-Абадская область,Мужчины,7.083701
2008,Джалал-Абадская область,Мужчины,8.200459
2009,Джалал-Абадская область,Мужчины,6.89089
2010,Джалал-Абадская область,Мужчины,7.759592
2011,Джалал-Абадская область,Мужчины,4.77648
2012,Джалал-Абадская область,Мужчины,9.930263
2013,Джалал-Абадская область,Мужчины,7.7
2014,Джалал-Абадская область,Мужчины,8.3
2015,Джалал-Абадская область,Мужчины,5.3
2016,Джалал-Абадская область,Мужчины,2.8
2017,Джалал-Абадская область,Мужчины,3.9
2018,Джалал-Абадская область,Мужчины,3.636935
2019,Джалал-Абадская область,Мужчины,4.050498
2020,Джалал-Абадская область,Мужчины,1.288842
2007,Иссык-Кульская область,,10.136497
2008,Иссык-Кульская область,,7.333378
2009,Иссык-Кульская область,,9.101396
2010,Иссык-Кульская область,,9.25673
2011,Иссык-Кульская область,,10.980097
2012,Иссык-Кульская область,,8.209561
2013,Иссык-Кульская область,,9.9
2014,Иссык-Кульская область,,6.9
2015,Иссык-Кульская область,,5.4
2016,Иссык-Кульская область,,4.4
2017,Иссык-Кульская область,,4.6
2018,Иссык-Кульская область,,6.168093
2019,Иссык-Кульская область,,2.231658
2020,Иссык-Кульская область,,1.603235
2007,Иссык-Кульская область,Женщины,6.813722
2008,Иссык-Кульская область,Женщины,5.881022
2009,Иссык-Кульская область,Женщины,5.848427
2010,Иссык-Кульская область,Женщины,4.917674
2011,Иссык-Кульская область,Женщины,7.995523
2012,Иссык-Кульская область,Женщины,7.042811
2013,Иссык-Кульская область,Женщины,6.5
2014,Иссык-Кульская область,Женщины,5.2
2015,Иссык-Кульская область,Женщины,4.7
2016,Иссык-Кульская область,Женщины,2.5
2017,Иссык-Кульская область,Женщины,5.4
2018,Иссык-Кульская область,Женщины,2.86608
2019,Иссык-Кульская область,Женщины,2.020684
2020,Иссык-Кульская область,Женщины,2.414672
2007,Иссык-Кульская область,Мужчины,13.555773
2008,Иссык-Кульская область,Мужчины,8.824445
2009,Иссык-Кульская область,Мужчины,12.43031
2010,Иссык-Кульская область,Мужчины,13.683759
2011,Иссык-Кульская область,Мужчины,14.018523
2012,Иссык-Кульская область,Мужчины,9.395469
2013,Иссык-Кульская область,Мужчины,13.3
2014,Иссык-Кульская область,Мужчины,8.7
2015,Иссык-Кульская область,Мужчины,6.0
2016,Иссык-Кульская область,Мужчины,6.4
2017,Иссык-Кульская область,Мужчины,3.8
2018,Иссык-Кульская область,Мужчины,9.498716
2019,Иссык-Кульская область,Мужчины,2.44433
2020,Иссык-Кульская область,Мужчины,0.798371
2007,Нарынская область,,12.055783
2008,Нарынская область,,7.000704
2009,Нарынская область,,11.614177
2010,Нарынская область,,7.669976
2011,Нарынская область,,11.003939
2012,Нарынская область,,6.753639
2013,Нарынская область,,6.7
2014,Нарынская область,,4.4
2015,Нарынская область,,2.2
2016,Нарынская область,,4.3
2017,Нарынская область,,2.8
2018,Нарынская область,,3.152773
2019,Нарынская область,,1.734094
2020,Нарынская область,,1.375133
2007,Нарынская область,Женщины,10.98996
2008,Нарынская область,Женщины,7.071469
2009,Нарынская область,Женщины,3.916684
2010,Нарынская область,Женщины,4.66128
2011,Нарынская область,Женщины,9.231337
2012,Нарынская область,Женщины,5.330531
2013,Нарынская область,Женщины,4.5
2014,Нарынская область,Женщины,2.2
2015,Нарынская область,Женщины,1.5
2016,Нарынская область,Женщины,1.5
2017,Нарынская область,Женщины,3.6
2018,Нарынская область,Женщины,2.853067
2019,Нарынская область,Женщины,1.412819
2020,Нарынская область,Женщины,0.675169
2007,Нарынская область,Мужчины,13.10222
2008,Нарынская область,Мужчины,6.931341
2009,Нарынская область,Мужчины,19.13568
2010,Нарынская область,Мужчины,10.603089
2011,Нарынская область,Мужчины,12.729315
2012,Нарынская область,Мужчины,8.135854
2013,Нарынская область,Мужчины,8.8
2014,Нарынская область,Мужчины,6.5
2015,Нарынская область,Мужчины,2.9
2016,Нарынская область,Мужчины,7.1
2017,Нарынская область,Мужчины,2.1
2018,Нарынская область,Мужчины,3.442033
2019,Нарынская область,Мужчины,2.043959
2020,Нарынская область,Мужчины,2.101282
2007,Ошская область,,3.797045
2008,Ошская область,,4.117327
2009,Ошская область,,7.48076
2010,Ошская область,,8.360245
2011,Ошская область,,6.407336
2012,Ошская область,,4.222387
2013,Ошская область,,5.1
2014,Ошская область,,6.3
2015,Ошская область,,3.5
2016,Ошская область,,4.6
2017,Ошская область,,5.9
2018,Ошская область,,4.442955
2019,Ошская область,,3.763954
2020,Ошская область,,1.594374
2007,Ошская область,Женщины,3.920595
2008,Ошская область,Женщины,3.504507
2009,Ошская область,Женщины,5.269824
2010,Ошская область,Женщины,6.451682
2011,Ошская область,Женщины,5.833243
2012,Ошская область,Женщины,3.298262
2013,Ошская область,Женщины,4.6
2014,Ошская область,Женщины,5.0
2015,Ошская область,Женщины,2.6
2016,Ошская область,Женщины,2.4
2017,Ошская область,Женщины,5.3
2018,Ошская область,Женщины,3.043862
2019,Ошская область,Женщины,2.238799
2020,Ошская область,Женщины,1.576537
2007,Ошская область,Мужчины,3.67543
2008,Ошская область,Мужчины,4.720552
2009,Ошская область,Мужчины,9.65648
2010,Ошская область,Мужчины,10.240565
2011,Ошская область,Мужчины,6.973549
2012,Ошская область,Мужчины,5.133295
2013,Ошская область,Мужчины,5.5
2014,Ошская область,Мужчины,7.7
2015,Ошская область,Мужчины,4.5
2016,Ошская область,Мужчины,6.8
2017,Ошская область,Мужчины,6.5
2018,Ошская область,Мужчины,5.813217
2019,Ошская область,Мужчины,5.255812
2020,Ошская область,Мужчины,1.612619
2007,Таласская область,,7.635028
2008,Таласская область,,5.776699
2009,Таласская область,,4.832
2010,Таласская область,,11.284379
2011,Таласская область,,8.134502
2012,Таласская область,,8.424032
2013,Таласская область,,7.9
2014,Таласская область,,6.5
2015,Таласская область,,5.2
2016,Таласская область,,6.3
2017,Таласская область,,3.9
2018,Таласская область,,2.679877
2019,Таласская область,,1.883977
2020,Таласская область,,0.371503
2007,Таласская область,Женщины,10.776346
2008,Таласская область,Женщины,7.11383
2009,Таласская область,Женщины,3.520042
2010,Таласская область,Женщины,13.05733
2011,Таласская область,Женщины,6.020884
2012,Таласская область,Женщины,6.779718
2013,Таласская область,Женщины,5.0
2014,Таласская область,Женщины,5.8
2015,Таласская область,Женщины,2.4
2016,Таласская область,Женщины,5.6
2017,Таласская область,Женщины,1.6
2018,Таласская область,Женщины,3.096263
2019,Таласская область,Женщины,1.524239
2020,Таласская область,Женщины,0.0
2007,Таласская область,Мужчины,4.492242
2008,Таласская область,Мужчины,4.441089
2009,Таласская область,Мужчины,6.139597
2010,Таласская область,Мужчины,9.521419
2011,Таласская область,Мужчины,10.22922
2012,Таласская область,Мужчины,10.048821
2013,Таласская область,Мужчины,10.7
2014,Таласская область,Мужчины,7.3
2015,Таласская область,Мужчины,8.0
2016,Таласская область,Мужчины,7.0
2017,Таласская область,Мужчины,6.2
2018,Таласская область,Мужчины,2.272417
2019,Таласская область,Мужчины,2.235753
2020,Таласская область,Мужчины,0.751258
2007,Чуйская область,,12.255614
2008,Чуйская область,,13.153626
2009,Чуйская область,,11.182041
2010,Чуйская область,,6.530648
2011,Чуйская область,,10.259855
2012,Чуйская область,,8.790298
2013,Чуйская область,,6.6
2014,Чуйская область,,6.5
2015,Чуйская область,,5.8
2016,Чуйская область,,5.4
2017,Чуйская область,,4.8
2018,Чуйская область,,6.334346
2019,Чуйская область,,5.049926
2020,Чуйская область,,2.894254
2007,Чуйская область,Женщины,9.181073
2008,Чуйская область,Женщины,8.612184
2009,Чуйская область,Женщины,7.080216
2010,Чуйская область,Женщины,6.056436
2011,Чуйская область,Женщины,8.891004
2012,Чуйская область,Женщины,7.112005
2013,Чуйская область,Женщины,6.3
2014,Чуйская область,Женщины,3.9
