Year,Территория,Тип местности,GeoCode,Value
2007,,,,29.5
2008,,,,30.1
2009,,,,31.2
2010,,,,34.1
2011,,,,41.4
2012,,,,42.1
2013,,,,41.9
2014,,,,43.3
2015,,,,42.3
2016,,,,38.1
2017,,,,33.9
2018,,,,35.9
2019,,,,37.7
2020,,,,33.4
2021,,,,29.684645
2022,,,,30.042887
2010,,Городская,,32.9
2014,,Городская,,45.1
2015,,Городская,,39.7
2016,,Городская,,37.6
2017,,Городская,,35.6
2018,,Городская,,38.8
2019,,Городская,,43.1
2020,,Городская,,37.3
2021,,Городская,,36.9
2022,,Городская,,31.1
2010,,Сельская,,34.7
2014,,Сельская,,42.6
2015,,Сельская,,43.3
2016,,Сельская,,38.3
2017,,Сельская,,33.2
2018,,Сельская,,34.8
2019,,Сельская,,35.6
2020,,Сельская,,31.9
2021,,Сельская,,26.6
2022,,Сельская,,29.5
2007,Баткенская область,,KG05,25.4
2008,Баткенская область,,KG05,27.2
2009,Баткенская область,,KG05,30.6
2010,Баткенская область,,KG05,36.1
2011,Баткенская область,,KG05,40.2
2012,Баткенская область,,KG05,44.6
2013,Баткенская область,,KG05,43.2
2014,Баткенская область,,KG05,43.3
2015,Баткенская область,,KG05,38.4
2016,Баткенская область,,KG05,36.5
2017,Баткенская область,,KG05,31.2
2018,Баткенская область,,KG05,30.2
2019,Баткенская область,,KG05,35.7
2020,Баткенская область,,KG05,31.2
2021,Баткенская область,,KG05,24.273949
2022,Баткенская область,,KG05,26.095019
2007,Джалал-Абадская область,,KG03,30.1
2008,Джалал-Абадская область,,KG03,33.0
2009,Джалал-Абадская область,,KG03,36.8
2010,Джалал-Абадская область,,KG03,38.8
2011,Джалал-Абадская область,,KG03,47.6
2012,Джалал-Абадская область,,KG03,45.3
2013,Джалал-Абадская область,,KG03,44.8
2014,Джалал-Абадская область,,KG03,47.7
2015,Джалал-Абадская область,,KG03,53.5
2016,Джалал-Абадская область,,KG03,39.3
2017,Джалал-Абадская область,,KG03,34.7
2018,Джалал-Абадская область,,KG03,36.2
2019,Джалал-Абадская область,,KG03,38.0
2020,Джалал-Абадская область,,KG03,35.7
2021,Джалал-Абадская область,,KG03,31.170325
2022,Джалал-Абадская область,,KG03,34.83618
2007,Иссык-Кульская область,,KG02,27.5
2008,Иссык-Кульская область,,KG02,27.7
2009,Иссык-Кульская область,,KG02,30.0
2010,Иссык-Кульская область,,KG02,30.2
2011,Иссык-Кульская область,,KG02,31.8
2012,Иссык-Кульская область,,KG02,31.8
2013,Иссык-Кульская область,,KG02,31.0
2014,Иссык-Кульская область,,KG02,31.8
2015,Иссык-Кульская область,,KG02,45.4
2016,Иссык-Кульская область,,KG02,32.8
2017,Иссык-Кульская область,,KG02,25.5
2018,Иссык-Кульская область,,KG02,28.8
2019,Иссык-Кульская область,,KG02,25.3
2020,Иссык-Кульская область,,KG02,21.3
2021,Иссык-Кульская область,,KG02,23.773042
2022,Иссык-Кульская область,,KG02,15.761292
2007,Нарынская область,,KG04,27.1
2008,Нарынская область,,KG04,23.1
2009,Нарынская область,,KG04,30.4
2010,Нарынская область,,KG04,29.7
2011,Нарынская область,,KG04,34.3
2012,Нарынская область,,KG04,33.0
2013,Нарынская область,,KG04,27.7
2014,Нарынская область,,KG04,29.2
2015,Нарынская область,,KG04,30.3
2016,Нарынская область,,KG04,29.1
2017,Нарынская область,,KG04,20.2
2018,Нарынская область,,KG04,22.7
2019,Нарынская область,,KG04,20.8
2020,Нарынская область,,KG04,20.1
2021,Нарынская область,,KG04,17.885951
2022,Нарынская область,,KG04,12.708499
2007,Ошская область,,KG06,27.1
2008,Ошская область,,KG06,27.1
2009,Ошская область,,KG06,30.4
2010,Ошская область,,KG06,33.0
2011,Ошская область,,KG06,43.2
2012,Ошская область,,KG06,44.0
2013,Ошская область,,KG06,43.4
2014,Ошская область,,KG06,45.8
2015,Ошская область,,KG06,72.3
2016,Ошская область,,KG06,41.6
2017,Ошская область,,KG06,38.5
2018,Ошская область,,KG06,35.2
2019,Ошская область,,KG06,37.9
2020,Ошская область,,KG06,35.6
2021,Ошская область,,KG06,27.236017
2022,Ошская область,,KG06,36.667303
2007,Таласская область,,KG07,39.9
2008,Таласская область,,KG07,38.9
2009,Таласская область,,KG07,46.4
2010,Таласская область,,KG07,48.5
2011,Таласская область,,KG07,59.3
2012,Таласская область,,KG07,58.8
2013,Таласская область,,KG07,61.0
2014,Таласская область,,KG07,58.2
2015,Таласская область,,KG07,36.4
2016,Таласская область,,KG07,41.9
2017,Таласская область,,KG07,34.9
2018,Таласская область,,KG07,37.1
2019,Таласская область,,KG07,34.1
2020,Таласская область,,KG07,27.2
2021,Таласская область,,KG07,24.736925
2022,Таласская область,,KG07,21.147799
2007,Чуйская область,,KG08,38.4
2008,Чуйская область,,KG08,40.1
2009,Чуйская область,,KG08,39.3
2010,Чуйская область,,KG08,44.0
2011,Чуйская область,,KG08,49.1
2012,Чуйская область,,KG08,50.3
2013,Чуйская область,,KG08,52.0
2014,Чуйская область,,KG08,50.8
2015,Чуйская область,,KG08,59.7
2016,Чуйская область,,KG08,47.8
2017,Чуйская область,,KG08,46.4
2018,Чуйская область,,KG08,52.1
2019,Чуйская область,,KG08,51.0
2020,Чуйская область,,KG08,44.5
2021,Чуйская область,,KG08,38.926975
2022,Чуйская область,,KG08,33.13903
2007,г. Бишкек,,KG11,25.9
2008,г. Бишкек,,KG11,24.8
2009,г. Бишкек,,KG11,17.9
2010,г. Бишкек,,KG11,20.4
2011,г. Бишкек,,KG11,25.3
2012,г. Бишкек,,KG11,26.0
2013,г. Бишкек,,KG11,26.6
2014,г. Бишкек,,KG11,26.5
2015,г. Бишкек,,KG11,22.1
2016,г. Бишкек,,KG11,21.4
2017,г. Бишкек,,KG11,17.4
2018,г. Бишкек,,KG11,24.3
2019,г. Бишкек,,KG11,28.9
2020,г. Бишкек,,KG11,22.2
2021,г. Бишкек,,KG11,23.305152
2022,г. Бишкек,,KG11,22.347844
2007,г. Ош,,KG21,24.2
2008,г. Ош,,KG21,26.0
2009,г. Ош,,KG21,23.9
2010,г. Ош,,KG21,27.0
2011,г. Ош,,KG21,36.1
2012,г. Ош,,KG21,43.9
2013,г. Ош,,KG21,46.7
2014,г. Ош,,KG21,54.9
2015,г. Ош,,KG21,52.8
2016,г. Ош,,KG21,52.6
2017,г. Ош,,KG21,51.6
2018,г. Ош,,KG21,65.0
2019,г. Ош,,KG21,77.0
2020,г. Ош,,KG21,63.7
2021,г. Ош,,KG21,69.352892
2022,г. Ош,,KG21,51.03746
