Year,Территория,Пол,GeoCode,Value
2007,,,,18.4
2008,,,,19.2
2009,,,,17.6
2010,,,,16.1
2011,,,,16.9
2012,,,,16.5
2013,,,,17.9
2014,,,,15.3
2015,,,,15.6
2016,,,,13.4
2017,,,,13.7
2018,,,,11.0
2019,,,,12.0
2020,,,,9.7
2021,,,,12.6
2007,,Мужчины,,28.089888
2008,,Мужчины,,30.111297
2009,,Мужчины,,27.816464
2010,,Мужчины,,24.728544
2011,,Мужчины,,25.526132
2012,,Мужчины,,25.41241
2013,,Мужчины,,26.876967
2014,,Мужчины,,23.34846
2015,,Мужчины,,23.093357
2016,,Мужчины,,19.889099
2017,,Мужчины,,20.701777
2018,,Мужчины,,16.264311
2019,,Мужчины,,19.290798
2020,,Мужчины,,14.7
2021,,Мужчины,,17.9
2007,,Женщины,,8.915193
2008,,Женщины,,8.645319
2009,,Женщины,,7.555197
2010,,Женщины,,7.612281
2011,,Женщины,,8.524355
2012,,Женщины,,7.824616
2013,,Женщины,,9.127999
2014,,Женщины,,7.324268
2015,,Женщины,,8.2771
2016,,Женщины,,6.942407
2017,,Женщины,,6.909126
2018,,Женщины,,5.804104
2019,,Женщины,,4.826463
2020,,Женщины,,4.8
2021,,Женщины,,7.3
2007,Баткенская область,,KG05,8.3
2008,Баткенская область,,KG05,13.7
2009,Баткенская область,,KG05,15.8
2010,Баткенская область,,KG05,13.03155
2011,Баткенская область,,KG05,12.587098
2012,Баткенская область,,KG05,12.780961
2013,Баткенская область,,KG05,14.645703
2014,Баткенская область,,KG05,11.994949
2015,Баткенская область,,KG05,15.824085
2016,Баткенская область,,KG05,11.041959
2017,Баткенская область,,KG05,13.569322
2018,Баткенская область,,KG05,9.048903
2019,Баткенская область,,KG05,10.165663
2020,Баткенская область,,KG05,10.7
2021,Баткенская область,,KG05,12.6
2007,Баткенская область,Мужчины,KG05,11.676787
2008,Баткенская область,Мужчины,KG05,21.759259
2009,Баткенская область,Мужчины,KG05,23.744292
2010,Баткенская область,Мужчины,KG05,21.1426
2011,Баткенская область,Мужчины,KG05,18.600531
2012,Баткенская область,Мужчины,KG05,19.097222
2013,Баткенская область,Мужчины,KG05,22.467147
2014,Баткенская область,Мужчины,KG05,19.453642
2015,Баткенская область,Мужчины,KG05,25.050505
2016,Баткенская область,Мужчины,KG05,16.969219
2017,Баткенская область,Мужчины,KG05,20.865533
2018,Баткенская область,Мужчины,KG05,14.36673
2019,Баткенская область,Мужчины,KG05,17.36881
2020,Баткенская область,Мужчины,KG05,17.7
2021,Баткенская область,Мужчины,KG05,19.5
2007,Баткенская область,Женщины,KG05,4.828585
2008,Баткенская область,Женщины,KG05,5.270724
2009,Баткенская область,Женщины,KG05,7.56859
2010,Баткенская область,Женщины,KG05,4.649
2011,Баткенская область,Женщины,KG05,6.389776
2012,Баткенская область,Женщины,KG05,6.266786
2013,Баткенская область,Женщины,KG05,6.567426
2014,Баткенская область,Женщины,KG05,4.280822
2015,Баткенская область,Женщины,KG05,6.273526
2016,Баткенская область,Женщины,KG05,4.903964
2017,Баткенская область,Женщины,KG05,6.007209
2018,Баткенская область,Женщины,KG05,3.530796
2019,Баткенская область,Женщины,KG05,2.686109
2020,Баткенская область,Женщины,KG05,3.4
2021,Баткенская область,Женщины,KG05,5.5
2007,Джалал-Абадская область,,KG03,13.2
2008,Джалал-Абадская область,,KG03,16.7
2009,Джалал-Абадская область,,KG03,16.5
2010,Джалал-Абадская область,,KG03,12.913875
2011,Джалал-Абадская область,,KG03,15.209489
2012,Джалал-Абадская область,,KG03,17.456593
2013,Джалал-Абадская область,,KG03,14.613971
2014,Джалал-Абадская область,,KG03,11.793302
2015,Джалал-Абадская область,,KG03,12.693935
2016,Джалал-Абадская область,,KG03,11.05736
2017,Джалал-Абадская область,,KG03,8.646266
2018,Джалал-Абадская область,,KG03,7.900208
2019,Джалал-Абадская область,,KG03,8.641774
2020,Джалал-Абадская область,,KG03,6.2
2021,Джалал-Абадская область,,KG03,10.3
2007,Джалал-Абадская область,Мужчины,KG03,21.453147
2008,Джалал-Абадская область,Мужчины,KG03,27.6
