Year,SERIES,Территория,UNIT_MEASURE,Value
2010,Потери воды при транспортировке (объем),,Миллион кубометров в год,1768.0
2011,Потери воды при транспортировке (объем),,Миллион кубометров в год,1877.1
2012,Потери воды при транспортировке (объем),,Миллион кубометров в год,1955.3
2013,Потери воды при транспортировке (объем),,Миллион кубометров в год,1873.3
2014,Потери воды при транспортировке (объем),,Миллион кубометров в год,2029.8
2015,Потери воды при транспортировке (объем),,Миллион кубометров в год,2092.3
2016,Потери воды при транспортировке (объем),,Миллион кубометров в год,1841.6
2017,Потери воды при транспортировке (объем),,Миллион кубометров в год,2128.3
2018,Потери воды при транспортировке (объем),,Миллион кубометров в год,2085.2
2019,Потери воды при транспортировке (объем),,Миллион кубометров в год,2242.8
2020,Потери воды при транспортировке (объем),,Миллион кубометров в год,2198.7
2021,Потери воды при транспортировке (объем),,Миллион кубометров в год,2148.2
2010,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,116.2
2011,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,118.7
2012,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,92.6
2013,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,92.6
2014,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,4.3
2015,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,114.7
2016,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,114.5
2017,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,105.8
2018,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,101.1
2019,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,104.8
2020,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,132.7
2021,Потери воды при транспортировке (объем),Баткенская область,Миллион кубометров в год,109.5
2010,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,189.7
2011,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,218.9
2012,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,451.3
2013,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,451.3
2014,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,350.0
2015,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,208.1
2016,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,200.6
2017,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,214.7
2018,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,186.3
2019,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,254.4
2020,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,242.9
2021,Потери воды при транспортировке (объем),Джалал-Абадская область,Миллион кубометров в год,210.1
2010,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,164.6
2011,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,155.0
2012,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,181.6
2013,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,174.3
2014,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,198.9
2015,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,157.8
2016,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,165.3
2017,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,184.9
2018,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,193.6
2019,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,199.8
2020,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,203.3
2021,Потери воды при транспортировке (объем),Иссык-Кульская область,Миллион кубометров в год,196.0
2010,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,188.7
2011,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,181.8
2012,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,194.4
2013,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,197.1
2014,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,197.1
2015,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,189.2
2016,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,182.0
2017,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,186.8
2018,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,194.3
2019,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,200.1
2020,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,202.8
2021,Потери воды при транспортировке (объем),Нарынская область,Миллион кубометров в год,209.0
2010,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,227.7
2011,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,206.6
2012,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,386.2
2013,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,352.1
2014,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,232.6
2015,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,232.6
2016,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,246.6
2017,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,299.4
2018,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,292.4
2019,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,310.0
2020,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,284.7
2021,Потери воды при транспортировке (объем),Ошская область,Миллион кубометров в год,300.2
2010,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,228.9
2011,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,253.9
2012,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,263.7
2013,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,282.6
2014,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,257.8
2015,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,309.7
2016,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,294.0
2017,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,300.7
2018,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,299.1
2019,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,322.3
2020,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,294.9
2021,Потери воды при транспортировке (объем),Таласская область,Миллион кубометров в год,302.9
2010,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,627.5
2011,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,717.2
2012,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,836.3
2013,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,774.1
2014,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,764.2
2015,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,856.3
2016,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,614.8
2017,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,804.6
2018,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,786.3
2019,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,818.9
2020,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,802.5
2021,Потери воды при транспортировке (объем),Чуйская область,Миллион кубометров в год,786.0
2010,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,24.7
2011,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,25.0
2013,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,24.2
2014,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,24.9
2015,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,23.9
2016,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,23.8
2017,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,24.6
2018,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,25.3
2019,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,25.8
2020,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,28.1
2021,Потери воды при транспортировке (объем),г. Бишкек,Миллион кубометров в год,27.7
2017,Потери воды при транспортировке (объем),г. Ош,Миллион кубометров в год,6.8
2018,Потери воды при транспортировке (объем),г. Ош,Миллион кубометров в год,6.8
2019,Потери воды при транспортировке (объем),г. Ош,Миллион кубометров в год,6.8
2020,Потери воды при транспортировке (объем),г. Ош,Миллион кубометров в год,6.8
2021,Потери воды при транспортировке (объем),г. Ош,Миллион кубометров в год,6.8
2010,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,23.4
2011,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,21.7
2012,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,21.7
2013,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,22.5
2014,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,26.5
2015,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,27.6
2016,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,25.1
2017,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,27.8
2018,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,26.9
2019,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,27.8
2020,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,27.4
2021,Потери воды при транспортировке в процентах к общему объему забора воды,,Процент,26.9
2010,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,20.1
2011,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,20.2
2012,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,9.6
2013,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,9.6
2014,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,0.7
2015,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,17.8
2016,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,17.7
2017,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,16.7
2018,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,15.6
2019,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,15.8
2020,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,17.5
2021,Потери воды при транспортировке в процентах к общему объему забора воды,Баткенская область,Процент,15.9
2010,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,27.3
2011,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,18.3
2012,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,63.0
2013,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,63.0
2014,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,44.8
2015,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,21.1
2016,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,21.1
2017,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,22.9
2018,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,20.1
2019,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,25.1
2020,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,24.7
2021,Потери воды при транспортировке в процентах к общему объему забора воды,Джалал-Абадская область,Процент,21.7
2010,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,29.7
2011,Потери воды при транспортировке в процентах к общему объему забора воды,Иссык-Кульская область,Процент,17.1
