Year,SERIES,COMPOSITE_BREAKDOWN,Value
2000,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.6949
2005,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.5625
2010,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.4925
2015,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.4925
2016,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.4925
2017,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.4925
2018,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.4925
2019,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.47059
2020,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.47059
2021,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.47059
2022,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Азиатский банк развития,1.47059
2015,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Экономический и Социальный Совет ООН,1.85185
2000,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.54945
2005,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.54348
2010,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.53476
2015,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.53191
2016,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.53191
2017,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.5291
2018,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.5291
2019,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.5291
2020,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.5291
2021,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.5291
2022,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.5291
2023,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный банк реконструкции и развития,0.5291
2000,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.57471
2005,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.5618
2010,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.54945
2015,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.54348
2016,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.54348
2017,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.54348
2018,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.54348
2019,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.5435
2020,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.54054
2021,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.54054
2022,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.53763
2023,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международная финансовая корпорация,0.53763
2000,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.5618
2005,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.55249
2010,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.54945
2015,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.53191
2016,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.53191
2017,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.5291
2018,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.5291
2019,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.5291
2020,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.5291
2021,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.52632
2022,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.52632
2023,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Международный валютный фонд,0.52632
2000,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.5291
2005,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.52356
2010,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.52083
2015,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2016,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2017,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
2018,"Доля развивающихся стран в членском составе международных организаций, в разбивке по организациям",Международная организация: Генеральная Ассамблея ООН,0.51813
