Year,Составная разбивка,Value
2014,Страна: Российская Федерация,465
2015,Страна: Российская Федерация,445
2016,Страна: Российская Федерация,360
2017,Страна: Российская Федерация,364
2018,Страна: Российская Федерация,347
2019,Страна: Российская Федерация,330
2014,Страна: Республика Беларусь,3
2015,Страна: Республика Беларусь,5
2016,Страна: Республика Беларусь,2
2017,Страна: Республика Беларусь,5
2018,Страна: Республика Беларусь,2
2014,Страна: Республика Казахстан,1
2015,Страна: Республика Казахстан,5
2016,Страна: Республика Казахстан,5
2017,Страна: Республика Казахстан,5
2018,Страна: Республика Казахстан,5
2019,Страна: Республика Казахстан,3
2014,Страна: Республика Таджикистан,50
2015,Страна: Республика Таджикистан,47
2016,Страна: Республика Таджикистан,44
2017,Страна: Республика Таджикистан,21
2018,Страна: Республика Таджикистан,33
2014,Страна: Китайская Народная Республика,0
2015,Страна: Китайская Народная Республика,0
2016,Страна: Китайская Народная Республика,0
2017,Страна: Китайская Народная Республика,25
2018,Страна: Китайская Народная Республика,15
2019,Страна: Китайская Народная Республика,27
2014,Страна: Венгрия,0
2015,Страна: Венгрия,0
2016,Страна: Венгрия,0
2017,Страна: Венгрия,23
2018,Страна: Венгрия,27
2019,Страна: Венгрия,67
