Year,Unnamed: 0,Unnamed: 1,Unnamed: 2,Территория,Местность,Пол,Возраст,Образование,Value
2018,,,,Кыргызская Республика,,,,,62.8
2018,,,,Кыргызская Республика,Городская,,,,67.1
2018,,,,Кыргызская Республика,Сельская,,,,60.2
2018,,,,Кыргызская Республика,,Мужской,,,63.7
2018,,,,Кыргызская Республика,,Женский,,,62.1
2018,,,,Баткенская область,,,,,43.5
2018,,,,Джалал-Абадская область,,,,,55.3
2018,,,,Иссык-Кульская область,,,,,54.2
2018,,,,Нарынская область,,,,,40.7
2018,,,,Ошская область,,,,,75.6
2018,,,,Таласская область,,,,,63.9
2018,,,,Чуйская область,,,,,65.8
2018,,,,г.Бишкек,,,,,69.7
2018,,,,г.Ош,,,,,68.5
2018,,,,Кыргызская Республика,,,"Молодёжь, 15-28 лет",,82.1
2018,,,,Кыргызская Республика,,,Взрослое население трудоспособного возраста,,63.1
2018,,,,Кыргызская Республика,,,Старше трудоспособного возраста,,25.9
2018,,,,Кыргызская Республика,,,,Начальное и ниже,47.9
2018,,,,Кыргызская Республика,,,,Основное общее,69.5
2018,,,,Кыргызская Республика,,,,Среднее общее,56.1
2018,,,,Кыргызская Республика,,,,Профессиональное среднее/ общее,61.9
2018,,,,Кыргызская Республика,,,,Профессиональное высшее,81.1
