Year,Series,Value
2012,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",97.5
2013,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",97.6
2014,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",97.7
2015,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",97.8
2016,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",99.0
2017,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",99.1
2018,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",99.2
2019,"Доля населения, охваченного, как минимум, 2G мобильной сетью ",99.3
2012,"Доля населения, охваченного, как минимум, 3G мобильной сетью",46.3
2013,"Доля населения, охваченного, как минимум, 3G мобильной сетью",51.0
2014,"Доля населения, охваченного, как минимум, 3G мобильной сетью",57.0
2015,"Доля населения, охваченного, как минимум, 3G мобильной сетью",59.0
2016,"Доля населения, охваченного, как минимум, 3G мобильной сетью",60.0
2017,"Доля населения, охваченного, как минимум, 3G мобильной сетью",75.0
2018,"Доля населения, охваченного, как минимум, 3G мобильной сетью",88.0
2019,"Доля населения, охваченного, как минимум, 3G мобильной сетью",91.0
2014,"Доля населения, охваченного, как минимум, 4G мобильной сетью",0.5
2015,"Доля населения, охваченного, как минимум, 4G мобильной сетью",1.6
2016,"Доля населения, охваченного, как минимум, 4G мобильной сетью",40.0
2017,"Доля населения, охваченного, как минимум, 4G мобильной сетью",50.0
2018,"Доля населения, охваченного, как минимум, 4G мобильной сетью",70.0
2019,"Доля населения, охваченного, как минимум, 4G мобильной сетью",85.0
