Year,SERIES,Территория,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,GeoCode,Value
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,,,,,0.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Баткенская область,,,,KG05,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Джалал-Абадская область,,,,KG03,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Иссык-Кульская область,,,,KG02,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Нарынская область,,,,KG04,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Ошская область,,,,KG06,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Таласская область,,,,KG07,2.8
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",Чуйская область,,,,KG08,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",г. Бишкек,,,,KG11,1.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",г. Ош,,,,KG21,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,,Первый этап среднего образования,,,0.6
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,,Второй этап среднего образования,,,0.8
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,,Послесреднее нетретичное образование,,,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,,Короткий цикл третичного образования,,,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,,,Лица без инвалидности,,0.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,Квинтиль 1 (беднейшие),,,,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,Квинтиль 2,,,,0.4
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,Квинтиль 3,,,,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,Квинтиль 4,,,,0.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 15 лет",,Квинтиль 5 (богатейшие),,,,1.1
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,,,,,12.9
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Баткенская область,,,,KG05,14.4
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Джалал-Абадская область,,,,KG03,13.6
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Иссык-Кульская область,,,,KG02,11.5
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Нарынская область,,,,KG04,18.4
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Ошская область,,,,KG06,18.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Таласская область,,,,KG07,16.5
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",Чуйская область,,,,KG08,11.6
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",г. Бишкек,,,,KG11,5.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",г. Ош,,,,KG21,13.2
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,,Первый этап среднего образования,,,30.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,,Второй этап среднего образования,,,21.3
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,,Послесреднее нетретичное образование,,,6.0
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,,Короткий цикл третичного образования,,,2.6
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,,,Лица без инвалидности,,12.7
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,Квинтиль 1 (беднейшие),,,,11.8
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,Квинтиль 2,,,,19.7
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,Квинтиль 3,,,,14.4
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,Квинтиль 4,,,,12.5
2018,"Доля женщин в возрасте от 20 до 24 лет, вступивших в брак или союз до 18 лет",,Квинтиль 5 (богатейшие),,,,6.4
