Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,GeoCode,Value
2018,,,,,,,,57.9
2019,,,,,,,,64.352075
2020,,,,,,,,66.8
2021,,,,,,,,67.138142
2022,,,,,,,,68.403652
2018,,,,Городская,,,,50.7
2019,,,,Городская,,,,59.596564
2020,,,,Городская,,,,61.4
2021,,,,Городская,,,,59.586135
2022,,,,Городская,,,,64.254057
2018,,,,Сельская,,,,62.8
2019,,,,Сельская,,,,67.506663
2020,,,,Сельская,,,,70.3
2021,,,,Сельская,,,,72.469607
2022,,,,Сельская,,,,71.198044
2018,,Мужчины,,,,,,67.4
2019,,Мужчины,,,,,,72.727756
2020,,Мужчины,,,,,,76.1
2021,,Мужчины,,,,,,76.571506
2022,,Мужчины,,,,,,77.942907
2018,,Женщины,,,,,,44.7
2019,,Женщины,,,,,,52.478851
2020,,Женщины,,,,,,54.0
2021,,Женщины,,,,,,53.94632
2022,,Женщины,,,,,,54.151615
2018,Баткенская область,,,,,,KG05,63.7
2019,Баткенская область,,,,,,KG05,71.63582
2020,Баткенская область,,,,,,KG05,65.3
2021,Баткенская область,,,,,,KG05,60.920964
2022,Баткенская область,,,,,,KG05,64.918897
2018,Джалал-Абадская область,,,,,,KG03,46.2
2019,Джалал-Абадская область,,,,,,KG03,54.214346
2020,Джалал-Абадская область,,,,,,KG03,48.1
2021,Джалал-Абадская область,,,,,,KG03,53.116412
2022,Джалал-Абадская область,,,,,,KG03,55.77883
2018,Иссык-Кульская область,,,,,,KG02,69.3
2019,Иссык-Кульская область,,,,,,KG02,72.71323
2020,Иссык-Кульская область,,,,,,KG02,70.7
2021,Иссык-Кульская область,,,,,,KG02,71.759952
2022,Иссык-Кульская область,,,,,,KG02,72.620645
2018,Нарынская область,,,,,,KG04,71.9
2019,Нарынская область,,,,,,KG04,78.330797
2020,Нарынская область,,,,,,KG04,78.3
2021,Нарынская область,,,,,,KG04,73.18
2022,Нарынская область,,,,,,KG04,66.437204
2018,Ошская область,,,,,,KG06,70.4
2019,Ошская область,,,,,,KG06,73.833054
2020,Ошская область,,,,,,KG06,88.8
2021,Ошская область,,,,,,KG06,97.39384
2022,Ошская область,,,,,,KG06,98.593066
2018,Таласская область,,,,,,KG07,73.3
2019,Таласская область,,,,,,KG07,88.247575
2020,Таласская область,,,,,,KG07,92.9
2021,Таласская область,,,,,,KG07,91.523816
2022,Таласская область,,,,,,KG07,94.529819
2018,Чуйская область,,,,,,KG08,69.3
2019,Чуйская область,,,,,,KG08,65.741182
2020,Чуйская область,,,,,,KG08,71.4
2021,Чуйская область,,,,,,KG08,62.978228
2022,Чуйская область,,,,,,KG08,45.798126
2018,г. Бишкек,,,,,,KG11,31.2
2019,г. Бишкек,,,,,,KG11,45.046976
2020,г. Бишкек,,,,,,KG11,47.4
2021,г. Бишкек,,,,,,KG11,45.051243
2022,г. Бишкек,,,,,,KG11,55.958301
2018,г. Ош,,,,,,KG21,86.7
2019,г. Ош,,,,,,KG21,98.677796
2020,г. Ош,,,,,,KG21,99.4
2021,г. Ош,,,,,,KG21,100.0
2022,г. Ош,,,,,,KG21,99.010302
2018,,,от 15 до 28 лет,,,,,56.6
2019,,,от 15 до 28 лет,,,,,61.760682
2020,,,от 15 до 28 лет,,,,,64.1
2021,,,от 15 до 28 лет,,,,,66.405328
2022,,,от 15 до 28 лет,,,,,67.893488
2018,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,59.4
2019,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,66.203849
2020,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,68.7
2021,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,68.279053
2022,,,"от 29 до 62 лет (население трудоспособного возраста: женщины до 57 лет, мужчины до 62 лет)",,,,,69.375508
2018,,,"58 лет и старше (население старше струдоспособного возраста: женщины 58 лет и старше, мужчины 63 лет и старше)",,,,,54.1
