Year,SERIES,Территория,Пол,Value
2007,Производственный травматизм с не смертельным исходом среди работников (доля),,,27.716013
2008,Производственный травматизм с не смертельным исходом среди работников (доля),,,32.316212
2009,Производственный травматизм с не смертельным исходом среди работников (доля),,,24.233586
2010,Производственный травматизм с не смертельным исходом среди работников (доля),,,90.112821
2011,Производственный травматизм с не смертельным исходом среди работников (доля),,,27.924874
2012,Производственный травматизм с не смертельным исходом среди работников (доля),,,27.025061
2013,Производственный травматизм с не смертельным исходом среди работников (доля),,,38.431743
2014,Производственный травматизм с не смертельным исходом среди работников (доля),,,29.216361
2015,Производственный травматизм с не смертельным исходом среди работников (доля),,,22.079153
2016,Производственный травматизм с не смертельным исходом среди работников (доля),,,24.463597
2017,Производственный травматизм с не смертельным исходом среди работников (доля),,,17.014573
2018,Производственный травматизм с не смертельным исходом среди работников (доля),,,25.028299
2019,Производственный травматизм с не смертельным исходом среди работников (доля),,,21.813169
2020,Производственный травматизм с не смертельным исходом среди работников (доля),,,31.006658
2007,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,15.549077
2008,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,13.157949
2009,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,10.590847
2010,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,19.815059
2011,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,10.078654
2012,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,12.820667
2013,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,16.056764
2014,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,15.507042
2015,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,8.391925
2016,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,16.384907
2017,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,13.60476
2018,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,14.914402
2019,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,12.801351
2020,Производственный травматизм с не смертельным исходом среди работников (доля),,Женщины,12.36107
2007,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,41.775785
2008,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,52.283772
2009,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,38.855636
2010,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,164.348209
2011,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,46.448956
2012,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,42.343954
2013,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,63.293021
2014,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,44.619333
2015,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,37.859348
2016,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,33.692722
2017,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,20.921618
2018,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,36.61573
2019,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,31.967565
2020,Производственный травматизм с не смертельным исходом среди работников (доля),,Мужчины,51.674124
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,11.184431
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,52.931596
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,25.97515
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,66.960769
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,44.998269
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,44.855428
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,40.545177
2014,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,60.180542
2015,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,5.901968
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,11.837822
2017,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,16.899028
2018,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,14.249886
2019,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,16.981773
2020,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,,57.671711
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Женщины,8.934954
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Женщины,14.155283
2016,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Женщины,5.608525
2007,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,21.335609
2008,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,93.471383
2009,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,49.829748
2010,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,112.707805
2011,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,86.672445
2012,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,74.059113
2013,Производственный травматизм с не смертельным исходом среди работников (доля),Баткенская область,Мужчины,76.587722
