Year,Series,Units,Value
2010,"Темп роста (снижения) ВВП, в процентах к  предыдущему году",Процент,99.5
2011,"Темп роста (снижения) ВВП, в процентах к  предыдущему году",Процент,106.0
2012,"Темп роста (снижения) ВВП, в процентах к  предыдущему году",Процент,99.9
2013,"Темп роста (снижения) ВВП, в процентах к  предыдущему году",Процент,110.9
2014,"Темп роста (снижения) ВВП, в процентах к  предыдущему году",Процент,104.0
2015,"Темп роста (снижения) ВВП, в процентах к  предыдущему году",Процент,103.9
2016,"Темп роста (снижения) ВВП, в процентах к  предыдущему году",Процент,104.3
2017,"Темп роста (снижения) ВВП, в процентах к  предыдущему году",Процент,104.7
2018,"Темп роста (снижения) ВВП, в процентах к  предыдущему году",Процент,103.8
2010,"Индекс потребительских цен, в поцентах к предыдущему году",Процент,108.0
2011,"Индекс потребительских цен, в поцентах к предыдущему году",Процент,116.6
2012,"Индекс потребительских цен, в поцентах к предыдущему году",Процент,102.8
2013,"Индекс потребительских цен, в поцентах к предыдущему году",Процент,106.6
2014,"Индекс потребительских цен, в поцентах к предыдущему году",Процент,107.5
2015,"Индекс потребительских цен, в поцентах к предыдущему году",Процент,106.5
2016,"Индекс потребительских цен, в поцентах к предыдущему году",Процент,100.4
2017,"Индекс потребительских цен, в поцентах к предыдущему году",Процент,103.2
2018,"Индекс потребительских цен, в поцентах к предыдущему году",Процент,101.5
2019,"Индекс потребительских цен, в поцентах к предыдущему году",Процент,101.1
2010,"Индекс цен производителей, в поцентах к предыдущему году",Процент,122.79
2011,"Индекс цен производителей, в поцентах к предыдущему году",Процент,122.02
2012,"Индекс цен производителей, в поцентах к предыдущему году",Процент,105.3
2013,"Индекс цен производителей, в поцентах к предыдущему году",Процент,97.92
2014,"Индекс цен производителей, в поцентах к предыдущему году",Процент,101.45
2015,"Индекс цен производителей, в поцентах к предыдущему году",Процент,108.75
2016,"Индекс цен производителей, в поцентах к предыдущему году",Процент,106.41
2017,"Индекс цен производителей, в поцентах к предыдущему году",Процент,101.66
2018,"Индекс цен производителей, в поцентах к предыдущему году",Процент,101.49
2019,"Индекс цен производителей, в поцентах к предыдущему году",Процент,104.1
2010,"Дефицит государственного бюджета и источники его финансирования, млн сомов",Местная валюта,-10767.9787
2011,"Дефицит государственного бюджета и источники его финансирования, млн сомов",Местная валюта,-13663.7111
2012,"Дефицит государственного бюджета и источники его финансирования, млн сомов",Местная валюта,-20232.3134
2013,"Дефицит государственного бюджета и источники его финансирования, млн сомов",Местная валюта,-2330.4823
2014,"Дефицит государственного бюджета и источники его финансирования, млн сомов",Местная валюта,-1875.5431
2015,"Дефицит государственного бюджета и источники его финансирования, млн сомов",Местная валюта,-6149.3213
2016,"Дефицит государственного бюджета и источники его финансирования, млн сомов",Местная валюта,-20888.9124
2017,"Дефицит государственного бюджета и источники его финансирования, млн сомов",Местная валюта,-16476.1602
2018,"Дефицит государственного бюджета и источники его финансирования, млн сомов",Местная валюта,-6188.9008
2019,"Дефицит государственного бюджета и источники его финансирования, млн сомов",Местная валюта,-431.7092
2010,"Объем государственного долга, млн сомов",Местная валюта,7667.4055
2011,"Объем государственного долга, млн сомов",Местная валюта,9394.668149
2012,"Объем государственного долга, млн сомов",Местная валюта,11440.61056
2013,"Объем государственного долга, млн сомов",Местная валюта,13939.58569
2014,"Объем государственного долга, млн сомов",Местная валюта,13713.456934
2015,"Объем государственного долга, млн сомов",Местная валюта,14364.3936
2016,"Объем государственного долга, млн сомов",Местная валюта,20698.734025
2017,"Объем государственного долга, млн сомов",Местная валюта,20620.48082
2018,"Объем государственного долга, млн сомов",Местная валюта,23747.690011
2010,"Внешеторговый оборот, в процентах к предыдущему году",Процент,105.6
2011,"Внешеторговый оборот, в процентах к предыдущему году",Процент,130.62446
2012,"Внешеторговый оборот, в процентах к предыдущему году",Процент,115.384261
2013,"Внешеторговый оборот, в процентах к предыдущему году",Процент,106.528605
2014,"Внешеторговый оборот, в процентах к предыдущему году",Процент,95.30386
2015,"Внешеторговый оборот, в процентах к предыдущему году",Процент,73.989322
2016,"Внешеторговый оборот, в процентах к предыдущему году",Процент,98.878752
2017,"Внешеторговый оборот, в процентах к предыдущему году",Процент,112.297259
2018,"Внешеторговый оборот, в процентах к предыдущему году",Процент,113.896789
2010,"Экспорт, млн. долларов США",Доллар США,1755.9245
2011,"Экспорт, млн. долларов США",Доллар США,2242.1664
2012,"Экспорт, млн. долларов США",Доллар США,1927.6232
2013,"Экспорт, млн. долларов США",Доллар США,2006.8497
2014,"Экспорт, млн. долларов США",Доллар США,1883.733456
2015,"Экспорт, млн. долларов США",Доллар США,1482.942034
2016,"Экспорт, млн. долларов США",Доллар США,1573.21493
2017,"Экспорт, млн. долларов США",Доллар США,1764.254644
2018,"Экспорт, млн. долларов США",Доллар США,1836.838696
2010,"Импорт, млн. долларов США",Доллар США,3222.772182
2011,"Импорт, млн. долларов США",Доллар США,4261.226418
2012,"Импорт, млн. долларов США",Доллар США,5576.264131
2013,"Импорт, млн. долларов США",Доллар США,5986.983003
2014,"Импорт, млн. долларов США",Доллар США,5734.703808
2015,"Импорт, млн. долларов США",Доллар США,4153.86051
2016,"Импорт, млн. долларов США",Доллар США,4000.442107
2017,"Импорт, млн. долларов США",Доллар США,4494.728178
2018,"Импорт, млн. долларов США",Доллар США,5291.945776
