Year,Units,Value
2007,Процент,22.4
2008,Процент,21.4
2009,Процент,19.6
2010,Процент,17.4
2011,Процент,19.9
2012,Процент,20.2
2013,Процент,20.8
2014,Процент,18.5
2015,Процент,18.9
2016,Процент,20.0
2017,Процент,19.4
2018,Процент,21.1
2007,Метрические тонны,10.2
2008,Метрические тонны,9.8
2009,Метрические тонны,9.9
2010,Метрические тонны,9.3
2011,Метрические тонны,9.9
2012,Метрические тонны,10.6
2013,Метрические тонны,11.3
2014,Метрические тонны,9.9
2015,Метрические тонны,9.5
2016,Метрические тонны,8.8
2017,Метрические тонны,9.7
2018,Метрические тонны,8.6
2007,Число,10.5
2008,Число,10.3
2009,Число,9.5
2010,Число,16.1
2011,Число,15.5
2012,Число,16.3
2013,Число,19.5
2014,Число,19.2
2015,Число,18.4
2016,Число,16.5
2017,Число,16.2
2018,Число,19.1
