Year,Территория,Пол,GeoCode,Value
2010,,,,13.4
2013,,,,8.5
2014,,,,7.7
2015,,,,6.7
2016,,,,7.6
2017,,,,4.3
2018,,,,4.5
2019,,,,2.5
2020,,,,2.385958
2021,,,,2.017315
2010,,Женщины,,1.7
2013,,Женщины,,0.4
2014,,Женщины,,1.1
2015,,Женщины,,0.4
2016,,Женщины,,0.5
2017,,Женщины,,0.3
2018,,Женщины,,0.4
2019,,Женщины,,0.1
2020,,Женщины,,0.091859
2021,,Женщины,,0.118672
2010,,Мужчины,,25.3
2013,,Мужчины,,16.8
2014,,Мужчины,,14.5
2015,,Мужчины,,13.1
2016,,Мужчины,,14.8
2017,,Мужчины,,8.5
2018,,Мужчины,,8.8
2019,,Мужчины,,4.9
2020,,Мужчины,,4.646537
2021,,Мужчины,,3.944091
2010,Баткенская область,,KG05,1.6
2013,Баткенская область,,KG05,1.5
2014,Баткенская область,,KG05,1.3
2015,Баткенская область,,KG05,1.2
2016,Баткенская область,,KG05,2.2
2017,Баткенская область,,KG05,0.8
2018,Баткенская область,,KG05,0.4
2019,Баткенская область,,KG05,0.2
2020,Баткенская область,,KG05,0.368456
2021,Баткенская область,,KG05,0.0
2016,Баткенская область,Женщины,KG05,0.4
2018,Баткенская область,Женщины,KG05,0.0
2019,Баткенская область,Женщины,KG05,0.0
2010,Баткенская область,Мужчины,KG05,3.1
2013,Баткенская область,Мужчины,KG05,3.0
2014,Баткенская область,Мужчины,KG05,2.5
2015,Баткенская область,Мужчины,KG05,2.4
2016,Баткенская область,Мужчины,KG05,3.9
2017,Баткенская область,Мужчины,KG05,1.5
2018,Баткенская область,Мужчины,KG05,0.8
2019,Баткенская область,Мужчины,KG05,0.4
2020,Баткенская область,Мужчины,KG05,0.750965
2021,Баткенская область,Мужчины,KG05,0.0
2010,Джалал-Абадская область,,KG03,5.2
2013,Джалал-Абадская область,,KG03,3.2
2014,Джалал-Абадская область,,KG03,2.3
2015,Джалал-Абадская область,,KG03,1.2
2016,Джалал-Абадская область,,KG03,2.0
2017,Джалал-Абадская область,,KG03,1.9
2018,Джалал-Абадская область,,KG03,1.5
2019,Джалал-Абадская область,,KG03,0.7
2020,Джалал-Абадская область,,KG03,0.480122
2021,Джалал-Абадская область,,KG03,0.62921
