Year,Множитель,SDG Series,Economic activity,Unit of measure,Value
2007,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,87.7
2008,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,59.8
2009,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,49.9
2010,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,47.7
2011,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,43.3
2012,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,43.7
2013,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,38.5
2014,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,36.9
2015,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,31.5
2016,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,27.9
2017,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,26.9
2018,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,26.3
2019,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,24.41
2020,Единицы,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,25.6
2007,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,20.5
2008,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.0
2009,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.6
2010,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.3
2011,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.3
2012,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.7
2013,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.9
2014,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,12.9
2015,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,16.1
2016,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.8
2017,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,16.3
2018,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.8
2019,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.32
2020,Тысячи,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,13.073527
2007,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,71.8
2008,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,46.0
2009,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,40.1
2010,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,33.1
2011,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,30.0
2012,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,41.2
2013,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,35.0
2014,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,43.0
2015,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,31.8
2016,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,26.3
2017,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,25.0
2018,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,25.5
2019,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,23.61
2020,Тысячи,Power intensity of GDP by indusry,Industry (total),Thousands kilowatt-hours per 1mn som,21.941291
2007,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,158.9
2008,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,146.9
2009,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,168.8
2010,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,180.5
2011,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,174.7
2012,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,155.2
2013,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,160.3
2014,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,130.9
2015,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,207.6
2016,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,248.3
2017,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,260.3
2018,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,202.9
2019,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,200.5
2020,Миллионы,Power generation at small hydroelecric plant,,Kilowatt-hours,196.6
