Year,Показатель,Территория,Местность,Образование главы домохозяйства,Квинтиль индекса благосостояния,Value
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,,92.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",Баткенская область,,,,72.2
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",Джалал-Абадская область,,,,86.0
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",Иссык-Кульская область,,,,98.3
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",Нарынская область,,,,97.1
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",Ошская область,,,,88.1
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",Таласская область,,,,98.4
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",Чуйская область,,,,98.9
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",г. Бишкек,,,,100.0
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",г. Ош,,,,98.8
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,городская,,,99.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,сельская,,,88.7
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,Дошкольное или нет/Начальное,,83.0
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,Основное общее,,93.2
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,Среднее общее,,89.7
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,Профессиональное начальное/среднее,,94.4
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,Высшее,,97.2
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,Беднейший,76.9
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,Второй,92.7
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,Средний,94.8
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,Четвертый,98.7
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными источниками питьевой воды, находящимися либо в их собственном жилище/дворе/на их собственном участке, либо не более чем в 30 минутах пути туда и обратно",,,,Богатейший,100.0
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,,96.3
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Баткенская область,,,,99.6
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Джалал-Абадская область,,,,93.4
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Иссык-Кульская область,,,,99.1
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Нарынская область,,,,99.4
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Ошская область,,,,99.1
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Таласская область,,,,99.8
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",Чуйская область,,,,91.6
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",г. Бишкек,,,,95.7
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",г. Ош,,,,96.8
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,городская,,,96.1
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,сельская,,,96.5
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Дошкольное или нет/Начальное,,92.1
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Основное общее,,94.7
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Среднее общее,,97.4
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Профессиональное начальное/среднее,,96.6
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Высшее,,95.1
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Беднейший,97.2
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Второй,95.9
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Средний,96.5
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Четвертый,96.4
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Богатейший,95.7
