Year,Территория,Пол,GeoCode,Value
2007,,,,93
2008,,,,281
2009,,,,71
2010,,,,158
2011,,,,140
2012,,,,99
2013,,,,95
2014,,,,62
2015,,,,53
2016,,,,47
2017,,,,141
2018,,,,18
2019,,,,17
2020,,,,51
2021,,,,109
2022,,,,135
2007,,Мужчины,,74
2008,,Мужчины,,184
2009,,Мужчины,,48
2010,,Мужчины,,106
2011,,Мужчины,,93
2012,,Мужчины,,65
2013,,Мужчины,,62
2014,,Мужчины,,39
2015,,Мужчины,,33
2016,,Мужчины,,37
2017,,Мужчины,,85
2018,,Мужчины,,14
2019,,Мужчины,,8
2020,,Мужчины,,29
2021,,Мужчины,,74
2022,,Мужчины,,99
2007,,Женщины,,19
2008,,Женщины,,97
2009,,Женщины,,23
2010,,Женщины,,52
2011,,Женщины,,47
2012,,Женщины,,34
2013,,Женщины,,33
2014,,Женщины,,23
2015,,Женщины,,20
2016,,Женщины,,10
2017,,Женщины,,56
2018,,Женщины,,4
2019,,Женщины,,9
2020,,Женщины,,22
2021,,Женщины,,35
2022,,Женщины,,36
2007,Баткенская область,,KG05,8
2008,Баткенская область,,KG05,9
2010,Баткенская область,,KG05,15
2011,Баткенская область,,KG05,7
2012,Баткенская область,,KG05,9
2013,Баткенская область,,KG05,3
2014,Баткенская область,,KG05,3
2015,Баткенская область,,KG05,1
2016,Баткенская область,,KG05,9
2019,Баткенская область,,KG05,6
2020,Баткенская область,,KG05,5
2021,Баткенская область,,KG05,36
2022,Баткенская область,,KG05,97
2007,Баткенская область,Мужчины,KG05,6
2008,Баткенская область,Мужчины,KG05,9
2010,Баткенская область,Мужчины,KG05,11
2011,Баткенская область,Мужчины,KG05,4
2012,Баткенская область,Мужчины,KG05,7
2013,Баткенская область,Мужчины,KG05,3
2014,Баткенская область,Мужчины,KG05,3
2015,Баткенская область,Мужчины,KG05,1
2016,Баткенская область,Мужчины,KG05,7
2019,Баткенская область,Мужчины,KG05,4
2020,Баткенская область,Мужчины,KG05,3
2021,Баткенская область,Мужчины,KG05,35
2022,Баткенская область,Мужчины,KG05,80
2007,Баткенская область,Женщины,KG05,2
2010,Баткенская область,Женщины,KG05,4
2011,Баткенская область,Женщины,KG05,3
2012,Баткенская область,Женщины,KG05,2
2016,Баткенская область,Женщины,KG05,2
2019,Баткенская область,Женщины,KG05,2
2020,Баткенская область,Женщины,KG05,2
2021,Баткенская область,Женщины,KG05,1
2022,Баткенская область,Женщины,KG05,17
2007,Джалал-Абадская область,,KG03,5
2008,Джалал-Абадская область,,KG03,25
2009,Джалал-Абадская область,,KG03,39
2010,Джалал-Абадская область,,KG03,32
2011,Джалал-Абадская область,,KG03,35
2012,Джалал-Абадская область,,KG03,33
2013,Джалал-Абадская область,,KG03,31
2014,Джалал-Абадская область,,KG03,17
2015,Джалал-Абадская область,,KG03,11
2016,Джалал-Абадская область,,KG03,13
2017,Джалал-Абадская область,,KG03,43
2018,Джалал-Абадская область,,KG03,4
2020,Джалал-Абадская область,,KG03,15
2021,Джалал-Абадская область,,KG03,15
2022,Джалал-Абадская область,,KG03,17
2007,Джалал-Абадская область,Мужчины,KG03,5
2008,Джалал-Абадская область,Мужчины,KG03,18
2009,Джалал-Абадская область,Мужчины,KG03,27
2010,Джалал-Абадская область,Мужчины,KG03,21
2011,Джалал-Абадская область,Мужчины,KG03,27
2012,Джалал-Абадская область,Мужчины,KG03,17
2013,Джалал-Абадская область,Мужчины,KG03,22
2014,Джалал-Абадская область,Мужчины,KG03,11
2015,Джалал-Абадская область,Мужчины,KG03,5
2016,Джалал-Абадская область,Мужчины,KG03,9
2017,Джалал-Абадская область,Мужчины,KG03,29
2018,Джалал-Абадская область,Мужчины,KG03,4
2020,Джалал-Абадская область,Мужчины,KG03,9
2021,Джалал-Абадская область,Мужчины,KG03,8
2022,Джалал-Абадская область,Мужчины,KG03,11
2008,Джалал-Абадская область,Женщины,KG03,7
2009,Джалал-Абадская область,Женщины,KG03,12
2010,Джалал-Абадская область,Женщины,KG03,11
2011,Джалал-Абадская область,Женщины,KG03,8
2012,Джалал-Абадская область,Женщины,KG03,16
2013,Джалал-Абадская область,Женщины,KG03,9
2014,Джалал-Абадская область,Женщины,KG03,6
2015,Джалал-Абадская область,Женщины,KG03,6
2016,Джалал-Абадская область,Женщины,KG03,4
2017,Джалал-Абадская область,Женщины,KG03,14
2020,Джалал-Абадская область,Женщины,KG03,5
2021,Джалал-Абадская область,Женщины,KG03,7
2022,Джалал-Абадская область,Женщины,KG03,6
2007,Иссык-Кульская область,,KG02,14
2008,Иссык-Кульская область,,KG02,42
2009,Иссык-Кульская область,,KG02,11
2010,Иссык-Кульская область,,KG02,15
2011,Иссык-Кульская область,,KG02,17
2012,Иссык-Кульская область,,KG02,4
2013,Иссык-Кульская область,,KG02,21
2014,Иссык-Кульская область,,KG02,25
2015,Иссык-Кульская область,,KG02,6
2016,Иссык-Кульская область,,KG02,2
2017,Иссык-Кульская область,,KG02,6
2018,Иссык-Кульская область,,KG02,2
2019,Иссык-Кульская область,,KG02,5
2021,Иссык-Кульская область,,KG02,12
2022,Иссык-Кульская область,,KG02,5
2007,Иссык-Кульская область,Мужчины,KG02,10
2008,Иссык-Кульская область,Мужчины,KG02,26
2009,Иссык-Кульская область,Мужчины,KG02,7
2010,Иссык-Кульская область,Мужчины,KG02,10
2011,Иссык-Кульская область,Мужчины,KG02,9
2012,Иссык-Кульская область,Мужчины,KG02,4
2013,Иссык-Кульская область,Мужчины,KG02,13
2014,Иссык-Кульская область,Мужчины,KG02,16
2015,Иссык-Кульская область,Мужчины,KG02,5
2016,Иссык-Кульская область,Мужчины,KG02,1
2017,Иссык-Кульская область,Мужчины,KG02,6
2018,Иссык-Кульская область,Мужчины,KG02,1
2019,Иссык-Кульская область,Мужчины,KG02,2
2021,Иссык-Кульская область,Мужчины,KG02,7
2022,Иссык-Кульская область,Мужчины,KG02,3
2007,Иссык-Кульская область,Женщины,KG02,4
2008,Иссык-Кульская область,Женщины,KG02,16
2009,Иссык-Кульская область,Женщины,KG02,4
2010,Иссык-Кульская область,Женщины,KG02,5
2011,Иссык-Кульская область,Женщины,KG02,8
2013,Иссык-Кульская область,Женщины,KG02,8
2014,Иссык-Кульская область,Женщины,KG02,9
2015,Иссык-Кульская область,Женщины,KG02,1
2016,Иссык-Кульская область,Женщины,KG02,1
2018,Иссык-Кульская область,Женщины,KG02,1
2019,Иссык-Кульская область,Женщины,KG02,3
2021,Иссык-Кульская область,Женщины,KG02,5
2022,Иссык-Кульская область,Женщины,KG02,2
