Year,Территория,GeoCode,Value
2007,,,9.2
2008,,,8.9
2009,,,8.5
2010,,,9.2
2011,,,8.5
2012,,,9.3
2013,,,7.8
2014,,,7.9
2015,,,7.0
2016,,,6.9
2017,,,6.3
2018,,,6.0
2019,,,5.8
2020,,,4.6
2021,,,58.0
2007,Баткенская область,KG05,6.6
2008,Баткенская область,KG05,8.5
2009,Баткенская область,KG05,7.4
2010,Баткенская область,KG05,6.4
2011,Баткенская область,KG05,8.5
2012,Баткенская область,KG05,9.7
2013,Баткенская область,KG05,6.9
2014,Баткенская область,KG05,6.1
2015,Баткенская область,KG05,8.2
2016,Баткенская область,KG05,5.8
2017,Баткенская область,KG05,6.1
2018,Баткенская область,KG05,7.5
2019,Баткенская область,KG05,6.8
2020,Баткенская область,KG05,4.2
2021,Баткенская область,KG05,47.0
2007,Джалал-Абадская область,KG03,5.7
2008,Джалал-Абадская область,KG03,4.7
2009,Джалал-Абадская область,KG03,2.4
2010,Джалал-Абадская область,KG03,1.5
2011,Джалал-Абадская область,KG03,2.3
2012,Джалал-Абадская область,KG03,3.8
2013,Джалал-Абадская область,KG03,2.8
2014,Джалал-Абадская область,KG03,3.9
2015,Джалал-Абадская область,KG03,2.7
2016,Джалал-Абадская область,KG03,2.9
2017,Джалал-Абадская область,KG03,1.4
2018,Джалал-Абадская область,KG03,1.5
2019,Джалал-Абадская область,KG03,2.6
2020,Джалал-Абадская область,KG03,1.3
2021,Джалал-Абадская область,KG03,16.0
2007,Иссык-Кульская область,KG02,20.0
2008,Иссык-Кульская область,KG02,21.5
2009,Иссык-Кульская область,KG02,21.2
2010,Иссык-Кульская область,KG02,23.0
2011,Иссык-Кульская область,KG02,22.0
2012,Иссык-Кульская область,KG02,25.1
2013,Иссык-Кульская область,KG02,19.1
2014,Иссык-Кульская область,KG02,21.0
2015,Иссык-Кульская область,KG02,17.6
2016,Иссык-Кульская область,KG02,15.6
2017,Иссык-Кульская область,KG02,15.0
2018,Иссык-Кульская область,KG02,19.5
2019,Иссык-Кульская область,KG02,15.6
2020,Иссык-Кульская область,KG02,10.8
2021,Иссык-Кульская область,KG02,129.0
2007,Нарынская область,KG04,14.8
2008,Нарынская область,KG04,16.3
2009,Нарынская область,KG04,15.5
2010,Нарынская область,KG04,19.2
2011,Нарынская область,KG04,16.7
2012,Нарынская область,KG04,14.6
2013,Нарынская область,KG04,13.0
2014,Нарынская область,KG04,17.2
2015,Нарынская область,KG04,13.8
2016,Нарынская область,KG04,13.2
2017,Нарынская область,KG04,15.2
2018,Нарынская область,KG04,10.2
2019,Нарынская область,KG04,10.4
2020,Нарынская область,KG04,6.5
2021,Нарынская область,KG04,102.0
2007,Ошская область,KG06,4.6
2008,Ошская область,KG06,4.4
2009,Ошская область,KG06,4.5
2010,Ошская область,KG06,4.2
2011,Ошская область,KG06,4.7
2012,Ошская область,KG06,5.3
2013,Ошская область,KG06,6.2
2014,Ошская область,KG06,5.8
2015,Ошская область,KG06,4.4
2016,Ошская область,KG06,3.9
2017,Ошская область,KG06,3.8
2018,Ошская область,KG06,2.9
2019,Ошская область,KG06,3.5
2020,Ошская область,KG06,2.9
2021,Ошская область,KG06,42.0
2007,Таласская область,KG07,4.9
2008,Таласская область,KG07,4.0
2009,Таласская область,KG07,7.5
2010,Таласская область,KG07,7.8
2011,Таласская область,KG07,5.1
2012,Таласская область,KG07,5.1
2013,Таласская область,KG07,12.4
2014,Таласская область,KG07,6.1
2015,Таласская область,KG07,8.4
2016,Таласская область,KG07,4.3
2017,Таласская область,KG07,3.1
2018,Таласская область,KG07,3.8
2019,Таласская область,KG07,3.0
2020,Таласская область,KG07,2.6
2021,Таласская область,KG07,33.0
2007,Чуйская область,KG08,15.8
2008,Чуйская область,KG08,17.9
2009,Чуйская область,KG08,17.8
2010,Чуйская область,KG08,20.1
2011,Чуйская область,KG08,17.2
2012,Чуйская область,KG08,20.5
2013,Чуйская область,KG08,14.2
2014,Чуйская область,KG08,14.4
2015,Чуйская область,KG08,13.8
2016,Чуйская область,KG08,16.7
2017,Чуйская область,KG08,15.2
2018,Чуйская область,KG08,13.7
2019,Чуйская область,KG08,11.6
2020,Чуйская область,KG08,13.1
2021,Чуйская область,KG08,152.0
2007,г. Бишкек,KG11,10.3
2008,г. Бишкек,KG11,5.3
2009,г. Бишкек,KG11,5.7
2010,г. Бишкек,KG11,8.6
2011,г. Бишкек,KG11,6.5
2012,г. Бишкек,KG11,4.2
2013,г. Бишкек,KG11,3.8
2014,г. Бишкек,KG11,3.2
2015,г. Бишкек,KG11,2.5
2016,г. Бишкек,KG11,2.8
2017,г. Бишкек,KG11,2.4
2018,г. Бишкек,KG11,1.8
2019,г. Бишкек,KG11,2.6
2020,г. Бишкек,KG11,1.0
2021,г. Бишкек,KG11,24.0
2007,г. Ош,KG21,2.3
2008,г. Ош,KG21,3.9
2009,г. Ош,KG21,4.3
2010,г. Ош,KG21,1.6
2011,г. Ош,KG21,1.6
2012,г. Ош,KG21,2.7
2013,г. Ош,KG21,1.1
2014,г. Ош,KG21,2.2
2015,г. Ош,KG21,1.8
2016,г. Ош,KG21,2.5
2017,г. Ош,KG21,2.5
2018,г. Ош,KG21,1.7
2019,г. Ош,KG21,2.9
2020,г. Ош,KG21,1.3
2021,г. Ош,KG21,6.0
