Year,SERIES,Пол,Value
2012,Доля должностей в государственных учреждениях: на политических должностях,,2.984
2013,Доля должностей в государственных учреждениях: на политических должностях,,4.897724
2014,Доля должностей в государственных учреждениях: на политических должностях,,3.126344
2015,Доля должностей в государственных учреждениях: на политических должностях,,4.424534
2016,Доля должностей в государственных учреждениях: на политических должностях,,4.539295
2017,Доля должностей в государственных учреждениях: на политических должностях,,1.571123
2018,Доля должностей в государственных учреждениях: на политических должностях,,1.319706
2019,Доля должностей в государственных учреждениях: на политических должностях,,1.2
2020,Доля должностей в государственных учреждениях: на политических должностях,,1.2
2021,Доля должностей в государственных учреждениях: на политических должностях,,2.6
2012,Доля должностей в государственных учреждениях: на политических должностях,Мужчины,3.927548
2013,Доля должностей в государственных учреждениях: на политических должностях,Мужчины,6.087459
2014,Доля должностей в государственных учреждениях: на политических должностях,Мужчины,5.7
2015,Доля должностей в государственных учреждениях: на политических должностях,Мужчины,5.725687
2016,Доля должностей в государственных учреждениях: на политических должностях,Мужчины,5.865711
2017,Доля должностей в государственных учреждениях: на политических должностях,Мужчины,2.324917
2018,Доля должностей в государственных учреждениях: на политических должностях,Мужчины,1.955622
2019,Доля должностей в государственных учреждениях: на политических должностях,Мужчины,1.7
2020,Доля должностей в государственных учреждениях: на политических должностях,Мужчины,1.7
2021,Доля должностей в государственных учреждениях: на политических должностях,Мужчины,3.4
2012,Доля должностей в государственных учреждениях: на политических должностях,Женщины,1.574151
2013,Доля должностей в государственных учреждениях: на политических должностях,Женщины,3.126344
2014,Доля должностей в государственных учреждениях: на политических должностях,Женщины,2.581194
2015,Доля должностей в государственных учреждениях: на политических должностях,Женщины,2.505133
2016,Доля должностей в государственных учреждениях: на политических должностях,Женщины,2.560495
2017,Доля должностей в государственных учреждениях: на политических должностях,Женщины,0.481895
2018,Доля должностей в государственных учреждениях: на политических должностях,Женщины,0.376517
2019,Доля должностей в государственных учреждениях: на политических должностях,Женщины,0.376517
2020,Доля должностей в государственных учреждениях: на политических должностях,Женщины,0.4
2021,Доля должностей в государственных учреждениях: на политических должностях,Женщины,1.4
2012,Доля должностей в государственных учреждениях: на специальных должностях,,2.446991
2013,Доля должностей в государственных учреждениях: на специальных должностях,,1.331029
2014,Доля должностей в государственных учреждениях: на специальных должностях,,0.860462
2015,Доля должностей в государственных учреждениях: на специальных должностях,,2.195675
2016,Доля должностей в государственных учреждениях: на специальных должностях,,2.647922
2017,Доля должностей в государственных учреждениях: на специальных должностях,,2.66922
2018,Доля должностей в государственных учреждениях: на специальных должностях,,2.594485
2019,Доля должностей в государственных учреждениях: на специальных должностях,,3.3
2020,Доля должностей в государственных учреждениях: на специальных должностях,,3.3
2021,Доля должностей в государственных учреждениях: на специальных должностях,,3.0
2012,Доля должностей в государственных учреждениях: на специальных должностях,Мужчины,2.744663
