Year,Пол,Возраст,Уровень образования,Value
2010,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),5.4
2013,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),6.0
2014,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),5.6
2015,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),5.8
2016,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),6.3
2017,Женщины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),6.9
2010,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),12.5
2013,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),12.6
2014,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),12.9
2015,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),13.1
2016,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),14.3
2017,Мужчины,от 15 до 17 лет ,Среднее и послесреднее нетретичное образование (среднее),14.7
2010,,от 17 до 20 лет,Короткий цикл третичного образования,13.6
2013,,от 17 до 20 лет,Короткий цикл третичного образования,20.3
2014,,от 17 до 20 лет,Короткий цикл третичного образования,21.8
2015,,от 17 до 20 лет,Короткий цикл третичного образования,21.1
2016,,от 17 до 20 лет,Короткий цикл третичного образования,22.0
2017,,от 17 до 20 лет,Короткий цикл третичного образования,22.8
2010,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,16.0
2013,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,23.8
2014,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,24.3
2015,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,24.2
2016,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,25.2
2017,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,26.4
2010,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,130.0
2013,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,113.3
2014,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,113.8
2015,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,116.7
2016,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,115.4
2017,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,116.4
2010,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),24.3
2013,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),24.3
2014,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),23.8
2015,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),22.6
2016,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),20.2
2017,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),19.1
2010,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),26.3
2013,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),26.7
2014,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),26.5
2015,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),24.6
2016,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),22.2
2017,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),20.6
2010,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),22.4
2013,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),21.8
2014,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),21.2
2015,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),20.6
2016,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),18.3
2017,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),17.4
