Year,Пол,Возраст,Уровень образования,COMPOSITE_BREAKDOWN,Value
2009-A1,,,,,2093
2010-A1,,,,,1789
2011-A1,,,,,1809
2012-A1,,,,,2415
2013-A1,,,,,2339
2014-A1,,,,,2629
2015-A1,,,,,3333
2016-A1,,,,,7005
2017-A1,,,,,7323
2018-A1,,,,,7178
2019-A1,,,,,6490
2020-A1,,,,,8577
2021-A1,,,,,9038
2009-A1,Женщины,,,,1927
2010-A1,Женщины,,,,1659
2011-A1,Женщины,,,,1714
2012-A1,Женщины,,,,2341
2013-A1,Женщины,,,,2269
2014-A1,Женщины,,,,2531
2015-A1,Женщины,,,,3229
2016-A1,Женщины,,,,6795
2017-A1,Женщины,,,,6966
2018-A1,Женщины,,,,6562
2019-A1,Женщины,,,,5989
2020-A1,Женщины,,,,8060
2021-A1,Женщины,,,,8587
2009-A1,Мужчины,,,,166
2010-A1,Мужчины,,,,130
2011-A1,Мужчины,,,,95
2012-A1,Мужчины,,,,74
2013-A1,Мужчины,,,,70
2014-A1,Мужчины,,,,98
2015-A1,Мужчины,,,,104
2016-A1,Мужчины,,,,210
2017-A1,Мужчины,,,,357
2018-A1,Мужчины,,,,616
2019-A1,Мужчины,,,,501
2020-A1,Мужчины,,,,517
2021-A1,Мужчины,,,,451
2009-A1,,до 20 лет,,,126
2010-A1,,до 20 лет,,,212
2011-A1,,до 20 лет,,,37
2012-A1,,до 20 лет,,,92
2013-A1,,до 20 лет,,,73
2014-A1,,до 20 лет,,,100
2015-A1,,до 20 лет,,,134
2016-A1,,до 20 лет,,,533
2017-A1,,до 20 лет,,,394
2018-A1,,до 20 лет,,,250
2019-A1,,до 20 лет,,,561
2009-A1,,от 21 до 30 лет,,,738
2010-A1,,от 21 до 30 лет,,,634
2011-A1,,от 21 до 30 лет,,,476
2012-A1,,от 21 до 30 лет,,,654
2013-A1,,от 21 до 30 лет,,,678
2014-A1,,от 21 до 30 лет,,,837
2015-A1,,от 21 до 30 лет,,,1054
2016-A1,,от 21 до 30 лет,,,2085
2017-A1,,от 21 до 30 лет,,,1888
2018-A1,,от 21 до 30 лет,,,2108
2019-A1,,от 21 до 30 лет,,,1879
2009-A1,,от 31 до 40 лет,,,762
2010-A1,,от 31 до 40 лет,,,552
2011-A1,,от 31 до 40 лет,,,687
2012-A1,,от 31 до 40 лет,,,1108
2013-A1,,от 31 до 40 лет,,,957
2014-A1,,от 31 до 40 лет,,,904
2015-A1,,от 31 до 40 лет,,,1264
2016-A1,,от 31 до 40 лет,,,2422
2017-A1,,от 31 до 40 лет,,,2531
2018-A1,,от 31 до 40 лет,,,2385
2019-A1,,от 31 до 40 лет,,,1974
2009-A1,,от 41 до 50 лет,,,336
2010-A1,,от 41 до 50 лет,,,283
2011-A1,,от 41 до 50 лет,,,461
2012-A1,,от 41 до 50 лет,,,424
2013-A1,,от 41 до 50 лет,,,463
2014-A1,,от 41 до 50 лет,,,482
2015-A1,,от 41 до 50 лет,,,625
2016-A1,,от 41 до 50 лет,,,1435
2017-A1,,от 41 до 50 лет,,,1496
2018-A1,,от 41 до 50 лет,,,1550
2019-A1,,от 41 до 50 лет,,,1121
2009-A1,,51 лет и старше,,,131
2010-A1,,51 лет и старше,,,108
2011-A1,,51 лет и старше,,,148
2012-A1,,51 лет и старше,,,137
