Year,SERIES,Value
2007,Количество письменных обращений к Омбудсмену,3014
2008,Количество письменных обращений к Омбудсмену,2136
2009,Количество письменных обращений к Омбудсмену,1742
2010,Количество письменных обращений к Омбудсмену,1862
2011,Количество письменных обращений к Омбудсмену,2098
2012,Количество письменных обращений к Омбудсмену,2843
2013,Количество письменных обращений к Омбудсмену,2466
2014,Количество письменных обращений к Омбудсмену,2411
2015,Количество письменных обращений к Омбудсмену,2483
2016,Количество письменных обращений к Омбудсмену,3800
2017,Количество письменных обращений к Омбудсмену,3242
2018,Количество письменных обращений к Омбудсмену,3237
2019,Количество письменных обращений к Омбудсмену,3923
2020,Количество письменных обращений к Омбудсмену,3255
2007,Количество положительно-решенных обращений к Омбудсмену,619
2010,Количество положительно-решенных обращений к Омбудсмену,309
2011,Количество положительно-решенных обращений к Омбудсмену,196
2012,Количество положительно-решенных обращений к Омбудсмену,501
2013,Количество положительно-решенных обращений к Омбудсмену,384
2015,Количество положительно-решенных обращений к Омбудсмену,374
2016,Количество положительно-решенных обращений к Омбудсмену,615
2017,Количество положительно-решенных обращений к Омбудсмену,531
2018,Количество положительно-решенных обращений к Омбудсмену,376
2019,Количество положительно-решенных обращений к Омбудсмену,445
2020,Количество положительно-решенных обращений к Омбудсмену,343
