Year,SERIES,Территория,Возраст,GeoCode,Value
2015,"Доля женщин, зарегистрированных случаев заболеваний анемией",,,,3.4
2016,"Доля женщин, зарегистрированных случаев заболеваний анемией",,,,2.8
2017,"Доля женщин, зарегистрированных случаев заболеваний анемией",,,,2.8
2018,"Доля женщин, зарегистрированных случаев заболеваний анемией",,,,2.5
2019,"Доля женщин, зарегистрированных случаев заболеваний анемией",,,,2.0
2020,"Доля женщин, зарегистрированных случаев заболеваний анемией",,,,1.156022
2021,"Доля женщин, зарегистрированных случаев заболеваний анемией",,,,1.3
2022,"Доля женщин, зарегистрированных случаев заболеваний анемией",,,,1.7
2023,"Доля женщин, зарегистрированных случаев заболеваний анемией",,,,1.5
2024,"Доля женщин, зарегистрированных случаев заболеваний анемией",,,,1.3
2015,"Доля женщин, зарегистрированных случаев заболеваний анемией",,до 14 лет,,3.9
2016,"Доля женщин, зарегистрированных случаев заболеваний анемией",,до 14 лет,,3.2
2017,"Доля женщин, зарегистрированных случаев заболеваний анемией",,до 14 лет,,3.4
2018,"Доля женщин, зарегистрированных случаев заболеваний анемией",,до 14 лет,,3.0
2019,"Доля женщин, зарегистрированных случаев заболеваний анемией",,до 14 лет,,2.5
2020,"Доля женщин, зарегистрированных случаев заболеваний анемией",,до 14 лет,,1.257611
2021,"Доля женщин, зарегистрированных случаев заболеваний анемией",,до 14 лет,,1.5
2022,"Доля женщин, зарегистрированных случаев заболеваний анемией",,до 14 лет,,2.2
2023,"Доля женщин, зарегистрированных случаев заболеваний анемией",,до 14 лет,,1.9
2024,"Доля женщин, зарегистрированных случаев заболеваний анемией",,до 14 лет,,1.5
2015,"Доля женщин, зарегистрированных случаев заболеваний анемией",,15 лет и старше,,3.2
2016,"Доля женщин, зарегистрированных случаев заболеваний анемией",,15 лет и старше,,2.6
2017,"Доля женщин, зарегистрированных случаев заболеваний анемией",,15 лет и старше,,2.6
2018,"Доля женщин, зарегистрированных случаев заболеваний анемией",,15 лет и старше,,2.3
2019,"Доля женщин, зарегистрированных случаев заболеваний анемией",,15 лет и старше,,1.8
2020,"Доля женщин, зарегистрированных случаев заболеваний анемией",,15 лет и старше,,1.108352
2021,"Доля женщин, зарегистрированных случаев заболеваний анемией",,15 лет и старше,,1.1
2022,"Доля женщин, зарегистрированных случаев заболеваний анемией",,15 лет и старше,,1.4
2023,"Доля женщин, зарегистрированных случаев заболеваний анемией",,15 лет и старше,,1.2
2024,"Доля женщин, зарегистрированных случаев заболеваний анемией",,15 лет и старше,,1.2
2015,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",,,,52.846005
2016,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",,,,47.502069
2017,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",,,,52.792095
2018,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",,,,58.958873
2019,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",,,,55.240237
2020,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",,,,40.422043
2021,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",,,,35.440295
2022,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",,,,41.1
2023,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",,,,39.0
2024,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",,,,31.0
2015,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Баткенская область,,KG05,93.343001
2016,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Баткенская область,,KG05,63.421955
2017,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Баткенская область,,KG05,87.940429
2018,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Баткенская область,,KG05,86.916427
2019,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Баткенская область,,KG05,88.203209
2020,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Баткенская область,,KG05,62.073018
2021,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Баткенская область,,KG05,59.171813
2022,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Баткенская область,,KG05,65.902091
2023,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Баткенская область,,KG05,49.967046
2024,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Баткенская область,,KG05,32.015673
2015,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Джалал-Абадская область,,KG03,69.843445
2016,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Джалал-Абадская область,,KG03,56.804052
2017,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Джалал-Абадская область,,KG03,70.581429
2018,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Джалал-Абадская область,,KG03,75.09768
2019,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Джалал-Абадская область,,KG03,80.273802
2020,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Джалал-Абадская область,,KG03,59.73299
2021,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Джалал-Абадская область,,KG03,44.777331
2022,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Джалал-Абадская область,,KG03,55.941036
2023,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Джалал-Абадская область,,KG03,43.24723
2024,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Джалал-Абадская область,,KG03,35.486459
2015,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Иссык-Кульская область,,KG02,33.22151
2016,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Иссык-Кульская область,,KG02,35.099338
2017,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Иссык-Кульская область,,KG02,39.201903
2018,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Иссык-Кульская область,,KG02,31.307684
2019,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Иссык-Кульская область,,KG02,26.755677
2020,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Иссык-Кульская область,,KG02,29.473684
2021,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Иссык-Кульская область,,KG02,23.062382
2022,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Иссык-Кульская область,,KG02,21.263715
2023,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Иссык-Кульская область,,KG02,25.208768
2024,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Иссык-Кульская область,,KG02,18.5992
2015,"Доля беременных женщин, страдающих анемией к численности женщин, закончивших беременность",Нарынская область,,KG04,37.077865
