Year,Территория,Пол,Value
2007,,,115.478276
2008,,,106.340082
2009,,,103.932976
2010,,,101.138775
2011,,,100.367124
2012,,,104.342194
2013,,,102.43272
2014,,,101.065558
2015,,,98.249685
2016,,,93.423511
2017,,,90.6
2018,,,83.012882
2019,,,78.928029
2020,,,53.463697
2007,,Женщины,91.061332
2008,,Женщины,85.809103
2009,,Женщины,85.417204
2010,,Женщины,84.9
2011,,Женщины,81.94725
2012,,Женщины,85.223608
2013,,Женщины,87.8
2014,,Женщины,88.7
2015,,Женщины,83.7
2016,,Женщины,81.7
2017,,Женщины,77.7
2018,,Женщины,69.02199
2019,,Женщины,66.863517
2020,,Женщины,46.052047
2007,,Мужчины,140.46199
2008,,Мужчины,127.338423
2009,,Мужчины,122.936319
2010,,Мужчины,117.8
2011,,Мужчины,119.256007
2012,,Мужчины,123.922984
2013,,Мужчины,117.4
2014,,Мужчины,113.7
2015,,Мужчины,113.1
2016,,Мужчины,105.3
2017,,Мужчины,103.8
2018,,Мужчины,97.234292
2019,,Мужчины,91.178105
2020,,Мужчины,60.767053
2007,Баткенская область,,80.315042
2008,Баткенская область,,81.679899
2009,Баткенская область,,82.704723
2010,Баткенская область,,81.83755
2011,Баткенская область,,78.880836
2012,Баткенская область,,90.334237
2013,Баткенская область,,90.032265
2014,Баткенская область,,86.073371
2015,Баткенская область,,72.743563
2016,Баткенская область,,67.061001
2017,Баткенская область,,70.8
2018,Баткенская область,,64.887679
2019,Баткенская область,,55.906409
2020,Баткенская область,,46.609654
2007,Баткенская область,Женщины,70.837249
2008,Баткенская область,Женщины,67.323067
2009,Баткенская область,Женщины,81.332337
2010,Баткенская область,Женщины,62.3
2011,Баткенская область,Женщины,63.9
2012,Баткенская область,Женщины,79.7
2013,Баткенская область,Женщины,81.0
2014,Баткенская область,Женщины,78.8
2015,Баткенская область,Женщины,63.1
2016,Баткенская область,Женщины,66.6
2017,Баткенская область,Женщины,65.7
2018,Баткенская область,Женщины,60.420827
2019,Баткенская область,Женщины,45.279254
2020,Баткенская область,Женщины,39.785592
2007,Баткенская область,Мужчины,89.745096
2008,Баткенская область,Мужчины,95.98673
2009,Баткенская область,Мужчины,84.03016
2010,Баткенская область,Мужчины,100.8
2011,Баткенская область,Мужчины,93.4
2012,Баткенская область,Мужчины,100.7
2013,Баткенская область,Мужчины,98.8
2014,Баткенская область,Мужчины,93.2
2015,Баткенская область,Мужчины,82.0
2016,Баткенская область,Мужчины,67.5
2017,Баткенская область,Мужчины,75.7
2018,Баткенская область,Мужчины,69.192377
2019,Баткенская область,Мужчины,66.139521
2020,Баткенская область,Мужчины,53.693997
2007,Джалал-Абадская область,,91.916186
2008,Джалал-Абадская область,,88.339312
2009,Джалал-Абадская область,,87.787489
2010,Джалал-Абадская область,,85.931674
2011,Джалал-Абадская область,,82.549369
2012,Джалал-Абадская область,,86.910818
2013,Джалал-Абадская область,,80.886516
2014,Джалал-Абадская область,,85.34428
2015,Джалал-Абадская область,,76.512241
2016,Джалал-Абадская область,,84.915163
2017,Джалал-Абадская область,,80.2
2018,Джалал-Абадская область,,73.346827
2019,Джалал-Абадская область,,68.97159
2020,Джалал-Абадская область,,49.13246
2007,Джалал-Абадская область,Женщины,75.21801
2008,Джалал-Абадская область,Женщины,71.207543
2009,Джалал-Абадская область,Женщины,71.790057
2010,Джалал-Абадская область,Женщины,74.3
2011,Джалал-Абадская область,Женщины,72.983333
2012,Джалал-Абадская область,Женщины,75.789204
2013,Джалал-Абадская область,Женщины,74.3
2014,Джалал-Абадская область,Женщины,81.8
2015,Джалал-Абадская область,Женщины,66.2
2016,Джалал-Абадская область,Женщины,79.5
2017,Джалал-Абадская область,Женщины,72.8
2018,Джалал-Абадская область,Женщины,64.089585
2019,Джалал-Абадская область,Женщины,67.445158
2020,Джалал-Абадская область,Женщины,42.132308
2007,Джалал-Абадская область,Мужчины,108.757553
2008,Джалал-Абадская область,Мужчины,105.621764
2009,Джалал-Абадская область,Мужчины,103.75711
2010,Джалал-Абадская область,Мужчины,97.6
2011,Джалал-Абадская область,Мужчины,92.090531
2012,Джалал-Абадская область,Мужчины,97.991089
2013,Джалал-Абадская область,Мужчины,87.5
2014,Джалал-Абадская область,Мужчины,88.8
