Year,Пол,Value
2007,,3.040621
2008,,2.8227
2009,,2.53626
2010,,2.581546
2011,,2.452673
2012,,2.4
2013,,2.365496
2014,,2.325931
2015,,2.201387
2016,,2.181767
2017,,2.280168
2018,,2.791516
2019,,2.945501
2007,Женщины,3.617864
2008,Женщины,3.288586
2009,Женщины,3.057784
2010,Женщины,3.25141
2011,Женщины,3.050403
2012,Женщины,3.0
2013,Женщины,3.022166
2014,Женщины,2.924691
2015,Женщины,2.851356
2016,Женщины,2.875583
2017,Женщины,2.965272
2018,Женщины,3.612611
2019,Женщины,3.684217
2007,Мужчины,2.618787
2008,Мужчины,2.471303
2009,Мужчины,2.153339
2010,Мужчины,2.099174
2011,Мужчины,2.022851
2012,Мужчины,2.0
2013,Мужчины,1.920636
2014,Мужчины,1.902712
2015,Мужчины,1.749646
2016,Мужчины,1.708779
2017,Мужчины,1.84019
2018,Мужчины,2.276337
2019,Мужчины,2.479511
