Year,Территория,Пол,COMPOSITE_BREAKDOWN,GeoCode,Value
2007,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,338.148644
2008,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,334.016356
2009,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,313.473027
2010,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,323.9
2011,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,326.3
2012,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,331.2
2013,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,308.2
2014,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,307.0
2015,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,297.0
2016,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,279.7
2017,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,276.0
2018,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,265.7
2019,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,266.2
2020,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,317.7
2021,,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,297.1
2007,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,341.99762
2008,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,333.529217
2009,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,317.835613
2010,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,328.276067
2011,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,332.170272
2012,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,335.775909
2013,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,318.951798
2014,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,317.836976
2015,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,303.536912
2016,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,284.556895
2017,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,284.323937
2018,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,273.814459
2019,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,275.689849
2020,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,336.5
2021,,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,311.0
2007,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,334.396636
2008,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,334.491404
2009,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,309.213309
2010,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,319.570812
2011,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,320.487106
2012,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,326.660087
2013,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,297.628103
2014,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,296.293785
2015,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,290.6625
2016,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,274.958443
2017,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,267.728625
2018,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,257.796323
2019,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,256.878478
2020,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,299.2
2021,,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,,283.3
2007,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,278.463649
2008,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,281.861092
2009,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,286.249449
2010,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,285.093736
2011,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,305.686671
2012,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,338.2
2013,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,289.468016
2014,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,283.038721
2015,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,284.833539
2016,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,292.310781
2017,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,267.453294
2018,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,257.219869
2019,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,251.694277
2020,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,318.0
2021,Баткенская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,281.7
2007,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,290.598291
2008,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,295.837024
2009,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,296.006944
2010,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,292.847503
2011,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,319.751993
2012,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,359.375
2013,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,321.322594
2014,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,298.84106
2015,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,308.282828
2016,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,309.786898
2017,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,302.936631
2018,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,282.041588
2019,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,266.444937
2020,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,351.9
2021,Баткенская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,299.5
2007,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,265.922827
2008,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,267.457782
2009,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,276.186213
2010,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,277.080428
2011,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,291.191237
2012,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,316.472695
2013,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,256.567426
2014,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,266.695205
2015,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,260.560435
2016,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,274.213322
2017,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,230.676812
2018,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,231.463319
2019,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,236.37759
2020,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,282.8
2021,Баткенская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG05,263.3
2007,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,272.842023
2008,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,285.249665
2009,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,265.321445
2010,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,266.239441
2011,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,289.841209
2012,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,286.2
2013,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,264.613971
2014,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,264.584084
2015,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,268.3
2016,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,248.963372
2017,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,244.045096
2018,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,237.837838
2019,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,243.111039
2020,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,292.4
2021,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,287.1
2007,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,285.354025
2008,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,281.620176
2009,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,271.688214
2010,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,270.223084
2011,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,295.758502
2012,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,285.553682
2013,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,275.261324
2014,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,278.047029
2015,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,279.719052
2016,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,256.189821
2017,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,252.234025
2018,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,247.974872
2019,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,243.033052
2020,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,311.4
2021,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,313.7
2007,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,260.303266
2008,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,288.888889
2009,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,258.931929
2010,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,262.247278
2011,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,283.908046
2012,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,286.949981
2013,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,253.915607
2014,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,251.038468
2015,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,256.682599
2016,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,241.666667
2017,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,235.765428
2018,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,227.576975
2019,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,243.190023
2020,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,273.1
2021,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG03,260.1
2007,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,417.024159
2008,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,391.888864
2009,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,369.425338
2010,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,391.05893
2011,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,360.51983
2012,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,394.941203
2013,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,385.8
2014,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,362.966175
2015,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,361.027837
2016,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,328.686101
2017,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,325.901229
2018,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,302.014803
2019,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,302.901197
2020,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,377.0
2021,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,358.2
2007,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,406.934307
2008,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,382.007233
2009,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,366.89038
2010,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,388.229927
2011,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,353.526221
2012,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,KG02,391.051454
