Year,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Сноски на уровне наблюдения,GeoCode,Value
2014,,,до 5 лет,,,,,,12.9
2018,,,до 5 лет,,,,,,11.8
2023,,,до 5 лет,,,,,,14.1
2014,Баткенская область,,до 5 лет,,,,,KG05,13.6
2018,Баткенская область,,до 5 лет,,,,,KG05,11.9
2023,Баткенская область,,до 5 лет,,,,,KG05,22.5
2014,Джалал-Абадская область,,до 5 лет,,,,,KG03,21.3
2018,Джалал-Абадская область,,до 5 лет,,,,,KG03,15.5
2023,Джалал-Абадская область,,до 5 лет,,,,,KG03,17.4
2014,Иссык-Кульская область,,до 5 лет,,,,,KG02,14.1
2018,Иссык-Кульская область,,до 5 лет,,,,,KG02,14.2
2023,Иссык-Кульская область,,до 5 лет,,,,,KG02,14.4
2014,Нарынская область,,до 5 лет,,,,,KG04,16.4
2018,Нарынская область,,до 5 лет,,,,,KG04,6.5
2023,Нарынская область,,до 5 лет,,,,,KG04,10.0
2014,Ошская область,,до 5 лет,,,,,KG06,10.6
2018,Ошская область,,до 5 лет,,,,,KG06,13.7
2023,Ошская область,,до 5 лет,,,,,KG06,11.8
2014,Таласская область,,до 5 лет,,,,,KG07,11.0
2018,Таласская область,,до 5 лет,,,,,KG07,10.0
2023,Таласская область,,до 5 лет,,,,,KG07,11.9
2014,Чуйская область,,до 5 лет,,,,,KG08,7.6
2018,Чуйская область,,до 5 лет,,,,,KG08,10.1
2023,Чуйская область,,до 5 лет,,,,,KG08,10.4
2014,г. Бишкек,,до 5 лет,,,,,KG11,7.6
2018,г. Бишкек,,до 5 лет,,,,,KG11,5.9
2023,г. Бишкек,,до 5 лет,,,,,KG11,11.5
2014,г. Ош,,до 5 лет,,,,,KG21,12.1
2018,г. Ош,,до 5 лет,,,,,KG21,10.9
2023,г. Ош,,до 5 лет,,,,,KG21,13.8
2014,,Мужчины,до 5 лет,,,,,,13.8
2018,,Мужчины,до 5 лет,,,,,,12.5
2023,,Мужчины,до 5 лет,,,,,,15.0
2014,,Женщины,до 5 лет,,,,,,12.0
2018,,Женщины,до 5 лет,,,,,,10.9
2023,,Женщины,до 5 лет,,,,,,13.3
2014,,,до 5 лет,Городская,,,,,11.8
2018,,,до 5 лет,Городская,,,,,8.8
2023,,,до 5 лет,Городская,,,,,13.0
2014,,,до 5 лет,Сельская,,,,,13.4
2018,,,до 5 лет,Сельская,,,,,13.1
2023,,,до 5 лет,Сельская,,,,,14.6
2014,,,от 0 до 5 месяцев,,,,,,5.3
2018,,,от 0 до 5 месяцев,,,,,,5.4
2023,,,от 0 до 5 месяцев,,,,,,8.5
2014,,,от 6 до 11 месяцев,,,,,,7.2
2018,,,от 6 до 11 месяцев,,,,,,9.3
2023,,,от 6 до 11 месяцев,,,,,,5.8
2014,,,от 12 до 17 месяцев,,,,,,11.2
2018,,,от 12 до 17 месяцев,,,,,,12.1
2023,,,от 12 до 17 месяцев,,,,,,12.7
2014,,,от 18 до 23 месяцев,,,,,,18.2
2018,,,от 18 до 23 месяцев,,,,,,17.2
2023,,,от 18 до 23 месяцев,,,,,,20.2
2014,,,от 24 до 35 месяцев,,,,,,18.6
2018,,,от 24 до 35 месяцев,,,,,,13.2
2023,,,от 24 до 35 месяцев,,,,,,19.1
2014,,,от 36 до 47 месяцев,,,,,,14.6
2018,,,от 36 до 47 месяцев,,,,,,11.2
2023,,,от 36 до 47 месяцев,,,,,,15.0
2014,,,от 48 до 59 месяцев,,,,,,10.5
2018,,,от 48 до 59 месяцев,,,,,,12.7
2023,,,от 48 до 59 месяцев,,,,,,12.5
2014,,,до 5 лет,,,Начальное образование,Образование матери,,26.5
2014,,,до 5 лет,,,Первый этап среднего образования,Образование матери,,17.1
2018,,,до 5 лет,,,Первый этап среднего образования,Образование матери,,14.8
2023,,,до 5 лет,,,Первый этап среднего образования,Образование матери,,13.2
2014,,,до 5 лет,,,Второй этап среднего образования,Образование матери,,13.5
2018,,,до 5 лет,,,Второй этап среднего образования,Образование матери,,12.0
2023,,,до 5 лет,,,Второй этап среднего образования,Образование матери,,16.7
2014,,,до 5 лет,,,Послесреднее нетретичное образование,Образование матери,,11.8
2018,,,до 5 лет,,,Послесреднее нетретичное образование,Образование матери,,12.2
2023,,,до 5 лет,,,Послесреднее нетретичное образование,Образование матери,,12.2
2014,,,до 5 лет,,,Короткий цикл третичного образования,Образование матери,,9.8
2018,,,до 5 лет,,,Короткий цикл третичного образования,Образование матери,,10.0
2023,,,до 5 лет,,,Короткий цикл третичного образования,Образование матери,,11.9
2014,,,до 5 лет,,Квинтиль 1 (беднейшие),,,,17.7
2018,,,до 5 лет,,Квинтиль 1 (беднейшие),,,,14.0
2023,,,до 5 лет,,Квинтиль 1 (беднейшие),,,,16.5
2014,,,до 5 лет,,Квинтиль 2,,,,14.2
2018,,,до 5 лет,,Квинтиль 2,,,,13.8
2023,,,до 5 лет,,Квинтиль 2,,,,15.6
2014,,,до 5 лет,,Квинтиль 3,,,,10.1
2018,,,до 5 лет,,Квинтиль 3,,,,12.0
2023,,,до 5 лет,,Квинтиль 3,,,,12.6
2014,,,до 5 лет,,Квинтиль 4,,,,10.7
2018,,,до 5 лет,,Квинтиль 4,,,,8.2
2023,,,до 5 лет,,Квинтиль 4,,,,12.3
2014,,,до 5 лет,,Квинтиль 5 (богатейшие),,,,10.7
2018,,,до 5 лет,,Квинтиль 5 (богатейшие),,,,9.2
2023,,,до 5 лет,,Квинтиль 5 (богатейшие),,,,12.4
