Year,SERIES,Территория,UNIT_MEASURE,Value
2014,Число жертв умышленных убийств на 100 000 человек,,На 100 000 населения,4.535563
2015,Число жертв умышленных убийств на 100 000 человек,,На 100 000 населения,4.444398
2016,Число жертв умышленных убийств на 100 000 человек,,На 100 000 населения,3.472061
2017,Число жертв умышленных убийств на 100 000 человек,,На 100 000 населения,3.778379
2018,Число жертв умышленных убийств на 100 000 человек,,На 100 000 населения,3.132627
2019,Число жертв умышленных убийств на 100 000 человек,,На 100 000 населения,2.575293
2020,Число жертв умышленных убийств на 100 000 человек,,На 100 000 населения,2.621744
2014,Число жертв умышленных убийств,,Число,262.0
2015,Число жертв умышленных убийств,,Число,262.0
2016,Число жертв умышленных убийств,,Число,209.0
2017,Число жертв умышленных убийств,,Число,232.0
2018,Число жертв умышленных убийств,,Число,196.0
2019,Число жертв умышленных убийств,,Число,168.0
2020,Число жертв умышленных убийств,,Число,174.0
2014,Число жертв умышленных убийств на 100 000 человек,Баткенская область,На 100 000 населения,1.87232
2015,Число жертв умышленных убийств на 100 000 человек,Баткенская область,На 100 000 населения,1.624056
2016,Число жертв умышленных убийств на 100 000 человек,Баткенская область,На 100 000 населения,1.588834
2017,Число жертв умышленных убийств на 100 000 человек,Баткенская область,На 100 000 населения,1.168242
2018,Число жертв умышленных убийств на 100 000 человек,Баткенская область,На 100 000 населения,2.28517
2019,Число жертв умышленных убийств на 100 000 человек,Баткенская область,На 100 000 населения,2.047026
2020,Число жертв умышленных убийств на 100 000 человек,Баткенская область,На 100 000 населения,2.371194
2014,Число жертв умышленных убийств,Баткенская область,Число,9.0
2015,Число жертв умышленных убийств,Баткенская область,Число,8.0
2016,Число жертв умышленных убийств,Баткенская область,Число,8.0
2017,Число жертв умышленных убийств,Баткенская область,Число,6.0
2018,Число жертв умышленных убийств,Баткенская область,Число,12.0
2019,Число жертв умышленных убийств,Баткенская область,Число,11.0
2020,Число жертв умышленных убийств,Баткенская область,Число,13.0
2014,Число жертв умышленных убийств на 100 000 человек,Джалал-Абадская область,На 100 000 населения,3.563798
2015,Число жертв умышленных убийств на 100 000 человек,Джалал-Абадская область,На 100 000 населения,2.965496
2016,Число жертв умышленных убийств на 100 000 человек,Джалал-Абадская область,На 100 000 населения,2.481324
2017,Число жертв умышленных убийств на 100 000 человек,Джалал-Абадская область,На 100 000 населения,1.931833
2018,Число жертв умышленных убийств на 100 000 человек,Джалал-Абадская область,На 100 000 населения,1.811545
2019,Число жертв умышленных убийств на 100 000 человек,Джалал-Абадская область,На 100 000 населения,1.937437
2020,Число жертв умышленных убийств на 100 000 человек,Джалал-Абадская область,На 100 000 населения,2.062482
2014,Число жертв умышленных убийств,Джалал-Абадская область,Число,40.0
2015,Число жертв умышленных убийств,Джалал-Абадская область,Число,34.0
2016,Число жертв умышленных убийств,Джалал-Абадская область,Число,29.0
2017,Число жертв умышленных убийств,Джалал-Абадская область,Число,23.0
2018,Число жертв умышленных убийств,Джалал-Абадская область,Число,22.0
2019,Число жертв умышленных убийств,Джалал-Абадская область,Число,24.0
2020,Число жертв умышленных убийств,Джалал-Абадская область,Число,26.0
2014,Число жертв умышленных убийств на 100 000 человек,Иссык-Кульская область,На 100 000 населения,6.251428
2015,Число жертв умышленных убийств на 100 000 человек,Иссык-Кульская область,На 100 000 населения,6.16911
2016,Число жертв умышленных убийств на 100 000 человек,Иссык-Кульская область,На 100 000 населения,4.194983
2017,Число жертв умышленных убийств на 100 000 человек,Иссык-Кульская область,На 100 000 населения,4.762072
2018,Число жертв умышленных убийств на 100 000 человек,Иссык-Кульская область,На 100 000 населения,3.471052
2019,Число жертв умышленных убийств на 100 000 человек,Иссык-Кульская область,На 100 000 населения,4.838222
2020,Число жертв умышленных убийств на 100 000 человек,Иссык-Кульская область,На 100 000 населения,2.191528
2014,Число жертв умышленных убийств,Иссык-Кульская область,Число,29.0
2015,Число жертв умышленных убийств,Иссык-Кульская область,Число,29.0
2016,Число жертв умышленных убийств,Иссык-Кульская область,Число,20.0
2017,Число жертв умышленных убийств,Иссык-Кульская область,Число,23.0
2018,Число жертв умышленных убийств,Иссык-Кульская область,Число,17.0
2019,Число жертв умышленных убийств,Иссык-Кульская область,Число,24.0
2020,Число жертв умышленных убийств,Иссык-Кульская область,Число,11.0
2014,Число жертв умышленных убийств на 100 000 человек,Нарынская область,На 100 000 населения,3.642403
2015,Число жертв умышленных убийств на 100 000 человек,Нарынская область,На 100 000 населения,2.881274
2016,Число жертв умышленных убийств на 100 000 человек,Нарынская область,На 100 000 населения,2.490722
2017,Число жертв умышленных убийств на 100 000 человек,Нарынская область,На 100 000 населения,2.113577
2018,Число жертв умышленных убийств на 100 000 человек,Нарынская область,На 100 000 населения,2.090243
2019,Число жертв умышленных убийств на 100 000 человек,Нарынская область,На 100 000 населения,2.416952
2020,Число жертв умышленных убийств на 100 000 человек,Нарынская область,На 100 000 населения,3.080715
2014,Число жертв умышленных убийств,Нарынская область,Число,10.0
2015,Число жертв умышленных убийств,Нарынская область,Число,8.0
2016,Число жертв умышленных убийств,Нарынская область,Число,7.0
2017,Число жертв умышленных убийств,Нарынская область,Число,6.0
2018,Число жертв умышленных убийств,Нарынская область,Число,6.0
2019,Число жертв умышленных убийств,Нарынская область,Число,7.0
2020,Число жертв умышленных убийств,Нарынская область,Число,9.0
2014,Число жертв умышленных убийств на 100 000 человек,Ошская область,На 100 000 населения,1.302565
2015,Число жертв умышленных убийств на 100 000 человек,Ошская область,На 100 000 населения,1.825895
2016,Число жертв умышленных убийств на 100 000 человек,Ошская область,На 100 000 населения,1.087358
2017,Число жертв умышленных убийств на 100 000 человек,Ошская область,На 100 000 населения,0.837122
2018,Число жертв умышленных убийств на 100 000 человек,Ошская область,На 100 000 населения,1.341419
2019,Число жертв умышленных убийств на 100 000 человек,Ошская область,На 100 000 населения,1.096448
2020,Число жертв умышленных убийств на 100 000 человек,Ошская область,На 100 000 населения,0.790429
2014,Число жертв умышленных убийств,Ошская область,Число,16.0
2015,Число жертв умышленных убийств,Ошская область,Число,23.0
2016,Число жертв умышленных убийств,Ошская область,Число,14.0
2017,Число жертв умышленных убийств,Ошская область,Число,11.0
2018,Число жертв умышленных убийств,Ошская область,Число,18.0
2019,Число жертв умышленных убийств,Ошская область,Число,15.0
2020,Число жертв умышленных убийств,Ошская область,Число,11.0
2014,Число жертв умышленных убийств на 100 000 человек,Таласская область,На 100 000 населения,3.235906
2015,Число жертв умышленных убийств на 100 000 человек,Таласская область,На 100 000 населения,0.0
2016,Число жертв умышленных убийств на 100 000 человек,Таласская область,На 100 000 населения,3.527337
2017,Число жертв умышленных убийств на 100 000 человек,Таласская область,На 100 000 населения,4.247449
2018,Число жертв умышленных убийств на 100 000 человек,Таласская область,На 100 000 населения,0.759209
2019,Число жертв умышленных убийств на 100 000 человек,Таласская область,На 100 000 населения,1.870138
2020,Число жертв умышленных убийств на 100 000 человек,Таласская область,На 100 000 населения,1.845059
2014,Число жертв умышленных убийств,Таласская область,Число,8.0
2015,Число жертв умышленных убийств,Таласская область,Число,0.0
2016,Число жертв умышленных убийств,Таласская область,Число,9.0
2017,Число жертв умышленных убийств,Таласская область,Число,11.0
2018,Число жертв умышленных убийств,Таласская область,Число,2.0
2019,Число жертв умышленных убийств,Таласская область,Число,5.0
2020,Число жертв умышленных убийств,Таласская область,Число,5.0
2014,Число жертв умышленных убийств на 100 000 человек,Чуйская область,На 100 000 населения,9.996335
2015,Число жертв умышленных убийств на 100 000 человек,Чуйская область,На 100 000 населения,9.803071
2016,Число жертв умышленных убийств на 100 000 человек,Чуйская область,На 100 000 населения,8.396102
2017,Число жертв умышленных убийств на 100 000 человек,Чуйская область,На 100 000 населения,8.136891
2018,Число жертв умышленных убийств на 100 000 человек,Чуйская область,На 100 000 населения,6.587804
2019,Число жертв умышленных убийств на 100 000 человек,Чуйская область,На 100 000 населения,3.646274
2020,Число жертв умышленных убийств на 100 000 человек,Чуйская область,На 100 000 населения,5.128289
2014,Число жертв умышленных убийств,Чуйская область,Число,87.0
2015,Число жертв умышленных убийств,Чуйская область,Число,87.0
2016,Число жертв умышленных убийств,Чуйская область,Число,76.0
2017,Число жертв умышленных убийств,Чуйская область,Число,75.0
2018,Число жертв умышленных убийств,Чуйская область,Число,62.0
2019,Число жертв умышленных убийств,Чуйская область,Число,35.0
2020,Число жертв умышленных убийств,Чуйская область,Число,50.0
2014,Число жертв умышленных убийств на 100 000 человек,г. Бишкек,На 100 000 населения,6.934398
2015,Число жертв умышленных убийств на 100 000 человек,г. Бишкек,На 100 000 населения,6.260036
2016,Число жертв умышленных убийств на 100 000 человек,г. Бишкек,На 100 000 населения,4.080096
2017,Число жертв умышленных убийств на 100 000 человек,г. Бишкек,На 100 000 населения,6.086937
2018,Число жертв умышленных убийств на 100 000 человек,г. Бишкек,На 100 000 населения,4.672692
